xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1271.46755
pentane H C x x 12 5 x x 1555.512389
hexane H C x x 14 6 x x 1839.504855
heptane H C x x 16 7 x x 2123.573281
octane H C x x 18 8 x x 2407.588791
isobutane H C x x 10 4 x x 1271.816699
isopentane H C x x 12 5 x x 1554.778201
isohexane H C x x 14 6 x x 1838.695252
isoheptane H C x x 16 7 x x 2122.722296
isooctane H C x x 18 8 x x 2402.25391
neopentane H C x x 12 5 x x 1555.82568
neohexane H C x x 14 6 x x 1837.618095
neoheptane H C x x 16 7 x x 2121.423928
3methylpentane H C x x 14 6 x x 1837.519051
diisopropyl H C x x 14 6 x x 1836.795923
hexamethylethane H C x x 18 8 x x 2397.942693
h2 H x x x 2 x x x 115.4673568
alh3 H Al x x 3 1 x x 230.1629216
alh Al H x x 1 1 x x 76.40543417
sih4 H Si x x 4 1 x x 343.0919112
bh3 H B x x 3 1 x x 295.9411075
bh B H x x 1 1 x x 86.2852039
ch2-trip H C x x 2 1 x x 192.9088695
sih H Si x x 1 1 x x 77.0241687
si2h6 H Si x x 6 2 x x 559.0538828
ch3 H C x x 3 1 x x 309.8658839
ch4 H C x x 4 1 x x 420.0996708
b2h6 H B x x 6 2 x x 619.9670098
sih3f H F Si x 3 1 1 x 379.2432781
ph3 H P x x 3 1 x x 246.801997
c2h6 H C x x 6 2 x x 703.3220786
propane H C x x 8 3 x x 987.4343284
ch2-sing H C x x 2 1 x x 183.5372737
ch C H x x 1 1 x x 83.19336702
h2s H S x x 2 1 x x 178.1228991
hs S H x x 1 1 x x 85.91817711
c2h5f H C F x 5 2 1 x 687.3338782
ch3nh2 H C N x 5 1 1 x 558.7326159
ch3f H F C x 3 1 1 x 398.9080896
propene H C x x 6 3 x x 829.4064041
nh3 H N x x 3 1 x x 282.934766
ethanol H C O x 6 2 1 x 770.1267855
ch3nh H C N x 4 1 1 x 456.6014868
c2h4 H C x x 4 2 x x 542.2054186
methanol H C O x 4 1 1 x 482.7390505
hcl Cl H x x 1 1 x x 100.8480584
nh2 H N x x 2 1 x x 174.1513729
nh N H x x 1 1 x x 80.15068785
ch2nh2 H C N x 4 1 1 x 458.5595023
bhf2 F B H x 2 1 1 x 376.4660064
h2o H O x x 2 1 x x 209.698
hf F H x x 1 1 x x 123.4517584
ch2ch H C x x 3 2 x x 424.6114158
oh O H x x 1 1 x x 96.31820769
propyne H C x x 4 3 x x 660.8259305
acetaldehyde H C O x 4 2 1 x 626.3032725
allene H C x x 4 3 x x 658.9408437
sif4 F Si x x 4 1 x x 504.0732692
bf3 F B x x 3 1 x x 413.6692231
c2h3f H C F x 3 2 1 x 526.3649886
oxirane H C O x 4 2 1 x 597.7049148
ch2f2 H F C x 2 2 1 x 389.0312298
alf3 F Al x x 3 1 x x 375.2774159
bef2 F Be x x 2 1 x x 274.519414
ch2c C H x x 2 2 x x 332.5267055
n2h4 H N x x 4 2 x x 399.0820184
ch2nh H C N x 3 1 1 x 403.2346892
alf Al F x x 1 1 x x 140.9265848
acetic H C O x 4 2 2 x 721.7976682
c2h2 C H x x 2 2 x x 369.3177473
h2co H O C x 2 1 1 x 332.5667101
h2cn H C N x 2 1 1 x 313.0575255
bf F B x x 1 1 x x 157.5666506
becl2 Cl Be x x 2 1 x x 214.1276574
t-hcoh H C O x 2 1 1 x 283.1215483
alcl3 Cl Al x x 3 1 x x 288.5207242
c-hcoh H C O x 2 1 1 x 277.7852947
alcl Al Cl x x 1 1 x x 110.708608
ketene C H O x 2 2 1 x 469.1830495
sif F Si x x 1 1 x x 120.5187007
formic H O C x 2 2 1 x 428.9663724
hcnh H C N x 2 1 1 x 296.8266223
glyoxal C H O x 2 2 2 x 539.7756306
hcof C O H F 1 1 1 1 335.7564305
nh2cl H N Cl x 2 1 1 x 214.3990889
cf4 F C x x 4 1 x x 381.2753578
hccf C H F x 2 1 1 x 336.9811652
hcn H C N x 1 1 1 x 264.2945632
hnc H N C x 1 1 1 x 254.4251268
cch C H x x 2 1 x x 228.7269463
hco O C H x 1 1 1 x 233.6575127
co C O x x 1 1 x x 210.7242215
oxirene C H O x 2 2 1 x 380.5222418
f2co F O C x 2 1 1 x 329.3830163
hocn C N O H 1 1 1 1 330.7466675
hooh H O x x 2 2 x x 205.9153996
