xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.216362
pentane H C x x 12 5 x x 1601.566783
hexane H C x x 14 6 x x 1897.930453
heptane H C x x 16 7 x x 2194.297915
octane H C x x 18 8 x x 2490.665714
isobutane H C x x 10 4 x x 1306.186951
isopentane H C x x 12 5 x x 1601.882047
isohexane H C x x 14 6 x x 1898.198969
isoheptane H C x x 16 7 x x 2194.594828
isooctane H C x x 18 8 x x 2489.789307
neopentane H C x x 12 5 x x 1603.758926
neohexane H C x x 14 6 x x 1898.685517
neoheptane H C x x 16 7 x x 2194.952472
3methylpentane H C x x 14 6 x x 1897.450714
diisopropyl H C x x 14 6 x x 1897.622792
hexamethylethane H C x x 18 8 x x 2487.800916
h2 H x x x 2 x x x 104.4426515
alh3 H Al x x 3 1 x x 205.4456989
alh Al H x x 1 1 x x 68.95980757
sih4 H Si x x 4 1 x x 315.7937679
bh3 H B x x 3 1 x x 279.2488306
bh B H x x 1 1 x x 81.15686024
ch2-trip H C x x 2 1 x x 193.7325308
sih H Si x x 1 1 x x 71.45439953
si2h6 H Si x x 6 2 x x 523.7952585
ch3 H C x x 3 1 x x 308.4374646
ch4 H C x x 4 1 x x 417.7624035
b2h6 H B x x 6 2 x x 607.9414544
sih3f H F Si x 3 1 1 x 371.2629914
ph3 H P x x 3 1 x x 237.6092209
c2h6 H C x x 6 2 x x 712.4421856
propane H C x x 8 3 x x 1008.827329
ch2-sing H C x x 2 1 x x 183.7138029
ch C H x x 1 1 x x 83.24329756
h2s H S x x 2 1 x x 180.0793693
hs S H x x 1 1 x x 86.84830956
c2h5f H C F x 5 2 1 x 721.4827987
ch3nh2 H C N x 5 1 1 x 581.736719
ch3f H F C x 3 1 1 x 421.0137647
propene H C x x 6 3 x x 863.9212168
nh3 H N x x 3 1 x x 295.1778223
ethanol H C O x 6 2 1 x 809.5712649
ch3nh H C N x 4 1 1 x 478.4079721
c2h4 H C x x 4 2 x x 564.0271382
methanol H C O x 4 1 1 x 510.1562269
hcl Cl H x x 1 1 x x 105.0551888
nh2 H N x x 2 1 x x 183.2492264
nh N H x x 1 1 x x 85.28908203
ch2nh2 H C N x 4 1 1 x 486.2562746
bhf2 F B H x 2 1 1 x 407.7069594
h2o H O x x 2 1 x x 227.1846442
hf F H x x 1 1 x x 136.9547686
ch2ch H C x x 3 2 x x 449.9293093
oh O H x x 1 1 x x 105.7502291
propyne H C x x 4 3 x x 708.1540307
acetaldehyde H C O x 4 2 1 x 678.691517
allene H C x x 4 3 x x 709.8456608
