xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1306.715014
pentane H C x x 12 5 x x 1603.498211
hexane H C x x 14 6 x x 1900.296969
heptane H C x x 16 7 x x 2197.100658
octane H C x x 18 8 x x 2493.90357
isobutane H C x x 10 4 x x 1307.701056
isopentane H C x x 12 5 x x 1603.886337
isohexane H C x x 14 6 x x 1900.652879
isoheptane H C x x 16 7 x x 2197.49066
isooctane H C x x 18 8 x x 2493.392154
neopentane H C x x 12 5 x x 1605.774656
neohexane H C x x 14 6 x x 1901.246373
neoheptane H C x x 16 7 x x 2197.981085
3methylpentane H C x x 14 6 x x 1899.954305
diisopropyl H C x x 14 6 x x 1900.176558
hexamethylethane H C x x 18 8 x x 2491.712543
h2 H x x x 2 x x x 104.4685434
alh3 H Al x x 3 1 x x 205.7397999
alh Al H x x 1 1 x x 69.15209496
sih4 H Si x x 4 1 x x 316.2780103
bh3 H B x x 3 1 x x 279.4956651
bh B H x x 1 1 x x 81.25920295
ch2-trip H C x x 2 1 x x 193.8876343
sih H Si x x 1 1 x x 71.62466995
si2h6 H Si x x 6 2 x x 525.5182111
ch3 H C x x 3 1 x x 308.6911546
ch4 H C x x 4 1 x x 418.1100459
b2h6 H B x x 6 2 x x 608.8404654
sih3f H F Si x 3 1 1 x 371.6229528
ph3 H P x x 3 1 x x 238.0666006
c2h6 H C x x 6 2 x x 713.1295917
propane H C x x 8 3 x x 1009.908451
ch2-sing H C x x 2 1 x x 183.8744271
ch C H x x 1 1 x x 83.32633525
h2s H S x x 2 1 x x 180.3567508
hs S H x x 1 1 x x 86.98015222
c2h5f H C F x 5 2 1 x 722.0702432
ch3nh2 H C N x 5 1 1 x 582.3397518
ch3f H F C x 3 1 1 x 421.3274462
propene H C x x 6 3 x x 865.0084479
nh3 H N x x 3 1 x x 295.4043768
ethanol H C O x 6 2 1 x 810.3278077
ch3nh H C N x 4 1 1 x 478.977351
c2h4 H C x x 4 2 x x 564.6413357
methanol H C O x 4 1 1 x 510.5944737
hcl Cl H x x 1 1 x x 105.1680867
