xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.447058
pentane H C x x 12 5 x x 1599.073277
hexane H C x x 14 6 x x 1894.706645
heptane H C x x 16 7 x x 2190.341209
octane H C x x 18 8 x x 2485.974819
isobutane H C x x 10 4 x x 1304.21402
isopentane H C x x 12 5 x x 1599.040014
isohexane H C x x 14 6 x x 1894.59018
isoheptane H C x x 16 7 x x 2190.234535
isooctane H C x x 18 8 x x 2483.457145
neopentane H C x x 12 5 x x 1600.62868
neohexane H C x x 14 6 x x 1894.505302
neoheptane H C x x 16 7 x x 2189.95863
3methylpentane H C x x 14 6 x x 1893.716289
diisopropyl H C x x 14 6 x x 1893.624077
hexamethylethane H C x x 18 8 x x 2480.807813
h2 H x x x 2 x x x 104.4426484
alh3 H Al x x 3 1 x x 205.303589
alh Al H x x 1 1 x x 68.95931395
sih4 H Si x x 4 1 x x 315.6113555
bh3 H B x x 3 1 x x 279.2169181
bh B H x x 1 1 x x 81.15672808
ch2-trip H C x x 2 1 x x 193.7246922
sih H Si x x 1 1 x x 71.45420845
si2h6 H Si x x 6 2 x x 523.2413206
ch3 H C x x 3 1 x x 308.4227283
ch4 H C x x 4 1 x x 417.7425098
b2h6 H B x x 6 2 x x 607.5984129
sih3f H F Si x 3 1 1 x 370.9051066
ph3 H P x x 3 1 x x 237.5772251
c2h6 H C x x 6 2 x x 712.0238428
propane H C x x 8 3 x x 1007.762532
ch2-sing H C x x 2 1 x x 183.7111339
ch C H x x 1 1 x x 83.24323231
h2s H S x x 2 1 x x 180.0726532
hs S H x x 1 1 x x 86.84811105
c2h5f H C F x 5 2 1 x 720.8884265
ch3nh2 H C N x 5 1 1 x 581.4672028
ch3f H F C x 3 1 1 x 420.9149923
propene H C x x 6 3 x x 863.2660586
nh3 H N x x 3 1 x x 295.1730321
ethanol H C O x 6 2 1 x 808.8549029
ch3nh H C N x 4 1 1 x 478.263863
c2h4 H C x x 4 2 x x 563.8364935
methanol H C O x 4 1 1 x 509.9791003
hcl Cl H x x 1 1 x x 105.0549448
nh2 H N x x 2 1 x x 183.2477205
nh N H x x 1 1 x x 85.28904223
ch2nh2 H C N x 4 1 1 x 486.0696708
bhf2 F B H x 2 1 1 x 407.585483
h2o H O x x 2 1 x x 227.1836469
hf F H x x 1 1 x x 136.9547137
ch2ch H C x x 3 2 x x 449.8128704
oh O H x x 1 1 x x 105.7501705
propyne H C x x 4 3 x x 707.808036
acetaldehyde H C O x 4 2 1 x 678.242427
allene H C x x 4 3 x x 709.4784914
sif4 F Si x x 4 1 x x 556.4185117
bf3 F B x x 3 1 x x 466.4238683
c2h3f H C F x 3 2 1 x 575.434527
oxirane H C O x 4 2 1 x 654.2160464
ch2f2 H F C x 2 2 1 x 436.3195779
alf3 F Al x x 3 1 x x 413.5923467
bef2 F Be x x 2 1 x x 304.7578318
ch2c C H x x 2 2 x x 360.0041781
n2h4 H N x x 4 2 x x 438.2842676
ch2nh H C N x 3 1 1 x 439.1645551
alf Al F x x 1 1 x x 156.8347059
acetic H C O x 4 2 2 x 804.1797689
c2h2 C H x x 2 2 x x 404.3716755
h2co H O C x 2 1 1 x 372.4659709
h2cn H C N x 2 1 1 x 347.1145564
bf F B x x 1 1 x x 179.6927822
becl2 Cl Be x x 2 1 x x 227.8118238
t-hcoh H C O x 2 1 1 x 319.6373726
alcl3 Cl Al x x 3 1 x x 305.5820097
c-hcoh H C O x 2 1 1 x 314.8272696
alcl Al Cl x x 1 1 x x 119.0202035
ketene C H O x 2 2 1 x 538.1717953
sif F Si x x 1 1 x x 138.9891199
formic H O C x 2 2 1 x 500.6037593
hcnh H C N x 2 1 1 x 339.8003792
glyoxal C H O x 2 2 2 x 635.3116503
hcof C O H F 1 1 1 1 403.471077
nh2cl H N Cl x 2 1 1 x 247.7009908
cf4 F C x x 4 1 x x 478.5119487
hccf C H F x 2 1 1 x 400.9446883
hcn H C N x 1 1 1 x 311.1320341
hnc H N C x 1 1 1 x 297.5330153
cch C H x x 2 1 x x 266.6619266
hco O C H x 1 1 1 x 280.6311888
co C O x x 1 1 x x 255.4944751
oxirene C H O x 2 2 1 x 458.0079765
f2co F O C x 2 1 1 x 422.3655668
hocn C N O H 1 1 1 1 410.5061796
hooh H O x x 2 2 x x 263.3109888
t-n2h2 H N x x 2 2 x x 295.9779935
hnco C O N H 1 1 1 1 439.6813811
c-n2h2 H N x x 2 2 x x 290.5136042
cf2 F C x x 2 1 x x 258.4182947
co2 O C x x 2 1 x x 391.6365463
fccf F C x x 2 2 x x 391.683914
dioxirane H O C x 2 2 1 x 408.2413046
cf C F x x 1 1 x x 134.7797048
ssh S H x x 2 1 x x 166.4791634
hocl O H Cl x 1 1 1 x 163.1327888
nccn N C x x 2 2 x x 505.2220026
n2 N x x x 2 x x x 225.4096026
n2h N H x x 2 1 x x 228.45874
ocs O C S x 1 1 1 x 338.6417783
sio Si O x x 1 1 x x 183.1582881
clcn Cl C N x 1 1 1 x 287.6526692
hoo O H x x 2 1 x x 176.0572253
hcno C H N O 1 1 1 1 370.8274051
honc H O N C 1 1 1 1 351.6670585
hno N H O x 1 1 1 x 203.4308699
hof H O F x 1 1 1 x 154.0374679
c-hono O N H x 2 1 1 x 311.9047027
t-hono O N H x 2 1 1 x 312.2276161
cs2 S C x x 2 1 x x 284.2624624
hnnn N H x x 3 1 x x 339.214608
cs C S x x 1 1 x x 168.1634613
cn C N x x 1 1 x x 178.8730101
so3 O S x x 3 1 x x 340.7803711
ccl2 Cl C x x 2 1 x x 180.596983
bn3pi B N x x 1 1 x x 111.4703404
so2 O S x x 2 1 x x 253.8422853
no N O x x 1 1 x x 153.2985331
so S O x x 1 1 x x 127.2985956
n2o N O x x 2 1 x x 275.842029
c-hooo O H x x 3 1 x x 232.6523674
s2 S x x x 2 x x x 107.2528782
p4 P x x x 4 x x x 294.1758579
cl2 Cl x x x 2 x x x 59.93532924
o2 O x x x 2 x x x 124.3848343
f2 F x x x 2 x x x 34.59445824
t-hooo O H x x 3 1 x x 232.068471
s2o S O x x 2 1 x x 205.2147996
p2 P x x x 2 x x x 111.9017584
clf Cl F x x 1 1 x x 61.23270143
no2 O N x x 2 1 x x 234.0098481
clo Cl O x x 1 1 x x 67.5467189
s3 S x x x 3 x x x 167.2369798
cl2o Cl O x x 2 1 x x 100.1745008
s4-c2v S x x x 4 x x x 234.5324245
of O F x x 1 1 x x 54.19505419
c2 C x x x 2 x x x 140.5776231
oclo O Cl x x 2 1 x x 130.9751555
f2o F O x x 2 1 x x 91.65814035
b2 B x x x 2 x x x 74.35979926
fo2 O F x x 2 1 x x 134.2780955
cloo O Cl x x 2 1 x x 127.8673906
foof F O x x 2 2 x x 150.569999
o3 O x x x 3 x x x 142.6608049
bn B N x x 1 1 x x 99.65225615
be2 Be x x x 2 x x x 7.875027734
