xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1312.968256
pentane H C x x 12 5 x x 1611.630742
hexane H C x x 14 6 x x 1910.307833
heptane H C x x 16 7 x x 2208.998736
octane H C x x 18 8 x x 2507.680389
isobutane H C x x 10 4 x x 1314.284468
isopentane H C x x 12 5 x x 1612.453301
isohexane H C x x 14 6 x x 1911.097084
isoheptane H C x x 16 7 x x 2209.820748
isooctane H C x x 18 8 x x 2509.037302
neopentane H C x x 12 5 x x 1615.090846
neohexane H C x x 14 6 x x 1912.695403
neoheptane H C x x 16 7 x x 2211.309593
3methylpentane H C x x 14 6 x x 1910.485857
diisopropyl H C x x 14 6 x x 1911.24002
hexamethylethane H C x x 18 8 x x 2509.071585
h2 H x x x 2 x x x 104.3801561
alh3 H Al x x 3 1 x x 212.1408166
alh Al H x x 1 1 x x 69.45550767
sih4 H Si x x 4 1 x x 321.1787836
bh3 H B x x 3 1 x x 281.5418185
bh B H x x 1 1 x x 80.94059291
ch2-trip H C x x 2 1 x x 194.714663
sih H Si x x 1 1 x x 71.47197537
si2h6 H Si x x 6 2 x x 533.853542
ch3 H C x x 3 1 x x 309.5997885
ch4 H C x x 4 1 x x 419.0390548
b2h6 H B x x 6 2 x x 613.2913708
sih3f H F Si x 3 1 1 x 380.2983116
ph3 H P x x 3 1 x x 237.287806
c2h6 H C x x 6 2 x x 715.6830367
propane H C x x 8 3 x x 1014.328251
ch2-sing H C x x 2 1 x x 183.4256998
ch C H x x 1 1 x x 82.39658834
h2s H S x x 2 1 x x 178.6980862
hs S H x x 1 1 x x 86.10235748
c2h5f H C F x 5 2 1 x 727.4123644
ch3nh2 H C N x 5 1 1 x 584.6452031
ch3f H F C x 3 1 1 x 424.7525035
propene H C x x 6 3 x x 864.7080023
nh3 H N x x 3 1 x x 296.0280402
ethanol H C O x 6 2 1 x 815.6680311
ch3nh H C N x 4 1 1 x 479.6755755
c2h4 H C x x 4 2 x x 562.8937619
methanol H C O x 4 1 1 x 514.0234288
hcl Cl H x x 1 1 x x 104.0310355
nh2 H N x x 2 1 x x 183.1861334
nh N H x x 1 1 x x 84.90781327
ch2nh2 H C N x 4 1 1 x 488.214465
bhf2 F B H x 2 1 1 x 415.0473415
h2o H O x x 2 1 x x 229.2359931
hf F H x x 1 1 x x 139.0294683
ch2ch H C x x 3 2 x x 448.1083212
oh O H x x 1 1 x x 106.7282807
propyne H C x x 4 3 x x 706.8563095
acetaldehyde H C O x 4 2 1 x 681.2988135
allene H C x x 4 3 x x 705.6815513
sif4 F Si x x 4 1 x x 576.8946295
bf3 F B x x 3 1 x x 476.6349208
c2h3f H C F x 3 2 1 x 577.1769998
oxirane H C O x 4 2 1 x 659.6838129
ch2f2 H F C x 2 2 1 x 442.87507
alf3 F Al x x 3 1 x x 431.2459488
bef2 F Be x x 2 1 x x 312.7185021
ch2c C H x x 2 2 x x 356.7264497
n2h4 H N x x 4 2 x x 440.9972996
ch2nh H C N x 3 1 1 x 438.1876114
alf Al F x x 1 1 x x 160.9862751
acetic H C O x 4 2 2 x 810.9787592
c2h2 C H x x 2 2 x x 401.6222893
h2co H O C x 2 1 1 x 373.3985422
h2cn H C N x 2 1 1 x 345.3533893
bf F B x x 1 1 x x 181.8121915
becl2 Cl Be x x 2 1 x x 228.5295441
t-hcoh H C O x 2 1 1 x 321.063858
alcl3 Cl Al x x 3 1 x x 312.225231
c-hcoh H C O x 2 1 1 x 315.664603
alcl Al Cl x x 1 1 x x 118.3141985
ketene C H O x 2 2 1 x 536.7022853
sif F Si x x 1 1 x x 142.6374154
formic H O C x 2 2 1 x 504.2130504
hcnh H C N x 2 1 1 x 337.3345478
