xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.36891
pentane H C x x 12 5 x x 1602.009204
hexane H C x x 14 6 x x 1898.661554
heptane H C x x 16 7 x x 2195.32681
octane H C x x 18 8 x x 2491.982005
isobutane H C x x 10 4 x x 1306.604089
isopentane H C x x 12 5 x x 1602.694993
isohexane H C x x 14 6 x x 1899.304409
isoheptane H C x x 16 7 x x 2195.999587
isooctane H C x x 18 8 x x 2492.794037
neopentane H C x x 12 5 x x 1605.198106
neohexane H C x x 14 6 x x 1900.663046
neoheptane H C x x 16 7 x x 2197.234215
3methylpentane H C x x 14 6 x x 1898.620996
diisopropyl H C x x 14 6 x x 1899.192152
hexamethylethane H C x x 18 8 x x 2492.290035
h2 H x x x 2 x x x 104.2884158
alh3 H Al x x 3 1 x x 211.344797
alh Al H x x 1 1 x x 69.18938177
sih4 H Si x x 4 1 x x 319.8371218
bh3 H B x x 3 1 x x 280.7154399
bh B H x x 1 1 x x 80.67588313
ch2-trip H C x x 2 1 x x 193.9469399
sih H Si x x 1 1 x x 71.08430006
si2h6 H Si x x 6 2 x x 530.7081249
ch3 H C x x 3 1 x x 308.4215171
ch4 H C x x 4 1 x x 417.3868095
b2h6 H B x x 6 2 x x 610.3182689
sih3f H F Si x 3 1 1 x 378.2930863
ph3 H P x x 3 1 x x 235.8207531
c2h6 H C x x 6 2 x x 712.1071831
propane H C x x 8 3 x x 1008.740821
ch2-sing H C x x 2 1 x x 182.6590829
ch C H x x 1 1 x x 82.04920301
h2s H S x x 2 1 x x 177.5612449
hs S H x x 1 1 x x 85.54567605
c2h5f H C F x 5 2 1 x 722.9819492
ch3nh2 H C N x 5 1 1 x 581.2512734
ch3f H F C x 3 1 1 x 422.4378299
propene H C x x 6 3 x x 859.7152262
nh3 H N x x 3 1 x x 294.6823684
ethanol H C O x 6 2 1 x 810.7011186
ch3nh H C N x 4 1 1 x 476.6835021
c2h4 H C x x 4 2 x x 560.0044624
methanol H C O x 4 1 1 x 511.1422841
hcl Cl H x x 1 1 x x 103.4236381
nh2 H N x x 2 1 x x 182.3416222
