xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.3304423
alh3 H Al x x 3 1 x x 211.8150327
alh Al H x x 1 1 x x 69.46969298
sih4 H Si x x 4 1 x x 320.3873517
bh3 H B x x 3 1 x x 281.0392433
bh B H x x 1 1 x x 80.83287151
ch2-trip H C x x 2 1 x x 194.1751817
sih H Si x x 1 1 x x 71.33757075
si2h6 H Si x x 6 2 x x 532.5136265
ch3 H C x x 3 1 x x 308.7924871
ch4 H C x x 4 1 x x 417.8983344
b2h6 H B x x 6 2 x x 611.313801
sih3f H F Si x 3 1 1 x 378.6493847
ph3 H P x x 3 1 x x 236.4572298
c2h6 H C x x 6 2 x x 713.0048583
propane H C x x 8 3 x x 1010.004126
ch2-sing H C x x 2 1 x x 182.9059893
ch C H x x 1 1 x x 82.17873628
h2s H S x x 2 1 x x 177.9717425
hs S H x x 1 1 x x 85.74567946
c2h5f H C F x 5 2 1 x 723.6020751
ch3nh2 H C N x 5 1 1 x 582.0316141
ch3f H F C x 3 1 1 x 422.6920972
propene H C x x 6 3 x x 861.1287767
nh3 H N x x 3 1 x x 295.0340498
ethanol H C O x 6 2 1 x 811.4888054
ch3nh H C N x 4 1 1 x 477.4369348
c2h4 H C x x 4 2 x x 560.8625702
methanol H C O x 4 1 1 x 511.600793
hcl Cl H x x 1 1 x x 103.5960936
nh2 H N x x 2 1 x x 182.5618323
nh N H x x 1 1 x x 84.61293929
ch2nh2 H C N x 4 1 1 x 485.918986
bhf2 F B H x 2 1 1 x 412.844064
h2o H O x x 2 1 x x 228.4958477
hf F H x x 1 1 x x 138.6424775
ch2ch H C x x 3 2 x x 446.3489157
oh O H x x 1 1 x x 106.3787152
propyne H C x x 4 3 x x 703.952126
acetaldehyde H C O x 4 2 1 x 678.0073441
allene H C x x 4 3 x x 702.7926969
sif4 F Si x x 4 1 x x 572.0603891
bf3 F B x x 3 1 x x 473.4786624
c2h3f H C F x 3 2 1 x 574.0976717
oxirane H C O x 4 2 1 x 655.6649357
ch2f2 H F C x 2 2 1 x 439.6895954
alf3 F Al x x 3 1 x x 428.7069102
bef2 F Be x x 2 1 x x 311.6685045
ch2c C H x x 2 2 x x 355.3408964
n2h4 H N x x 4 2 x x 438.4573657
ch2nh H C N x 3 1 1 x 436.2586299
alf Al F x x 1 1 x x 160.1813146
acetic H C O x 4 2 2 x 806.0681286
c2h2 C H x x 2 2 x x 400.1690214
h2co H O C x 2 1 1 x 371.7194666
h2cn H C N x 2 1 1 x 343.7670526
bf F B x x 1 1 x x 180.9697952
becl2 Cl Be x x 2 1 x x 227.7275355
t-hcoh H C O x 2 1 1 x 319.2889898
alcl3 Cl Al x x 3 1 x x 310.2771872
c-hcoh H C O x 2 1 1 x 313.9011739
alcl Al Cl x x 1 1 x x 117.802281
ketene C H O x 2 2 1 x 534.1291032
sif F Si x x 1 1 x x 141.6273988
formic H O C x 2 2 1 x 501.0808112
hcnh H C N x 2 1 1 x 335.6688702
glyoxal C H O x 2 2 2 x 633.8423985
hcof C O H F 1 1 1 1 404.4684163
nh2cl H N Cl x 2 1 1 x 244.6003052
cf4 F C x x 4 1 x x 485.6699831
hccf C H F x 2 1 1 x 398.3753463
hcn H C N x 1 1 1 x 307.9039787
hnc H N C x 1 1 1 x 295.1562312
cch C H x x 2 1 x x 262.6960573
hco O C H x 1 1 1 x 279.5191752
co C O x x 1 1 x x 255.8802893
oxirene C H O x 2 2 1 x 454.931035
f2co F O C x 2 1 1 x 425.2674613
hocn C N O H 1 1 1 1 407.6586421
hooh H O x x 2 2 x x 264.0507158
t-n2h2 H N x x 2 2 x x 293.2959701
hnco C O N H 1 1 1 1 435.5098048
c-n2h2 H N x x 2 2 x x 287.1839277
cf2 F C x x 2 1 x x 260.312426
co2 O C x x 2 1 x x 390.2560953
fccf F C x x 2 2 x x 390.8678242
dioxirane H O C x 2 2 1 x 407.3550615
cf C F x x 1 1 x x 135.6557739
ssh S H x x 2 1 x x 158.9146566
hocl O H Cl x 1 1 1 x 161.1381249
nccn N C x x 2 2 x x 494.9882396
n2 N x x x 2 x x x 224.4016944
n2h N H x x 2 1 x x 225.4217981
ocs O C S x 1 1 1 x 330.135717
sio Si O x x 1 1 x x 183.4867011
clcn Cl C N x 1 1 1 x 281.1981549
hoo O H x x 2 1 x x 176.3267648
hcno C H N O 1 1 1 1 362.3869874
honc H O N C 1 1 1 1 348.7979595
hno N H O x 1 1 1 x 202.5713114
hof H O F x 1 1 1 x 154.5011418
c-hono O N H x 2 1 1 x 309.9430527
t-hono O N H x 2 1 1 x 309.9325284
cs2 S C x x 2 1 x x 266.308076
hnnn N H x x 3 1 x x 328.7996685
cs C S x x 1 1 x x 158.5722213
cn C N x x 1 1 x x 172.2269293
so3 O S x x 3 1 x x 340.1292528
