xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1309.62389
pentane H C x x 12 5 x x 1607.353822
hexane H C x x 14 6 x x 1905.094891
heptane H C x x 16 7 x x 2202.849815
octane H C x x 18 8 x x 2500.594225
isobutane H C x x 10 4 x x 1310.885583
isopentane H C x x 12 5 x x 1608.135296
isohexane H C x x 14 6 x x 1905.837609
isoheptane H C x x 16 7 x x 2203.621312
isooctane H C x x 18 8 x x 2501.739115
neopentane H C x x 12 5 x x 1610.626298
neohexane H C x x 14 6 x x 1907.320064
neoheptane H C x x 16 7 x x 2204.985695
3methylpentane H C x x 14 6 x x 1905.242665
diisopropyl H C x x 14 6 x x 1905.91664
hexamethylethane H C x x 18 8 x x 2501.586613
h2 H x x x 2 x x x 104.3794432
alh3 H Al x x 3 1 x x 211.9634746
alh Al H x x 1 1 x x 69.51345627
sih4 H Si x x 4 1 x x 320.795486
bh3 H B x x 3 1 x x 281.3314561
bh B H x x 1 1 x x 80.91711154
ch2-trip H C x x 2 1 x x 194.3670455
sih H Si x x 1 1 x x 71.40685587
si2h6 H Si x x 6 2 x x 532.8772335
ch3 H C x x 3 1 x x 309.1341251
ch4 H C x x 4 1 x x 418.4039111
b2h6 H B x x 6 2 x x 612.378476
sih3f H F Si x 3 1 1 x 379.0409754
ph3 H P x x 3 1 x x 236.8211814
c2h6 H C x x 6 2 x x 714.1822792
propane H C x x 8 3 x x 1011.908268
ch2-sing H C x x 2 1 x x 183.1009859
ch C H x x 1 1 x x 82.26854303
h2s H S x x 2 1 x x 178.1879429
hs S H x x 1 1 x x 85.83369888
c2h5f H C F x 5 2 1 x 724.7843003
ch3nh2 H C N x 5 1 1 x 583.0336046
ch3f H F C x 3 1 1 x 423.2031928
propene H C x x 6 3 x x 862.5283912
nh3 H N x x 3 1 x x 295.3781624
ethanol H C O x 6 2 1 x 812.8962742
ch3nh H C N x 4 1 1 x 478.2401752
c2h4 H C x x 4 2 x x 561.6264973
methanol H C O x 4 1 1 x 512.3266949
hcl Cl H x x 1 1 x x 103.6850626
nh2 H N x x 2 1 x x 182.7620611
nh N H x x 1 1 x x 84.69464594
ch2nh2 H C N x 4 1 1 x 486.702955
bhf2 F B H x 2 1 1 x 413.1407415
h2o H O x x 2 1 x x 228.6591995
hf F H x x 1 1 x x 138.6950356
ch2ch H C x x 3 2 x x 446.9033184
oh O H x x 1 1 x x 106.4440971
propyne H C x x 4 3 x x 704.8230246
acetaldehyde H C O x 4 2 1 x 679.0097686
allene H C x x 4 3 x x 703.6625511
sif4 F Si x x 4 1 x x 572.4463939
bf3 F B x x 3 1 x x 473.7880696
c2h3f H C F x 3 2 1 x 574.8526208
oxirane H C O x 4 2 1 x 656.6329524
ch2f2 H F C x 2 2 1 x 440.2150117
alf3 F Al x x 3 1 x x 428.8157648
bef2 F Be x x 2 1 x x 311.8035194
ch2c C H x x 2 2 x x 355.772835
n2h4 H N x x 4 2 x x 439.2740162
ch2nh H C N x 3 1 1 x 436.8635579
alf Al F x x 1 1 x x 160.1897441
acetic H C O x 4 2 2 x 807.2834626
c2h2 C H x x 2 2 x x 400.5245972
h2co H O C x 2 1 1 x 372.0997216
h2cn H C N x 2 1 1 x 344.1913735
bf F B x x 1 1 x x 181.0398375
becl2 Cl Be x x 2 1 x x 227.6550468
t-hcoh H C O x 2 1 1 x 319.6432115
alcl3 Cl Al x x 3 1 x x 309.6332033
c-hcoh H C O x 2 1 1 x 314.2736517
alcl Al Cl x x 1 1 x x 117.5551235
ketene C H O x 2 2 1 x 534.6930648
sif F Si x x 1 1 x x 141.6665755
formic H O C x 2 2 1 x 501.6704347
hcnh H C N x 2 1 1 x 336.0672538
glyoxal C H O x 2 2 2 x 634.6638073
hcof C O H F 1 1 1 1 404.8546517
nh2cl H N Cl x 2 1 1 x 245.0179193
cf4 F C x x 4 1 x x 486.2488497
hccf C H F x 2 1 1 x 398.7207469
hcn H C N x 1 1 1 x 308.1478723
hnc H N C x 1 1 1 x 295.4249531
cch C H x x 2 1 x x 262.9388077
hco O C H x 1 1 1 x 279.7370244
co C O x x 1 1 x x 255.9809991
oxirene C H O x 2 2 1 x 455.4846557
f2co F O C x 2 1 1 x 425.6678698
hocn C N O H 1 1 1 1 408.061824
hooh H O x x 2 2 x x 264.3789019
t-n2h2 H N x x 2 2 x x 293.7263778
hnco C O N H 1 1 1 1 435.9292047
c-n2h2 H N x x 2 2 x x 287.6315656
cf2 F C x x 2 1 x x 260.5171018
co2 O C x x 2 1 x x 390.4956866
fccf F C x x 2 2 x x 391.2028248
dioxirane H O C x 2 2 1 x 407.9113929
cf C F x x 1 1 x x 135.74134
ssh S H x x 2 1 x x 158.9751745
hocl O H Cl x 1 1 1 x 161.3521478
nccn N C x x 2 2 x x 495.4166115
n2 N x x x 2 x x x 224.5248061
n2h N H x x 2 1 x x 225.6904348
ocs O C S x 1 1 1 x 330.3056412
sio Si O x x 1 1 x x 183.5170799
clcn Cl C N x 1 1 1 x 281.4145962
hoo O H x x 2 1 x x 176.5237109
hcno C H N O 1 1 1 1 362.791914
honc H O N C 1 1 1 1 349.2299053
hno N H O x 1 1 1 x 202.8059918
hof H O F x 1 1 1 x 154.6759653
c-hono O N H x 2 1 1 x 310.3800893
t-hono O N H x 2 1 1 x 310.3391171
cs2 S C x x 2 1 x x 266.2792625
hnnn N H x x 3 1 x x 329.2974232
cs C S x x 1 1 x x 158.6201403
cn C N x x 1 1 x x 172.3485885
so3 O S x x 3 1 x x 340.5431366
ccl2 Cl C x x 2 1 x x 169.7950287
bn3pi B N x x 1 1 x x 108.7236466
so2 O S x x 2 1 x x 251.5010648
no N O x x 1 1 x x 154.0471089
so S O x x 1 1 x x 124.5803499
n2o N O x x 2 1 x x 268.5579948
c-hooo O H x x 3 1 x x 229.4848749
s2 S x x x 2 x x x 97.32023667
p4 P x x x 4 x x x 276.8678818
cl2 Cl x x x 2 x x x 54.45462679
o2 O x x x 2 x x x 125.1979819
f2 F x x x 2 x x x 34.69709154
t-hooo O H x x 3 1 x x 227.2669791
s2o S O x x 2 1 x x 191.7689152
p2 P x x x 2 x x x 98.41498624
clf Cl F x x 1 1 x x 60.2756214
no2 O N x x 2 1 x x 229.534696
clo Cl O x x 1 1 x x 63.23671976
s3 S x x x 3 x x x 147.9646707
cl2o Cl O x x 2 1 x x 93.99094488
s4-c2v S x x x 4 x x x 210.7006762
of O F x x 1 1 x x 54.5196283
c2 C x x x 2 x x x 131.5938743
oclo O Cl x x 2 1 x x 123.8782862
f2o F O x x 2 1 x x 91.05432246
b2 B x x x 2 x x x 70.33266225
fo2 O F x x 2 1 x x 129.881084
cloo O Cl x x 2 1 x x 114.7893724
foof F O x x 2 2 x x 143.4874341
o3 O x x x 3 x x x 140.3873965
bn B N x x 1 1 x x 104.9250032
be2 Be x x x 2 x x x 7.658090705
