xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.180478
pentane H C x x 12 5 x x 1597.564343
hexane H C x x 14 6 x x 1892.951068
heptane H C x x 16 7 x x 2188.347326
octane H C x x 18 8 x x 2483.735092
isobutane H C x x 10 4 x x 1303.04843
isopentane H C x x 12 5 x x 1597.659849
isohexane H C x x 14 6 x x 1892.959115
isoheptane H C x x 16 7 x x 2188.361642
isooctane H C x x 18 8 x x 2481.874263
neopentane H C x x 12 5 x x 1599.574792
neohexane H C x x 14 6 x x 1893.305519
neoheptane H C x x 16 7 x x 2188.506178
3methylpentane H C x x 14 6 x x 1892.101977
diisopropyl H C x x 14 6 x x 1892.204398
hexamethylethane H C x x 18 8 x x 2480.000542
h2 H x x x 2 x x x 104.2884048
alh3 H Al x x 3 1 x x 211.1733197
alh Al H x x 1 1 x x 69.18700163
sih4 H Si x x 4 1 x x 319.3833831
bh3 H B x x 3 1 x x 280.6060068
bh B H x x 1 1 x x 80.67530775
ch2-trip H C x x 2 1 x x 193.9196082
sih H Si x x 1 1 x x 71.0834604
si2h6 H Si x x 6 2 x x 529.315788
ch3 H C x x 3 1 x x 308.3695683
ch4 H C x x 4 1 x x 417.316416
b2h6 H B x x 6 2 x x 609.4261938
sih3f H F Si x 3 1 1 x 377.5746479
ph3 H P x x 3 1 x x 235.7110081
c2h6 H C x x 6 2 x x 711.2975443
propane H C x x 8 3 x x 1006.7691
ch2-sing H C x x 2 1 x x 182.6495839
ch C H x x 1 1 x x 82.04893772
h2s H S x x 2 1 x x 177.5373735
hs S H x x 1 1 x x 85.54480017
c2h5f H C F x 5 2 1 x 721.7862064
ch3nh2 H C N x 5 1 1 x 580.6738246
ch3f H F C x 3 1 1 x 422.0440057
propene H C x x 6 3 x x 858.514502
nh3 H N x x 3 1 x x 294.6653658
ethanol H C O x 6 2 1 x 809.245817
ch3nh H C N x 4 1 1 x 476.3259374
c2h4 H C x x 4 2 x x 559.6253835
methanol H C O x 4 1 1 x 510.6393994
hcl Cl H x x 1 1 x x 103.4225401
nh2 H N x x 2 1 x x 182.3362621
nh N H x x 1 1 x x 84.51474169
ch2nh2 H C N x 4 1 1 x 484.788635
bhf2 F B H x 2 1 1 x 412.2922572
h2o H O x x 2 1 x x 228.3226262
hf F H x x 1 1 x x 138.5882687
ch2ch H C x x 3 2 x x 445.3811669
oh O H x x 1 1 x x 106.304401
propyne H C x x 4 3 x x 702.0973921
acetaldehyde H C O x 4 2 1 x 676.2966712
allene H C x x 4 3 x x 700.868375
sif4 F Si x x 4 1 x x 570.6774929
bf3 F B x x 3 1 x x 472.8437992
c2h3f H C F x 3 2 1 x 572.7756642
oxirane H C O x 4 2 1 x 654.0998857
ch2f2 H F C x 2 2 1 x 438.9592475
alf3 F Al x x 3 1 x x 427.8705933
bef2 F Be x x 2 1 x x 311.2876532
ch2c C H x x 2 2 x x 354.54309
n2h4 H N x x 4 2 x x 437.4191099
ch2nh H C N x 3 1 1 x 435.3574497
alf Al F x x 1 1 x x 159.8751732
acetic H C O x 4 2 2 x 803.8043873
c2h2 C H x x 2 2 x x 399.454977
h2co H O C x 2 1 1 x 371.1550853
h2cn H C N x 2 1 1 x 343.1008959
bf F B x x 1 1 x x 180.7835226
becl2 Cl Be x x 2 1 x x 226.2575859
t-hcoh H C O x 2 1 1 x 318.7415842
alcl3 Cl Al x x 3 1 x x 306.9399395
c-hcoh H C O x 2 1 1 x 313.3479223
alcl Al Cl x x 1 1 x x 116.8069053
ketene C H O x 2 2 1 x 532.9679523
sif F Si x x 1 1 x x 141.335867
formic H O C x 2 2 1 x 500.1194087
hcnh H C N x 2 1 1 x 335.0086917
glyoxal C H O x 2 2 2 x 632.1373738
hcof C O H F 1 1 1 1 403.8308992
nh2cl H N Cl x 2 1 1 x 243.7278504
cf4 F C x x 4 1 x x 484.7266198
hccf C H F x 2 1 1 x 397.5977091
hcn H C N x 1 1 1 x 307.452363
hnc H N C x 1 1 1 x 294.6575668
cch C H x x 2 1 x x 262.1383334
hco O C H x 1 1 1 x 279.1488857
co C O x x 1 1 x x 255.6545723
oxirene C H O x 2 2 1 x 453.8395047
f2co F O C x 2 1 1 x 424.5406599
hocn C N O H 1 1 1 1 406.843272
hooh H O x x 2 2 x x 263.6368829
t-n2h2 H N x x 2 2 x x 292.6901688
hnco C O N H 1 1 1 1 434.6754587
c-n2h2 H N x x 2 2 x x 286.5726938
cf2 F C x x 2 1 x x 259.9510055
co2 O C x x 2 1 x x 389.7429212
fccf F C x x 2 2 x x 390.0215384
dioxirane H O C x 2 2 1 x 406.5005048
cf C F x x 1 1 x x 135.491708
ssh S H x x 2 1 x x 157.673027
hocl O H Cl x 1 1 1 x 160.6317365
nccn N C x x 2 2 x x 493.6415834
n2 N x x x 2 x x x 224.1696599
n2h N H x x 2 1 x x 225.014794
ocs O C S x 1 1 1 x 329.1384613
sio Si O x x 1 1 x x 183.0757404
clcn Cl C N x 1 1 1 x 280.1611252
hoo O H x x 2 1 x x 176.0618367
hcno C H N O 1 1 1 1 361.5666246
honc H O N C 1 1 1 1 347.9200475
hno N H O x 1 1 1 x 202.2375454
hof H O F x 1 1 1 x 154.2845514
c-hono O N H x 2 1 1 x 309.2741057
t-hono O N H x 2 1 1 x 309.2764305
cs2 S C x x 2 1 x x 264.5466327
hnnn N H x x 3 1 x x 327.9092157
cs C S x x 1 1 x x 157.977149
cn C N x x 1 1 x x 171.9271888
so3 O S x x 3 1 x x 338.7252003
ccl2 Cl C x x 2 1 x x 168.2146028
bn3pi B N x x 1 1 x x 108.2755841
so2 O S x x 2 1 x x 250.4837145
no N O x x 1 1 x x 153.7665937
so S O x x 1 1 x x 124.1606638
n2o N O x x 2 1 x x 267.7053162
c-hooo O H x x 3 1 x x 228.540158
s2 S x x x 2 x x x 96.5296393
p4 P x x x 4 x x x 272.2538029
cl2 Cl x x x 2 x x x 53.78271205
o2 O x x x 2 x x x 124.9722608
f2 F x x x 2 x x x 34.54785888
t-hooo O H x x 3 1 x x 226.3671278
s2o S O x x 2 1 x x 190.2411879
p2 P x x x 2 x x x 97.49326359
clf Cl F x x 1 1 x x 59.96911435
no2 O N x x 2 1 x x 228.7966157
clo Cl O x x 1 1 x x 62.8450357
s3 S x x x 3 x x x 145.7852548
cl2o Cl O x x 2 1 x x 92.68837761
s4-c2v S x x x 4 x x x 206.4546782
of O F x x 1 1 x x 54.33886092
c2 C x x x 2 x x x 131.0843325
oclo O Cl x x 2 1 x x 122.9036908
f2o F O x x 2 1 x x 90.58936272
b2 B x x x 2 x x x 69.73281981
fo2 O F x x 2 1 x x 129.3351772
cloo O Cl x x 2 1 x x 113.9113273
foof F O x x 2 2 x x 142.5829009
o3 O x x x 3 x x x 139.7712155
