xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.727656
pentane H C x x 12 5 x x 1602.032874
hexane H C x x 14 6 x x 1898.353997
heptane H C x x 16 7 x x 2194.666537
octane H C x x 18 8 x x 2490.983198
isobutane H C x x 10 4 x x 1306.563714
isopentane H C x x 12 5 x x 1602.083674
isohexane H C x x 14 6 x x 1898.314779
isoheptane H C x x 16 7 x x 2194.64296
isooctane H C x x 18 8 x x 2488.991164
neopentane H C x x 12 5 x x 1603.892888
neohexane H C x x 14 6 x x 1898.496161
neoheptane H C x x 16 7 x x 2194.630563
3methylpentane H C x x 14 6 x x 1897.452229
diisopropyl H C x x 14 6 x x 1897.481408
hexamethylethane H C x x 18 8 x x 2486.75994
h2 H x x x 2 x x x 104.3502839
alh3 H Al x x 3 1 x x 207.3343719
alh Al H x x 1 1 x x 68.82600081
sih4 H Si x x 4 1 x x 315.7020023
bh3 H B x x 3 1 x x 278.645855
bh B H x x 1 1 x x 80.49789613
ch2-trip H C x x 2 1 x x 193.7439193
sih H Si x x 1 1 x x 71.05030738
si2h6 H Si x x 6 2 x x 523.1745859
ch3 H C x x 3 1 x x 308.5795791
ch4 H C x x 4 1 x x 418.0465394
b2h6 H B x x 6 2 x x 607.5632911
sih3f H F Si x 3 1 1 x 374.6683384
ph3 H P x x 3 1 x x 236.5680604
c2h6 H C x x 6 2 x x 712.9584878
propane H C x x 8 3 x x 1009.362556
ch2-sing H C x x 2 1 x x 183.5985177
ch C H x x 1 1 x x 83.01889961
h2s H S x x 2 1 x x 179.3474824
hs S H x x 1 1 x x 86.50647373
c2h5f H C F x 5 2 1 x 725.8388488
ch3nh2 H C N x 5 1 1 x 585.0265577
ch3f H F C x 3 1 1 x 425.0973712
propene H C x x 6 3 x x 864.6882256
nh3 H N x x 3 1 x x 298.0162191
ethanol H C O x 6 2 1 x 814.2598448
ch3nh H C N x 4 1 1 x 481.0581466
c2h4 H C x x 4 2 x x 564.8008266
methanol H C O x 4 1 1 x 514.7042899
hcl Cl H x x 1 1 x x 104.7903968
nh2 H N x x 2 1 x x 185.1853863
nh N H x x 1 1 x x 86.2860922
ch2nh2 H C N x 4 1 1 x 489.8776893
bhf2 F B H x 2 1 1 x 414.2416875
h2o H O x x 2 1 x x 231.181327
hf F H x x 1 1 x x 140.2786034
ch2ch H C x x 3 2 x x 450.8803235
oh O H x x 1 1 x x 108.0282678
propyne H C x x 4 3 x x 710.7109744
acetaldehyde H C O x 4 2 1 x 684.8318015
allene H C x x 4 3 x x 710.9192637
sif4 F Si x x 4 1 x x 570.3157466
bf3 F B x x 3 1 x x 475.9114111
c2h3f H C F x 3 2 1 x 580.7095902
oxirane H C O x 4 2 1 x 661.8631151
ch2f2 H F C x 2 2 1 x 444.4367769
alf3 F Al x x 3 1 x x 426.7475885
bef2 F Be x x 2 1 x x 312.2060323
ch2c C H x x 2 2 x x 361.863803
n2h4 H N x x 4 2 x x 444.9676059
ch2nh H C N x 3 1 1 x 443.525307
alf Al F x x 1 1 x x 161.3460019
acetic H C O x 4 2 2 x 815.491296
