xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.581582
pentane H C x x 12 5 x x 1599.30017
hexane H C x x 14 6 x x 1895.028973
heptane H C x x 16 7 x x 2190.756192
octane H C x x 18 8 x x 2486.483736
isobutane H C x x 10 4 x x 1304.382381
isopentane H C x x 12 5 x x 1599.305159
isohexane H C x x 14 6 x x 1894.94654
isoheptane H C x x 16 7 x x 2190.685403
isooctane H C x x 18 8 x x 2484.226456
neopentane H C x x 12 5 x x 1601.0104
neohexane H C x x 14 6 x x 1895.002763
neoheptane H C x x 16 7 x x 2190.546916
3methylpentane H C x x 14 6 x x 1894.07575
diisopropyl H C x x 14 6 x x 1894.053058
hexamethylethane H C x x 18 8 x x 2481.836095
h2 H x x x 2 x x x 104.3379644
alh3 H Al x x 3 1 x x 206.0416172
alh Al H x x 1 1 x x 68.71735318
sih4 H Si x x 4 1 x x 315.7287251
bh3 H B x x 3 1 x x 278.8028275
bh B H x x 1 1 x x 80.70633333
ch2-trip H C x x 2 1 x x 193.5980284
sih H Si x x 1 1 x x 71.16192613
si2h6 H Si x x 6 2 x x 523.3764779
ch3 H C x x 3 1 x x 308.2515967
ch4 H C x x 4 1 x x 417.6279294
b2h6 H B x x 6 2 x x 607.5248944
sih3f H F Si x 3 1 1 x 371.513174
ph3 H P x x 3 1 x x 237.0006852
c2h6 H C x x 6 2 x x 711.9833886
propane H C x x 8 3 x x 1007.809936
ch2-sing H C x x 2 1 x x 183.3523761
ch C H x x 1 1 x x 82.87083554
h2s H S x x 2 1 x x 179.6819225
hs S H x x 1 1 x x 86.6085438
c2h5f H C F x 5 2 1 x 721.4395756
ch3nh2 H C N x 5 1 1 x 581.6108841
ch3f H F C x 3 1 1 x 421.3367235
propene H C x x 6 3 x x 862.7110197
nh3 H N x x 3 1 x x 295.2780686
ethanol H C O x 6 2 1 x 809.3741842
ch3nh H C N x 4 1 1 x 478.1660388
c2h4 H C x x 4 2 x x 563.3470738
methanol H C O x 4 1 1 x 510.4006982
hcl Cl H x x 1 1 x x 104.904622
nh2 H N x x 2 1 x x 183.1408756
nh N H x x 1 1 x x 85.1324212
ch2nh2 H C N x 4 1 1 x 486.1797398
bhf2 F B H x 2 1 1 x 408.0753895
h2o H O x x 2 1 x x 227.626155
hf F H x x 1 1 x x 137.3937406
ch2ch H C x x 3 2 x x 449.2996223
oh O H x x 1 1 x x 105.9593997
propyne H C x x 4 3 x x 707.4104463
acetaldehyde H C O x 4 2 1 x 678.7286998
allene H C x x 4 3 x x 708.1825466
sif4 F Si x x 4 1 x x 558.4031869
bf3 F B x x 3 1 x x 467.2291228
c2h3f H C F x 3 2 1 x 575.6165549
oxirane H C O x 4 2 1 x 655.400717
ch2f2 H F C x 2 2 1 x 437.4040556
alf3 F Al x x 3 1 x x 415.4583057
bef2 F Be x x 2 1 x x 304.6635872
ch2c C H x x 2 2 x x 359.7255547
n2h4 H N x x 4 2 x x 438.7923488
ch2nh H C N x 3 1 1 x 439.1688204
alf Al F x x 1 1 x x 157.3330917
