xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.2022548
alh3 H Al x x 3 1 x x 205.3967061
alh Al H x x 1 1 x x 71.98359948
sih4 H Si x x 4 1 x x 316.5656014
bh3 H B x x 3 1 x x 281.3640257
bh B H x x 1 1 x x 83.21469553
ch2-trip H C x x 2 1 x x 188.7073461
sih H Si x x 1 1 x x 72.83509974
si2h6 H Si x x 6 2 x x 524.1214423
ch3 H C x x 3 1 x x 306.7490409
ch4 H C x x 4 1 x x 418.5338166
b2h6 H B x x 6 2 x x 603.7481599
sih3f H F Si x 3 1 1 x 379.230508
ph3 H P x x 3 1 x x 241.7140374
c2h6 H C x x 6 2 x x 711.079493
propane H C x x 8 3 x x 1005.7089
ch2-sing H C x x 2 1 x x 180.9168725
ch C H x x 1 1 x x 82.54836659
h2s H S x x 2 1 x x 182.9942154
hs S H x x 1 1 x x 88.35043986
c2h5f H C F x 5 2 1 x 721.7579729
ch3nh2 H C N x 5 1 1 x 581.106798
ch3f H F C x 3 1 1 x 423.3043906
propene H C x x 6 3 x x 859.8761878
nh3 H N x x 3 1 x x 296.4919735
ethanol H C O x 6 2 1 x 809.5375925
ch3nh H C N x 4 1 1 x 474.5862501
c2h4 H C x x 4 2 x x 562.331971
methanol H C O x 4 1 1 x 512.0456637
hcl Cl H x x 1 1 x x 106.1127524
nh2 H N x x 2 1 x x 181.5354874
nh N H x x 1 1 x x 83.13884057
ch2nh2 H C N x 4 1 1 x 482.8935991
bhf2 F B H x 2 1 1 x 416.4069971
h2o H O x x 2 1 x x 230.6672778
hf F H x x 1 1 x x 140.3965958
ch2ch H C x x 3 2 x x 444.6901073
oh O H x x 1 1 x x 106.0723513
propyne H C x x 4 3 x x 703.4842377
acetaldehyde H C O x 4 2 1 x 675.1162915
allene H C x x 4 3 x x 703.8708448
sif4 F Si x x 4 1 x x 585.950154
bf3 F B x x 3 1 x x 479.1622234
c2h3f H C F x 3 2 1 x 574.2528732
oxirane H C O x 4 2 1 x 651.4650846
ch2f2 H F C x 2 2 1 x 439.815617
alf3 F Al x x 3 1 x x 433.4175882
bef2 F Be x x 2 1 x x 314.0695258
ch2c C H x x 2 2 x x 358.7096051
n2h4 H N x x 4 2 x x 437.3979902
ch2nh H C N x 3 1 1 x 437.2586435
alf Al F x x 1 1 x x 167.0202545
acetic H C O x 4 2 2 x 802.059171
c2h2 C H x x 2 2 x x 402.7134751
h2co H O C x 2 1 1 x 371.4226122
h2cn H C N x 2 1 1 x 342.591271
bf F B x x 1 1 x x 184.5153755
becl2 Cl Be x x 2 1 x x 227.93945
t-hcoh H C O x 2 1 1 x 320.5618774
alcl3 Cl Al x x 3 1 x x 310.9770457
c-hcoh H C O x 2 1 1 x 315.2866218
alcl Al Cl x x 1 1 x x 124.5633601
ketene C H O x 2 2 1 x 532.8179471
sif F Si x x 1 1 x x 146.4707209
formic H O C x 2 2 1 x 499.7057548
hcnh H C N x 2 1 1 x 334.8448218
glyoxal C H O x 2 2 2 x 629.7970368
hcof C O H F 1 1 1 1 402.5813298
nh2cl H N Cl x 2 1 1 x 246.8588729
cf4 F C x x 4 1 x x 482.6287513
hccf C H F x 2 1 1 x 397.602506
hcn H C N x 1 1 1 x 309.9631019
hnc H N C x 1 1 1 x 296.8798621
cch C H x x 2 1 x x 260.3123245
hco O C H x 1 1 1 x 276.8329035
co C O x x 1 1 x x 256.7231145
oxirene C H O x 2 2 1 x 453.8731619
f2co F O C x 2 1 1 x 421.2026095
hocn C N O H 1 1 1 1 407.3625023
