xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.2022547
alh3 H Al x x 3 1 x x 205.387734
alh Al H x x 1 1 x x 71.98358732
sih4 H Si x x 4 1 x x 316.5588656
bh3 H B x x 3 1 x x 281.3630687
bh B H x x 1 1 x x 83.21469205
ch2-trip H C x x 2 1 x x 188.7071139
sih H Si x x 1 1 x x 72.83509475
si2h6 H Si x x 6 2 x x 524.0205964
ch3 H C x x 3 1 x x 306.7486083
ch4 H C x x 4 1 x x 418.5332345
b2h6 H B x x 6 2 x x 603.7099292
sih3f H F Si x 3 1 1 x 379.2136048
ph3 H P x x 3 1 x x 241.713078
c2h6 H C x x 6 2 x x 711.0474261
propane H C x x 8 3 x x 1005.575401
ch2-sing H C x x 2 1 x x 180.9167947
ch C H x x 1 1 x x 82.54836481
h2s H S x x 2 1 x x 182.9940186
hs S H x x 1 1 x x 88.35043468
c2h5f H C F x 5 2 1 x 721.6997006
ch3nh2 H C N x 5 1 1 x 581.0907517
ch3f H F C x 3 1 1 x 423.3016093
propene H C x x 6 3 x x 859.7811749
nh3 H N x x 3 1 x x 296.4918337
ethanol H C O x 6 2 1 x 809.4525599
ch3nh H C N x 4 1 1 x 474.5785267
c2h4 H C x x 4 2 x x 562.3146622
methanol H C O x 4 1 1 x 512.0380527
hcl Cl H x x 1 1 x x 106.1127461
nh2 H N x x 2 1 x x 181.5354435
nh N H x x 1 1 x x 83.13883945
ch2nh2 H C N x 4 1 1 x 482.8798729
bhf2 F B H x 2 1 1 x 416.4033213
h2o H O x x 2 1 x x 230.6672489
hf F H x x 1 1 x x 140.3965943
ch2ch H C x x 3 2 x x 444.6789758
oh O H x x 1 1 x x 106.0723497
propyne H C x x 4 3 x x 703.4304554
acetaldehyde H C O x 4 2 1 x 675.0709067
allene H C x x 4 3 x x 703.802649
sif4 F Si x x 4 1 x x 585.9386451
bf3 F B x x 3 1 x x 479.159934
c2h3f H C F x 3 2 1 x 574.2144028
oxirane H C O x 4 2 1 x 651.4428111
ch2f2 H F C x 2 2 1 x 439.8119001
alf3 F Al x x 3 1 x x 433.4046324
bef2 F Be x x 2 1 x x 314.0659392
ch2c C H x x 2 2 x x 358.708963
n2h4 H N x x 4 2 x x 437.3905311
ch2nh H C N x 3 1 1 x 437.2530348
alf Al F x x 1 1 x x 167.0202409
acetic H C O x 4 2 2 x 801.9613309
c2h2 C H x x 2 2 x x 402.7026101
h2co H O C x 2 1 1 x 371.4213661
h2cn H C N x 2 1 1 x 342.5906151
bf F B x x 1 1 x x 184.5153725
becl2 Cl Be x x 2 1 x x 227.9337213
t-hcoh H C O x 2 1 1 x 320.5586414
alcl3 Cl Al x x 3 1 x x 310.9603241
c-hcoh H C O x 2 1 1 x 315.2858367
alcl Al Cl x x 1 1 x x 124.5633005
ketene C H O x 2 2 1 x 532.7852721
sif F Si x x 1 1 x x 146.4707101
formic H O C x 2 2 1 x 499.6991998
hcnh H C N x 2 1 1 x 334.8393566
glyoxal C H O x 2 2 2 x 629.7655488
hcof C O H F 1 1 1 1 402.5793962
nh2cl H N Cl x 2 1 1 x 246.8577314
cf4 F C x x 4 1 x x 482.6257506
hccf C H F x 2 1 1 x 397.5797119
hcn H C N x 1 1 1 x 309.9626045
hnc H N C x 1 1 1 x 296.8795093
cch C H x x 2 1 x x 260.3118062
hco O C H x 1 1 1 x 276.8323179
co C O x x 1 1 x x 256.7231126
oxirene C H O x 2 2 1 x 453.8591121
f2co F O C x 2 1 1 x 421.2009658
hocn C N O H 1 1 1 1 407.3567759
