xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.673691
pentane H C x x 12 5 x x 1598.303805
hexane H C x x 14 6 x x 1892.941627
heptane H C x x 16 7 x x 2187.588261
octane H C x x 18 8 x x 2482.227611
isobutane H C x x 10 4 x x 1304.548337
isopentane H C x x 12 5 x x 1598.400172
isohexane H C x x 14 6 x x 1892.982513
isoheptane H C x x 16 7 x x 2187.64807
isooctane H C x x 18 8 x x 2480.357526
neopentane H C x x 12 5 x x 1600.050579
neohexane H C x x 14 6 x x 1892.984874
neoheptane H C x x 16 7 x x 2187.501439
3methylpentane H C x x 14 6 x x 1892.101676
diisopropyl H C x x 14 6 x x 1891.976818
hexamethylethane H C x x 18 8 x x 2477.095933
h2 H x x x 2 x x x 109.3211226
alh3 H Al x x 3 1 x x 211.922225
alh Al H x x 1 1 x x 73.57671076
sih4 H Si x x 4 1 x x 322.4575521
bh3 H B x x 3 1 x x 283.2826156
bh B H x x 1 1 x x 83.79074085
ch2-trip H C x x 2 1 x x 192.2142196
sih H Si x x 1 1 x x 74.84799634
si2h6 H Si x x 6 2 x x 532.3795953
ch3 H C x x 3 1 x x 309.9259264
ch4 H C x x 4 1 x x 421.2965743
b2h6 H B x x 6 2 x x 606.8285019
sih3f H F Si x 3 1 1 x 379.3707925
ph3 H P x x 3 1 x x 240.5858542
c2h6 H C x x 6 2 x x 714.3240629
propane H C x x 8 3 x x 1008.999516
ch2-sing H C x x 2 1 x x 185.2242693
ch C H x x 1 1 x x 84.80803764
h2s H S x x 2 1 x x 181.9334743
hs S H x x 1 1 x x 87.17357223
c2h5f H C F x 5 2 1 x 722.8094248
ch3nh2 H C N x 5 1 1 x 582.1480251
ch3f H F C x 3 1 1 x 424.0664979
propene H C x x 6 3 x x 860.6336092
nh3 H N x x 3 1 x x 296.9012335
ethanol H C O x 6 2 1 x 810.3156185
ch3nh H C N x 4 1 1 x 477.4572897
c2h4 H C x x 4 2 x x 562.6161283
methanol H C O x 4 1 1 x 512.5806604
hcl Cl H x x 1 1 x x 107.5985188
nh2 H N x x 2 1 x x 183.4768384
nh N H x x 1 1 x x 84.55950938
ch2nh2 H C N x 4 1 1 x 484.1585326
bhf2 F B H x 2 1 1 x 410.9717113
h2o H O x x 2 1 x x 230.2387557
hf F H x x 1 1 x x 140.6607253
ch2ch H C x x 3 2 x x 447.2336324
oh O H x x 1 1 x x 106.2299692
propyne H C x x 4 3 x x 705.3921474
acetaldehyde H C O x 4 2 1 x 679.1137025
allene H C x x 4 3 x x 704.0426341
sif4 F Si x x 4 1 x x 566.3272462
bf3 F B x x 3 1 x x 470.2198203
c2h3f H C F x 3 2 1 x 573.6346289
oxirane H C O x 4 2 1 x 656.9850947
ch2f2 H F C x 2 2 1 x 439.1211391
alf3 F Al x x 3 1 x x 424.9442398
bef2 F Be x x 2 1 x x 307.8245168
ch2c C H x x 2 2 x x 360.6422636
n2h4 H N x x 4 2 x x 436.9386175
ch2nh H C N x 3 1 1 x 438.0587107
alf Al F x x 1 1 x x 162.3150188
acetic H C O x 4 2 2 x 804.5248415
c2h2 C H x x 2 2 x x 403.4647383
h2co H O C x 2 1 1 x 374.6438902
h2cn H C N x 2 1 1 x 344.7971449
bf F B x x 1 1 x x 182.2255449
becl2 Cl Be x x 2 1 x x 228.8427996
t-hcoh H C O x 2 1 1 x 322.5735024
alcl3 Cl Al x x 3 1 x x 314.080076
c-hcoh H C O x 2 1 1 x 317.8333221
alcl Al Cl x x 1 1 x x 123.4710307
ketene C H O x 2 2 1 x 537.9980057
