xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.8475088
alh3 H Al x x 3 1 x x 208.4276098
alh Al H x x 1 1 x x 72.9544118
sih4 H Si x x 4 1 x x 320.8528118
bh3 H B x x 3 1 x x 282.6493925
bh B H x x 1 1 x x 84.22582458
ch2-trip H C x x 2 1 x x 192.2722723
sih H Si x x 1 1 x x 74.55277407
si2h6 H Si x x 6 2 x x 529.5548909
ch3 H C x x 3 1 x x 305.9770696
ch4 H C x x 4 1 x x 417.6855731
b2h6 H B x x 6 2 x x 608.8426915
sih3f H F Si x 3 1 1 x 379.959516
ph3 H P x x 3 1 x x 242.6826129
c2h6 H C x x 6 2 x x 709.6437089
propane H C x x 8 3 x x 1003.585845
ch2-sing H C x x 2 1 x x 181.3139981
ch C H x x 1 1 x x 83.10327251
h2s H S x x 2 1 x x 181.9405603
hs S H x x 1 1 x x 87.46865218
c2h5f H C F x 5 2 1 x 719.2457592
ch3nh2 H C N x 5 1 1 x 579.9772656
ch3f H F C x 3 1 1 x 421.5753567
propene H C x x 6 3 x x 858.1363904
nh3 H N x x 3 1 x x 295.4604613
ethanol H C O x 6 2 1 x 808.6434269
ch3nh H C N x 4 1 1 x 473.2014008
c2h4 H C x x 4 2 x x 561.1470827
methanol H C O x 4 1 1 x 511.8562181
hcl Cl H x x 1 1 x x 105.7848627
nh2 H N x x 2 1 x x 180.7502695
nh N H x x 1 1 x x 83.18319301
ch2nh2 H C N x 4 1 1 x 480.9928172
bhf2 F B H x 2 1 1 x 413.3188775
h2o H O x x 2 1 x x 230.5017232
hf F H x x 1 1 x x 139.2424052
ch2ch H C x x 3 2 x x 444.8583719
oh O H x x 1 1 x x 106.3063412
propyne H C x x 4 3 x x 704.1424033
acetaldehyde H C O x 4 2 1 x 675.4947297
allene H C x x 4 3 x x 703.5044898
sif4 F Si x x 4 1 x x 576.1686176
bf3 F B x x 3 1 x x 474.2956862
c2h3f H C F x 3 2 1 x 572.7571134
oxirane H C O x 4 2 1 x 652.6680035
ch2f2 H F C x 2 2 1 x 437.4639422
alf3 F Al x x 3 1 x x 425.6044334
bef2 F Be x x 2 1 x x 309.5946685
ch2c C H x x 2 2 x x 358.6098344
n2h4 H N x x 4 2 x x 436.7536007
ch2nh H C N x 3 1 1 x 437.0680661
alf Al F x x 1 1 x x 164.1320976
acetic H C O x 4 2 2 x 802.7315249
c2h2 C H x x 2 2 x x 403.8165805
h2co H O C x 2 1 1 x 372.6536619
h2cn H C N x 2 1 1 x 341.8693476
bf F B x x 1 1 x x 183.449287
becl2 Cl Be x x 2 1 x x 228.6083731
t-hcoh H C O x 2 1 1 x 321.6843116
alcl3 Cl Al x x 3 1 x x 310.9634224
c-hcoh H C O x 2 1 1 x 316.7709677
alcl Al Cl x x 1 1 x x 123.6142291
