xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1297.17792
pentane H C x x 12 5 x x 1590.990651
hexane H C x x 14 6 x x 1884.805192
heptane H C x x 16 7 x x 2178.643818
octane H C x x 18 8 x x 2472.458081
isobutane H C x x 10 4 x x 1298.510587
isopentane H C x x 12 5 x x 1591.840909
isohexane H C x x 14 6 x x 1885.614564
isoheptane H C x x 16 7 x x 2179.472367
isooctane H C x x 18 8 x x 2473.854334
neopentane H C x x 12 5 x x 1594.436394
neohexane H C x x 14 6 x x 1887.189623
neoheptane H C x x 16 7 x x 2180.923813
3methylpentane H C x x 14 6 x x 1885.010358
diisopropyl H C x x 14 6 x x 1885.844279
hexamethylethane H C x x 18 8 x x 2473.842422
h2 H x x x 2 x x x 107.8474677
alh3 H Al x x 3 1 x x 208.4136239
alh Al H x x 1 1 x x 72.95393093
sih4 H Si x x 4 1 x x 320.7933606
bh3 H B x x 3 1 x x 282.5986962
bh B H x x 1 1 x x 84.22571186
ch2-trip H C x x 2 1 x x 192.2573282
sih H Si x x 1 1 x x 74.55257641
si2h6 H Si x x 6 2 x x 529.432319
ch3 H C x x 3 1 x x 305.947695
ch4 H C x x 4 1 x x 417.6489561
b2h6 H B x x 6 2 x x 608.5760532
sih3f H F Si x 3 1 1 x 379.8822061
ph3 H P x x 3 1 x x 242.6317864
c2h6 H C x x 6 2 x x 709.5247709
propane H C x x 8 3 x x 1003.356757
ch2-sing H C x x 2 1 x x 181.3094547
ch C H x x 1 1 x x 83.10320422
h2s H S x x 2 1 x x 181.9276763
hs S H x x 1 1 x x 87.4685544
c2h5f H C F x 5 2 1 x 719.120752
ch3nh2 H C N x 5 1 1 x 579.8909745
ch3f H F C x 3 1 1 x 421.5387895
propene H C x x 6 3 x x 858.0044797
nh3 H N x x 3 1 x x 295.4531916
ethanol H C O x 6 2 1 x 808.4943978
ch3nh H C N x 4 1 1 x 473.1394063
c2h4 H C x x 4 2 x x 561.0908466
methanol H C O x 4 1 1 x 511.7945259
hcl Cl H x x 1 1 x x 105.7847727
nh2 H N x x 2 1 x x 180.7480317
nh N H x x 1 1 x x 83.1831369
ch2nh2 H C N x 4 1 1 x 480.9377402
bhf2 F B H x 2 1 1 x 413.2890174
h2o H O x x 2 1 x x 230.5004025
hf F H x x 1 1 x x 139.2423568
ch2ch H C x x 3 2 x x 444.826721
oh O H x x 1 1 x x 106.3062976
propyne H C x x 4 3 x x 704.0879392
acetaldehyde H C O x 4 2 1 x 675.4113654
allene H C x x 4 3 x x 703.4606975
sif4 F Si x x 4 1 x x 576.0636303
bf3 F B x x 3 1 x x 474.2754362
c2h3f H C F x 3 2 1 x 572.7022676
oxirane H C O x 4 2 1 x 652.5787677
ch2f2 H F C x 2 2 1 x 437.4314146
alf3 F Al x x 3 1 x x 425.5500536
bef2 F Be x x 2 1 x x 309.5752664
ch2c C H x x 2 2 x x 358.5916482
n2h4 H N x x 4 2 x x 436.6993684
ch2nh H C N x 3 1 1 x 437.0307252
alf Al F x x 1 1 x x 164.1317562
acetic H C O x 4 2 2 x 802.6338856
c2h2 C H x x 2 2 x x 403.7981509
h2co H O C x 2 1 1 x 372.635774
h2cn H C N x 2 1 1 x 341.8511148
bf F B x x 1 1 x x 183.4491851
becl2 Cl Be x x 2 1 x x 228.5792943
t-hcoh H C O x 2 1 1 x 321.6763792
alcl3 Cl Al x x 3 1 x x 310.8745748
c-hcoh H C O x 2 1 1 x 316.7497196
alcl Al Cl x x 1 1 x x 123.61317
ketene C H O x 2 2 1 x 534.3224315
sif F Si x x 1 1 x x 143.9979929
formic H O C x 2 2 1 x 501.1635519
hcnh H C N x 2 1 1 x 334.5928341
glyoxal C H O x 2 2 2 x 632.6958175
hcof C O H F 1 1 1 1 402.9386821
nh2cl H N Cl x 2 1 1 x 247.0087351
cf4 F C x x 4 1 x x 480.7224567
hccf C H F x 2 1 1 x 400.0574397
hcn H C N x 1 1 1 x 311.2877982
hnc H N C x 1 1 1 x 298.564352
cch C H x x 2 1 x x 266.0800575
hco O C H x 1 1 1 x 278.0913376
co C O x x 1 1 x x 259.00923
oxirene C H O x 2 2 1 x 456.478893
f2co F O C x 2 1 1 x 421.9250308
hocn C N O H 1 1 1 1 410.6816826
hooh H O x x 2 2 x x 266.3375353
t-n2h2 H N x x 2 2 x x 293.6493216
hnco C O N H 1 1 1 1 435.6063095
c-n2h2 H N x x 2 2 x x 288.0033937
cf2 F C x x 2 1 x x 259.1232313
co2 O C x x 2 1 x x 389.7878014
fccf F C x x 2 2 x x 390.6385575
dioxirane H O C x 2 2 1 x 408.1526053
cf C F x x 1 1 x x 133.5062911
ssh S H x x 2 1 x x 165.4336702
hocl O H Cl x 1 1 1 x 165.4284292
nccn N C x x 2 2 x x 499.643726
n2 N x x x 2 x x x 226.5254053
n2h N H x x 2 1 x x 223.7975307
ocs O C S x 1 1 1 x 336.1432418
sio Si O x x 1 1 x x 190.8114524
clcn Cl C N x 1 1 1 x 285.0921229
hoo O H x x 2 1 x x 174.3836402
hcno C H N O 1 1 1 1 364.1086122
honc H O N C 1 1 1 1 352.1623565
hno N H O x 1 1 1 x 202.2321053
hof H O F x 1 1 1 x 154.9093504
c-hono O N H x 2 1 1 x 308.7630855
t-hono O N H x 2 1 1 x 308.7395882
cs2 S C x x 2 1 x x 280.2875827
hnnn N H x x 3 1 x x 330.5473346
cs C S x x 1 1 x x 169.0154081
cn C N x x 1 1 x x 176.514359
so3 O S x x 3 1 x x 337.6157543
ccl2 Cl C x x 2 1 x x 176.3931463
bn3pi B N x x 1 1 x x 110.4945989
so2 O S x x 2 1 x x 253.0166179
no N O x x 1 1 x x 151.2588848
