xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1297.076463
pentane H C x x 12 5 x x 1590.808613
hexane H C x x 14 6 x x 1884.536455
heptane H C x x 16 7 x x 2178.285706
octane H C x x 18 8 x x 2472.009608
isobutane H C x x 10 4 x x 1298.415595
isopentane H C x x 12 5 x x 1591.652061
isohexane H C x x 14 6 x x 1885.319284
isoheptane H C x x 16 7 x x 2179.07356
isooctane H C x x 18 8 x x 2473.252953
neopentane H C x x 12 5 x x 1594.260602
neohexane H C x x 14 6 x x 1886.890059
neoheptane H C x x 16 7 x x 2180.489963
3methylpentane H C x x 14 6 x x 1884.711958
diisopropyl H C x x 14 6 x x 1885.542363
hexamethylethane H C x x 18 8 x x 2473.233811
h2 H x x x 2 x x x 107.8474677
alh3 H Al x x 3 1 x x 208.4121999
alh Al H x x 1 1 x x 72.95392904
sih4 H Si x x 4 1 x x 320.7923135
bh3 H B x x 3 1 x x 282.598548
bh B H x x 1 1 x x 84.22571132
ch2-trip H C x x 2 1 x x 192.2572922
sih H Si x x 1 1 x x 74.55257563
si2h6 H Si x x 6 2 x x 529.3934925
ch3 H C x x 3 1 x x 305.9476281
ch4 H C x x 4 1 x x 417.648866
b2h6 H B x x 6 2 x x 608.5668993
sih3f H F Si x 3 1 1 x 379.8795535
ph3 H P x x 3 1 x x 242.6316378
c2h6 H C x x 6 2 x x 709.5193792
propane H C x x 8 3 x x 1003.319802
ch2-sing H C x x 2 1 x x 181.3094427
ch C H x x 1 1 x x 83.10320394
h2s H S x x 2 1 x x 181.9276459
hs S H x x 1 1 x x 87.4685536
c2h5f H C F x 5 2 1 x 719.1090333
ch3nh2 H C N x 5 1 1 x 579.8883852
ch3f H F C x 3 1 1 x 421.5383587
propene H C x x 6 3 x x 857.9762867
nh3 H N x x 3 1 x x 295.4531699
ethanol H C O x 6 2 1 x 808.4736422
ch3nh H C N x 4 1 1 x 473.1381672
c2h4 H C x x 4 2 x x 561.087894
methanol H C O x 4 1 1 x 511.7933254
hcl Cl H x x 1 1 x x 105.7847717
nh2 H N x x 2 1 x x 180.7480249
nh N H x x 1 1 x x 83.18313673
ch2nh2 H C N x 4 1 1 x 480.9354881
bhf2 F B H x 2 1 1 x 413.2884473
h2o H O x x 2 1 x x 230.500398
hf F H x x 1 1 x x 139.2423565
ch2ch H C x x 3 2 x x 444.8247821
oh O H x x 1 1 x x 106.3062974
propyne H C x x 4 3 x x 704.0669689
acetaldehyde H C O x 4 2 1 x 675.4035078
allene H C x x 4 3 x x 703.4356792
sif4 F Si x x 4 1 x x 576.061841
bf3 F B x x 3 1 x x 474.2750816
c2h3f H C F x 3 2 1 x 572.6938911
oxirane H C O x 4 2 1 x 652.5749536
ch2f2 H F C x 2 2 1 x 437.4308389
alf3 F Al x x 3 1 x x 425.54801
bef2 F Be x x 2 1 x x 309.5747036
ch2c C H x x 2 2 x x 358.5915488
n2h4 H N x x 4 2 x x 436.6981965
ch2nh H C N x 3 1 1 x 437.0298241
alf Al F x x 1 1 x x 164.131754
acetic H C O x 4 2 2 x 802.6111948
c2h2 C H x x 2 2 x x 403.7958872
h2co H O C x 2 1 1 x 372.6355811
h2cn H C N x 2 1 1 x 341.8510133
bf F B x x 1 1 x x 183.4491846
becl2 Cl Be x x 2 1 x x 228.5784001
t-hcoh H C O x 2 1 1 x 321.6758678
alcl3 Cl Al x x 3 1 x x 310.8719658
c-hcoh H C O x 2 1 1 x 316.749598
alcl Al Cl x x 1 1 x x 123.6131608
ketene C H O x 2 2 1 x 534.3165013
sif F Si x x 1 1 x x 143.9979912
formic H O C x 2 2 1 x 501.162519
hcnh H C N x 2 1 1 x 334.5919324
glyoxal C H O x 2 2 2 x 632.6904922
hcof C O H F 1 1 1 1 402.9383826
nh2cl H N Cl x 2 1 1 x 247.0085583
cf4 F C x x 4 1 x x 480.7219921
hccf C H F x 2 1 1 x 400.0490175
hcn H C N x 1 1 1 x 311.2877211
hnc H N C x 1 1 1 x 298.5642973
cch C H x x 2 1 x x 266.0799772
hco O C H x 1 1 1 x 278.0912469
co C O x x 1 1 x x 259.0092297
oxirene C H O x 2 2 1 x 456.4762132
f2co F O C x 2 1 1 x 421.9247762
hocn C N O H 1 1 1 1 410.6807797
hooh H O x x 2 2 x x 266.3372943
t-n2h2 H N x x 2 2 x x 293.6488842
hnco C O N H 1 1 1 1 435.60371
c-n2h2 H N x x 2 2 x x 288.003312
cf2 F C x x 2 1 x x 259.1231761
co2 O C x x 2 1 x x 389.7877129
fccf F C x x 2 2 x x 390.6326195
dioxirane H O C x 2 2 1 x 408.1521583
cf C F x x 1 1 x x 133.5062902
ssh S H x x 2 1 x x 165.4335054
hocl O H Cl x 1 1 1 x 165.4283675
nccn N C x x 2 2 x x 499.6406318
n2 N x x x 2 x x x 226.5254051
n2h N H x x 2 1 x x 223.7975087
ocs O C S x 1 1 1 x 336.1431212
sio Si O x x 1 1 x x 190.8114512
clcn Cl C N x 1 1 1 x 285.0918657
hoo O H x x 2 1 x x 174.3836005
hcno C H N O 1 1 1 1 364.1031922
honc H O N C 1 1 1 1 352.1615488
hno N H O x 1 1 1 x 202.2320651
hof H O F x 1 1 1 x 154.9092887
c-hono O N H x 2 1 1 x 308.7629048
t-hono O N H x 2 1 1 x 308.7380777
cs2 S C x x 2 1 x x 280.2874153
hnnn N H x x 3 1 x x 330.5465704
cs C S x x 1 1 x x 169.0154067
cn C N x x 1 1 x x 176.5143588
so3 O S x x 3 1 x x 337.6153326
ccl2 Cl C x x 2 1 x x 176.393019
bn3pi B N x x 1 1 x x 110.4945983
so2 O S x x 2 1 x x 253.0164699
no N O x x 1 1 x x 151.2588844
so S O x x 1 1 x x 125.7333482
n2o N O x x 2 1 x x 267.9550879
c-hooo O H x x 3 1 x x 227.3493891
s2 S x x x 2 x x x 105.2919678
p4 P x x x 4 x x x 307.6488407
cl2 Cl x x x 2 x x x 60.15328795
o2 O x x x 2 x x x 121.4216879
f2 F x x x 2 x x x 32.78029482
t-hooo O H x x 3 1 x x 225.2286
s2o S O x x 2 1 x x 202.3515557
p2 P x x x 2 x x x 120.2434661
clf Cl F x x 1 1 x x 62.41315517
no2 O N x x 2 1 x x 223.6970515
clo Cl O x x 1 1 x x 64.77370127
s3 S x x x 3 x x x 163.6524882
cl2o Cl O x x 2 1 x x 101.2638861
s4-c2v S x x x 4 x x x 228.2747815
of O F x x 1 1 x x 50.76733601
c2 C x x x 2 x x x 129.5117647
oclo O Cl x x 2 1 x x 121.7605102
f2o F O x x 2 1 x x 88.49741479
b2 B x x x 2 x x x 60.38853668
fo2 O F x x 2 1 x x 123.394629
cloo O Cl x x 2 1 x x 120.0706263
foof F O x x 2 2 x x 137.5380095
o3 O x x x 3 x x x 134.1406076
bn B N x x 1 1 x x 104.2866139
be2 Be x x x 2 x x x 2.261836783
