xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 108.027746
alh3 H Al x x 3 1 x x 215.6760503
alh Al H x x 1 1 x x 75.97586873
sih4 H Si x x 4 1 x x 329.1189648
bh3 H B x x 3 1 x x 286.3001375
bh B H x x 1 1 x x 85.93256473
ch2-trip H C x x 2 1 x x 192.5099468
sih H Si x x 1 1 x x 76.45444111
si2h6 H Si x x 6 2 x x 541.7378906
ch3 H C x x 3 1 x x 307.8794664
ch4 H C x x 4 1 x x 419.8995012
b2h6 H B x x 6 2 x x 614.0245667
sih3f H F Si x 3 1 1 x 384.9298526
ph3 H P x x 3 1 x x 244.9406398
c2h6 H C x x 6 2 x x 712.4607953
propane H C x x 8 3 x x 1007.104403
ch2-sing H C x x 2 1 x x 185.218208
ch C H x x 1 1 x x 84.49732527
h2s H S x x 2 1 x x 182.309458
hs S H x x 1 1 x x 87.41653275
c2h5f H C F x 5 2 1 x 721.7953538
ch3nh2 H C N x 5 1 1 x 580.4200825
ch3f H F C x 3 1 1 x 423.5820792
propene H C x x 6 3 x x 860.471379
nh3 H N x x 3 1 x x 295.1110509
ethanol H C O x 6 2 1 x 810.1831231
ch3nh H C N x 4 1 1 x 474.9747916
c2h4 H C x x 4 2 x x 562.6516349
methanol H C O x 4 1 1 x 512.7575044
hcl Cl H x x 1 1 x x 106.3568604
nh2 H N x x 2 1 x x 181.4606882
nh N H x x 1 1 x x 82.65581095
ch2nh2 H C N x 4 1 1 x 481.5170516
bhf2 F B H x 2 1 1 x 414.6075864
h2o H O x x 2 1 x x 230.5013758
hf F H x x 1 1 x x 140.7837054
ch2ch H C x x 3 2 x x 447.1764206
oh O H x x 1 1 x x 106.4122745
propyne H C x x 4 3 x x 706.8674042
acetaldehyde H C O x 4 2 1 x 679.0440535
allene H C x x 4 3 x x 705.5324664
sif4 F Si x x 4 1 x x 568.7473794
bf3 F B x x 3 1 x x 474.4669477
c2h3f H C F x 3 2 1 x 574.7245139
oxirane H C O x 4 2 1 x 654.8457919
ch2f2 H F C x 2 2 1 x 439.1330384
alf3 F Al x x 3 1 x x 421.7843016
bef2 F Be x x 2 1 x x 309.2484093
ch2c C H x x 2 2 x x 361.581217
n2h4 H N x x 4 2 x x 435.151524
ch2nh H C N x 3 1 1 x 437.5901109
alf Al F x x 1 1 x x 163.106344
acetic H C O x 4 2 2 x 805.9075657
c2h2 C H x x 2 2 x x 405.4700027
h2co H O C x 2 1 1 x 375.5052573
h2cn H C N x 2 1 1 x 343.4236982
bf F B x x 1 1 x x 184.3164802
becl2 Cl Be x x 2 1 x x 230.0226314
t-hcoh H C O x 2 1 1 x 323.7159673
alcl3 Cl Al x x 3 1 x x 311.6413818
c-hcoh H C O x 2 1 1 x 319.1195677
alcl Al Cl x x 1 1 x x 124.2131327
ketene C H O x 2 2 1 x 539.1866034
sif F Si x x 1 1 x x 143.381093
formic H O C x 2 2 1 x 503.7635189
hcnh H C N x 2 1 1 x 335.6651192
glyoxal C H O x 2 2 2 x 636.7782705
hcof C O H F 1 1 1 1 406.7917014
nh2cl H N Cl x 2 1 1 x 246.3086249
cf4 F C x x 4 1 x x 483.9081569
hccf C H F x 2 1 1 x 404.923405
hcn H C N x 1 1 1 x 310.9343509
hnc H N C x 1 1 1 x 298.1448222
cch C H x x 2 1 x x 268.1550569
hco O C H x 1 1 1 x 280.4666626
co C O x x 1 1 x x 259.0634299
oxirene C H O x 2 2 1 x 458.1060998
f2co F O C x 2 1 1 x 427.5770784
hocn C N O H 1 1 1 1 412.4694991
hooh H O x x 2 2 x x 264.9392418
t-n2h2 H N x x 2 2 x x 292.5005502
hnco C O N H 1 1 1 1 441.629101
c-n2h2 H N x x 2 2 x x 287.1093656
cf2 F C x x 2 1 x x 262.7953194
co2 O C x x 2 1 x x 397.9928202
fccf F C x x 2 2 x x 398.3360408
dioxirane H O C x 2 2 1 x 407.7353466
cf C F x x 1 1 x x 135.3639234
ssh S H x x 2 1 x x 166.6415465
hocl O H Cl x 1 1 1 x 164.354145
nccn N C x x 2 2 x x 501.1063189
n2 N x x x 2 x x x 222.6427608
n2h N H x x 2 1 x x 222.5060401
ocs O C S x 1 1 1 x 341.900855
sio Si O x x 1 1 x x 191.3497258
clcn Cl C N x 1 1 1 x 286.492026
hoo O H x x 2 1 x x 173.7765754
hcno C H N O 1 1 1 1 371.3798717
honc H O N C 1 1 1 1 352.7478419
hno N H O x 1 1 1 x 202.3337547
hof H O F x 1 1 1 x 154.4152382
c-hono O N H x 2 1 1 x 310.8076143
t-hono O N H x 2 1 1 x 311.1659654
cs2 S C x x 2 1 x x 284.7809267
hnnn N H x x 3 1 x x 334.9075211
cs C S x x 1 1 x x 169.7041735
cn C N x x 1 1 x x 178.711433
so3 O S x x 3 1 x x 346.552634
ccl2 Cl C x x 2 1 x x 181.1943813
bn3pi B N x x 1 1 x x 108.7022802
so2 O S x x 2 1 x x 258.0758316
no N O x x 1 1 x x 149.5954429
so S O x x 1 1 x x 125.095882
n2o N O x x 2 1 x x 274.6727585
c-hooo O H x x 3 1 x x 228.9631146
s2 S x x x 2 x x x 105.5935445
p4 P x x x 4 x x x 308.9618264
cl2 Cl x x x 2 x x x 61.05539694
o2 O x x x 2 x x x 120.3183017
f2 F x x x 2 x x x 33.29475268
t-hooo O H x x 3 1 x x 228.3737475
s2o S O x x 2 1 x x 208.2741979
p2 P x x x 2 x x x 119.2466548
clf Cl F x x 1 1 x x 61.86358999
