xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 110.5179637
alh3 H Al x x 3 1 x x 205.7156114
alh Al H x x 1 1 x x 71.66531318
sih4 H Si x x 4 1 x x 316.3877528
bh3 H B x x 3 1 x x 282.9236902
bh B H x x 1 1 x x 86.97626133
ch2-trip H C x x 2 1 x x 192.1469039
sih H Si x x 1 1 x x 73.46163393
si2h6 H Si x x 6 2 x x 522.1643803
ch3 H C x x 3 1 x x 308.6554342
ch4 H C x x 4 1 x x 422.3028988
b2h6 H B x x 6 2 x x 606.0199145
sih3f H F Si x 3 1 1 x 380.4312638
ph3 H P x x 3 1 x x 245.735491
c2h6 H C x x 6 2 x x 716.3034961
propane H C x x 8 3 x x 1012.496143
ch2-sing H C x x 2 1 x x 181.6875009
ch C H x x 1 1 x x 84.8042436
h2s H S x x 2 1 x x 185.324092
hs S H x x 1 1 x x 89.54022715
c2h5f H C F x 5 2 1 x 726.9944451
ch3nh2 H C N x 5 1 1 x 588.4628038
ch3f H F C x 3 1 1 x 427.9042132
propene H C x x 6 3 x x 864.8441059
nh3 H N x x 3 1 x x 300.4959465
ethanol H C O x 6 2 1 x 815.3336718
ch3nh H C N x 4 1 1 x 476.5535427
c2h4 H C x x 4 2 x x 566.5422479
methanol H C O x 4 1 1 x 516.9639814
hcl Cl H x x 1 1 x x 106.8141978
nh2 H N x x 2 1 x x 181.8390487
nh N H x x 1 1 x x 85.58938098
ch2nh2 H C N x 4 1 1 x 486.8141961
bhf2 F B H x 2 1 1 x 415.2787679
h2o H O x x 2 1 x x 232.1834667
hf F H x x 1 1 x x 141.8852145
ch2ch H C x x 3 2 x x 445.9075861
oh O H x x 1 1 x x 104.7702582
propyne H C x x 4 3 x x 706.901421
acetaldehyde H C O x 4 2 1 x 675.8239203
allene H C x x 4 3 x x 706.5703367
sif4 F Si x x 4 1 x x 587.7628905
bf3 F B x x 3 1 x x 475.1625844
c2h3f H C F x 3 2 1 x 577.0479762
oxirane H C O x 4 2 1 x 653.4110041
ch2f2 H F C x 2 2 1 x 443.5007975
alf3 F Al x x 3 1 x x 436.0102433
bef2 F Be x x 2 1 x x 311.1169276
ch2c C H x x 2 2 x x 359.4446287
n2h4 H N x x 4 2 x x 445.2843939
ch2nh H C N x 3 1 1 x 441.9632803
alf Al F x x 1 1 x x 167.3124177
acetic H C O x 4 2 2 x 800.6241932
c2h2 C H x x 2 2 x x 405.5250141
h2co H O C x 2 1 1 x 372.3601277
h2cn H C N x 2 1 1 x 342.2200827
bf F B x x 1 1 x x 184.3461271
becl2 Cl Be x x 2 1 x x 220.6347971
t-hcoh H C O x 2 1 1 x 323.6890183
alcl3 Cl Al x x 3 1 x x 306.3429431
c-hcoh H C O x 2 1 1 x 318.2366985
alcl Al Cl x x 1 1 x x 122.8313092
ketene C H O x 2 2 1 x 528.7797736
sif F Si x x 1 1 x x 147.7545048
formic H O C x 2 2 1 x 498.1326291
hcnh H C N x 2 1 1 x 335.3726451
glyoxal C H O x 2 2 2 x 626.7171438
hcof C O H F 1 1 1 1 400.0575754
nh2cl H N Cl x 2 1 1 x 251.7086016
cf4 F C x x 4 1 x x 479.9988142
hccf C H F x 2 1 1 x 397.2707627
hcn H C N x 1 1 1 x 312.5468335
hnc H N C x 1 1 1 x 301.4656095
cch C H x x 2 1 x x 263.1646999
hco O C H x 1 1 1 x 274.169764
co C O x x 1 1 x x 257.5543299
oxirene C H O x 2 2 1 x 453.7666306
f2co F O C x 2 1 1 x 414.5219603
hocn C N O H 1 1 1 1 406.5449844
hooh H O x x 2 2 x x 265.5219369
t-n2h2 H N x x 2 2 x x 297.2801274
hnco C O N H 1 1 1 1 426.8709061
c-n2h2 H N x x 2 2 x x 291.2964184
cf2 F C x x 2 1 x x 258.1395844
co2 O C x x 2 1 x x 374.6718948
fccf F C x x 2 2 x x 384.4865553
dioxirane H O C x 2 2 1 x 404.3466103
cf C F x x 1 1 x x 133.6109587
ssh S H x x 2 1 x x 168.017085
hocl O H Cl x 1 1 1 x 167.2500079
nccn N C x x 2 2 x x 492.6063353
n2 N x x x 2 x x x 228.1819266
n2h N H x x 2 1 x x 224.5841752
ocs O C S x 1 1 1 x 325.7267227
sio Si O x x 1 1 x x 189.9579094
clcn Cl C N x 1 1 1 x 281.9253311
hoo O H x x 2 1 x x 169.8650567
hcno C H N O 1 1 1 1 354.1335728
honc H O N C 1 1 1 1 350.0348862
hno N H O x 1 1 1 x 201.0321238
hof H O F x 1 1 1 x 153.9209464
c-hono O N H x 2 1 1 x 301.1603729
t-hono O N H x 2 1 1 x 300.5368678
cs2 S C x x 2 1 x x 272.9041285
hnnn N H x x 3 1 x x 322.6961721
cs C S x x 1 1 x x 168.2861257
cn C N x x 1 1 x x 169.6300873
so3 O S x x 3 1 x x 315.4288382
ccl2 Cl C x x 2 1 x x 172.6858499
bn3pi B N x x 1 1 x x 106.8675453
so2 O S x x 2 1 x x 242.7229873
no N O x x 1 1 x x 148.8960551
so S O x x 1 1 x x 122.9049174
n2o N O x x 2 1 x x 253.5418627
c-hooo O H x x 3 1 x x 215.0148132
s2 S x x x 2 x x x 105.1259633
p4 P x x x 4 x x x 301.836923
cl2 Cl x x x 2 x x x 61.76913451
o2 O x x x 2 x x x 112.3576852
f2 F x x x 2 x x x 30.1766612
t-hooo O H x x 3 1 x x 210.8003353
s2o S O x x 2 1 x x 194.7518156
p2 P x x x 2 x x x 123.6501615
clf Cl F x x 1 1 x x 66.28925034
no2 O N x x 2 1 x x 206.7451642
clo Cl O x x 1 1 x x 61.79329151
s3 S x x x 3 x x x 160.943198
cl2o Cl O x x 2 1 x x 103.1785215
s4-c2v S x x x 4 x x x 226.664677
of O F x x 1 1 x x 47.67336922
c2 C x x x 2 x x x 117.3044521
oclo O Cl x x 2 1 x x 107.8049811
f2o F O x x 2 1 x x 84.26898482
b2 B x x x 2 x x x 55.91218714
fo2 O F x x 2 1 x x 101.3748481
cloo O Cl x x 2 1 x x 107.3362585
foof F O x x 2 2 x x 117.9737197
o3 O x x x 3 x x x 118.5160057
bn B N x x 1 1 x x 99.22980796
be2 Be x x x 2 x x x -0.245851352
