xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1308.428313
pentane H C x x 12 5 x x 1604.460652
hexane H C x x 14 6 x x 1900.503498
heptane H C x x 16 7 x x 2196.558581
octane H C x x 18 8 x x 2492.596264
isobutane H C x x 10 4 x x 1310.099323
isopentane H C x x 12 5 x x 1605.482204
isohexane H C x x 14 6 x x 1901.479362
isoheptane H C x x 16 7 x x 2197.538955
isooctane H C x x 18 8 x x 2494.689231
neopentane H C x x 12 5 x x 1608.968552
neohexane H C x x 14 6 x x 1903.560542
neoheptane H C x x 16 7 x x 2199.510876
3methylpentane H C x x 14 6 x x 1900.669959
diisopropyl H C x x 14 6 x x 1901.959141
hexamethylethane H C x x 18 8 x x 2494.800522
h2 H x x x 2 x x x 110.5179637
alh3 H Al x x 3 1 x x 205.7088058
alh Al H x x 1 1 x x 71.66530402
sih4 H Si x x 4 1 x x 316.3826739
bh3 H B x x 3 1 x x 282.9229694
bh B H x x 1 1 x x 86.97625872
ch2-trip H C x x 2 1 x x 192.1467291
sih H Si x x 1 1 x x 73.46163016
si2h6 H Si x x 6 2 x x 522.0749481
ch3 H C x x 3 1 x x 308.6551084
ch4 H C x x 4 1 x x 422.3024605
b2h6 H B x x 6 2 x x 605.9882597
sih3f H F Si x 3 1 1 x 380.4184839
ph3 H P x x 3 1 x x 245.7347684
c2h6 H C x x 6 2 x x 716.2787897
propane H C x x 8 3 x x 1012.385285
ch2-sing H C x x 2 1 x x 181.6874422
ch C H x x 1 1 x x 84.80424226
h2s H S x x 2 1 x x 185.3239438
hs S H x x 1 1 x x 89.54022325
c2h5f H C F x 5 2 1 x 726.9478723
ch3nh2 H C N x 5 1 1 x 588.4505765
ch3f H F C x 3 1 1 x 427.9021182
propene H C x x 6 3 x x 864.7642735
nh3 H N x x 3 1 x x 300.4958412
ethanol H C O x 6 2 1 x 815.2639991
ch3nh H C N x 4 1 1 x 476.547667
c2h4 H C x x 4 2 x x 566.5288571
methanol H C O x 4 1 1 x 516.9582189
hcl Cl H x x 1 1 x x 106.8141931
nh2 H N x x 2 1 x x 181.8390157
nh N H x x 1 1 x x 85.58938014
ch2nh2 H C N x 4 1 1 x 486.8036876
bhf2 F B H x 2 1 1 x 415.2759982
h2o H O x x 2 1 x x 232.183445
hf F H x x 1 1 x x 141.8852134
ch2ch H C x x 3 2 x x 445.8989295
oh O H x x 1 1 x x 104.770257
propyne H C x x 4 3 x x 706.8553324
acetaldehyde H C O x 4 2 1 x 675.7886702
allene H C x x 4 3 x x 706.511189
sif4 F Si x x 4 1 x x 587.7542124
bf3 F B x x 3 1 x x 475.1608599
c2h3f H C F x 3 2 1 x 577.0166034
oxirane H C O x 4 2 1 x 653.3937618
ch2f2 H F C x 2 2 1 x 443.497998
alf3 F Al x x 3 1 x x 436.0004333
bef2 F Be x x 2 1 x x 311.114216
ch2c C H x x 2 2 x x 359.4441452
n2h4 H N x x 4 2 x x 445.2787526
ch2nh H C N x 3 1 1 x 441.9590115
alf Al F x x 1 1 x x 167.3124074
acetic H C O x 4 2 2 x 800.5444867
c2h2 C H x x 2 2 x x 405.5161785
h2co H O C x 2 1 1 x 372.3591893
h2cn H C N x 2 1 1 x 342.2195888
bf F B x x 1 1 x x 184.3461248
becl2 Cl Be x x 2 1 x x 220.6304726
t-hcoh H C O x 2 1 1 x 323.6865668
alcl3 Cl Al x x 3 1 x x 306.3303216
c-hcoh H C O x 2 1 1 x 318.2361071
alcl Al Cl x x 1 1 x x 122.8312643
ketene C H O x 2 2 1 x 528.7540675
sif F Si x x 1 1 x x 147.7544966
formic H O C x 2 2 1 x 498.1276673
hcnh H C N x 2 1 1 x 335.3684541
glyoxal C H O x 2 2 2 x 626.6928494
hcof C O H F 1 1 1 1 400.056119
nh2cl H N Cl x 2 1 1 x 251.707742
cf4 F C x x 4 1 x x 479.9965542
hccf C H F x 2 1 1 x 397.2501999
hcn H C N x 1 1 1 x 312.5464588
hnc H N C x 1 1 1 x 301.4653438
cch C H x x 2 1 x x 263.1643095
hco O C H x 1 1 1 x 274.1693229
co C O x x 1 1 x x 257.5543284
