xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1298.125077
pentane H C x x 12 5 x x 1591.910064
hexane H C x x 14 6 x x 1885.692574
heptane H C x x 16 7 x x 2179.487444
octane H C x x 18 8 x x 2473.276885
isobutane H C x x 10 4 x x 1299.208742
isopentane H C x x 12 5 x x 1592.771299
isohexane H C x x 14 6 x x 1886.497889
isoheptane H C x x 16 7 x x 2180.309038
isooctane H C x x 18 8 x x 2474.627964
neopentane H C x x 12 5 x x 1594.804563
neohexane H C x x 14 6 x x 1888.066795
neoheptane H C x x 16 7 x x 2181.724665
3methylpentane H C x x 14 6 x x 1886.212269
diisopropyl H C x x 14 6 x x 1886.848692
hexamethylethane H C x x 18 8 x x 2475.410258
h2 H x x x 2 x x x 104.3254189
alh3 H Al x x 3 1 x x 216.1182859
alh Al H x x 1 1 x x 74.00821342
sih4 H Si x x 4 1 x x 328.2191252
bh3 H B x x 3 1 x x 285.077664
bh B H x x 1 1 x x 84.12845533
ch2-trip H C x x 2 1 x x 192.4972584
sih H Si x x 1 1 x x 74.35887199
si2h6 H Si x x 6 2 x x 542.3770012
ch3 H C x x 3 1 x x 307.1984538
ch4 H C x x 4 1 x x 418.3668484
b2h6 H B x x 6 2 x x 616.254609
sih3f H F Si x 3 1 1 x 381.4909947
ph3 H P x x 3 1 x x 240.7812734
c2h6 H C x x 6 2 x x 710.5166923
propane H C x x 8 3 x x 1004.304908
ch2-sing H C x x 2 1 x x 186.1490023
ch C H x x 1 1 x x 83.46507036
h2s H S x x 2 1 x x 181.7399016
hs S H x x 1 1 x x 86.9382664
c2h5f H C F x 5 2 1 x 717.2082456
ch3nh2 H C N x 5 1 1 x 575.649931
ch3f H F C x 3 1 1 x 419.2544104
propene H C x x 6 3 x x 860.163103
nh3 H N x x 3 1 x x 290.8168469
ethanol H C O x 6 2 1 x 803.260333
ch3nh H C N x 4 1 1 x 473.9507682
c2h4 H C x x 4 2 x x 562.5174037
methanol H C O x 4 1 1 x 506.3061854
hcl Cl H x x 1 1 x x 106.571437
nh2 H N x x 2 1 x x 180.3547164
nh N H x x 1 1 x x 82.31839411
ch2nh2 H C N x 4 1 1 x 478.0944704
bhf2 F B H x 2 1 1 x 407.6518229
h2o H O x x 2 1 x x 223.787991
hf F H x x 1 1 x x 134.8790713
ch2ch H C x x 3 2 x x 448.9978291
oh O H x x 1 1 x x 104.0947684
