xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1296.881268
pentane H C x x 12 5 x x 1590.262214
hexane H C x x 14 6 x x 1883.643433
heptane H C x x 16 7 x x 2177.038863
octane H C x x 18 8 x x 2470.431415
isobutane H C x x 10 4 x x 1297.797013
isopentane H C x x 12 5 x x 1590.847363
isohexane H C x x 14 6 x x 1884.175971
isoheptane H C x x 16 7 x x 2177.596162
isooctane H C x x 18 8 x x 2470.765983
neopentane H C x x 12 5 x x 1592.626738
neohexane H C x x 14 6 x x 1885.279912
neoheptane H C x x 16 7 x x 2178.547759
3methylpentane H C x x 14 6 x x 1883.778793
diisopropyl H C x x 14 6 x x 1884.169529
hexamethylethane H C x x 18 8 x x 2470.7539
h2 H x x x 2 x x x 104.325282
alh3 H Al x x 3 1 x x 216.0689018
alh Al H x x 1 1 x x 74.00660684
sih4 H Si x x 4 1 x x 328.0189238
bh3 H B x x 3 1 x x 284.9083892
bh B H x x 1 1 x x 84.12807856
ch2-trip H C x x 2 1 x x 192.4473749
sih H Si x x 1 1 x x 74.35821161
si2h6 H Si x x 6 2 x x 541.8862544
ch3 H C x x 3 1 x x 307.1004088
ch4 H C x x 4 1 x x 418.2446171
b2h6 H B x x 6 2 x x 615.3474941
sih3f H F Si x 3 1 1 x 381.2281481
ph3 H P x x 3 1 x x 240.6115639
c2h6 H C x x 6 2 x x 710.1097305
propane H C x x 8 3 x x 1003.465281
ch2-sing H C x x 2 1 x x 186.1338344
ch C H x x 1 1 x x 83.46484219
h2s H S x x 2 1 x x 181.6968958
hs S H x x 1 1 x x 86.93793889
c2h5f H C F x 5 2 1 x 716.7684118
ch3nh2 H C N x 5 1 1 x 575.3572624
ch3f H F C x 3 1 1 x 419.1316843
propene H C x x 6 3 x x 859.66496
nh3 H N x x 3 1 x x 290.7925724
ethanol H C O x 6 2 1 x 802.7215049
ch3nh H C N x 4 1 1 x 473.7417129
c2h4 H C x x 4 2 x x 562.3241945
methanol H C O x 4 1 1 x 506.0982148
hcl Cl H x x 1 1 x x 106.5711351
nh2 H N x x 2 1 x x 180.3472439
nh N H x x 1 1 x x 82.31820674
ch2nh2 H C N x 4 1 1 x 477.9065001
bhf2 F B H x 2 1 1 x 407.5511837
h2o H O x x 2 1 x x 223.7835801
hf F H x x 1 1 x x 134.8789094
ch2ch H C x x 3 2 x x 448.8885418
oh O H x x 1 1 x x 104.0946225
propyne H C x x 4 3 x x 707.5826224
acetaldehyde H C O x 4 2 1 x 676.6065864
allene H C x x 4 3 x x 708.0337911
sif4 F Si x x 4 1 x x 559.4146137
bf3 F B x x 3 1 x x 464.8319092
c2h3f H C F x 3 2 1 x 572.5093967
oxirane H C O x 4 2 1 x 652.8127665
ch2f2 H F C x 2 2 1 x 432.2656685
alf3 F Al x x 3 1 x x 417.6749152
bef2 F Be x x 2 1 x x 305.9942621
ch2c C H x x 2 2 x x 360.7173783
n2h4 H N x x 4 2 x x 428.0914481
ch2nh H C N x 3 1 1 x 436.2819705
alf Al F x x 1 1 x x 159.4353024
acetic H C O x 4 2 2 x 799.3512629
c2h2 C H x x 2 2 x x 405.8314899
h2co H O C x 2 1 1 x 373.2523274
h2cn H C N x 2 1 1 x 345.4001811
bf F B x x 1 1 x x 179.9408149
becl2 Cl Be x x 2 1 x x 236.4223826
t-hcoh H C O x 2 1 1 x 317.6434735
alcl3 Cl Al x x 3 1 x x 320.0747653
c-hcoh H C O x 2 1 1 x 313.2761899
alcl Al Cl x x 1 1 x x 124.6146899
ketene C H O x 2 2 1 x 540.2310246
sif F Si x x 1 1 x x 139.5985188
formic H O C x 2 2 1 x 497.7114712
hcnh H C N x 2 1 1 x 336.5122116
glyoxal C H O x 2 2 2 x 634.6694418
hcof C O H F 1 1 1 1 402.9597446
nh2cl H N Cl x 2 1 1 x 244.3116515
cf4 F C x x 4 1 x x 472.3803274
hccf C H F x 2 1 1 x 402.7338486
hcn H C N x 1 1 1 x 312.0993287
hnc H N C x 1 1 1 x 297.3078902
cch C H x x 2 1 x x 271.872418
hco O C H x 1 1 1 x 280.6043783
co C O x x 1 1 x x 257.6360016
oxirene C H O x 2 2 1 x 457.8671134
f2co F O C x 2 1 1 x 421.7620836
hocn C N O H 1 1 1 1 410.2311163
hooh H O x x 2 2 x x 258.5210464
t-n2h2 H N x x 2 2 x x 291.1300653
hnco C O N H 1 1 1 1 441.6597855
c-n2h2 H N x x 2 2 x x 286.0546651
cf2 F C x x 2 1 x x 257.8079336
co2 O C x x 2 1 x x 397.8241846
fccf F C x x 2 2 x x 392.6902062
dioxirane H O C x 2 2 1 x 408.0388879
cf C F x x 1 1 x x 133.2657177
ssh S H x x 2 1 x x 168.9577176
hocl O H Cl x 1 1 1 x 161.2005338
nccn N C x x 2 2 x x 508.6590657
n2 N x x x 2 x x x 224.2430519
n2h N H x x 2 1 x x 224.0513792
ocs O C S x 1 1 1 x 346.7409886
sio Si O x x 1 1 x x 188.0051899
clcn Cl C N x 1 1 1 x 291.6787177
hoo O H x x 2 1 x x 172.5141148
hcno C H N O 1 1 1 1 373.8215583
honc H O N C 1 1 1 1 350.9373873
hno N H O x 1 1 1 x 201.2268722
hof H O F x 1 1 1 x 152.2370827
c-hono O N H x 2 1 1 x 309.5389812
t-hono O N H x 2 1 1 x 310.3613181
cs2 S C x x 2 1 x x 294.391912
hnnn N H x x 3 1 x x 339.9786911
cs C S x x 1 1 x x 173.0032402
cn C N x x 1 1 x x 184.3257275
so3 O S x x 3 1 x x 349.2247825
ccl2 Cl C x x 2 1 x x 186.432473
bn3pi B N x x 1 1 x x 114.2440067
so2 O S x x 2 1 x x 258.5035495
no N O x x 1 1 x x 151.0607245
so S O x x 1 1 x x 128.0875827
n2o N O x x 2 1 x x 280.4571094
c-hooo O H x x 3 1 x x 232.5171252
s2 S x x x 2 x x x 110.5918426
p4 P x x x 4 x x x 307.9745045
cl2 Cl x x x 2 x x x 62.0777439
o2 O x x x 2 x x x 124.3253389
f2 F x x x 2 x x x 36.40653469
t-hooo O H x x 3 1 x x 233.6319527
s2o S O x x 2 1 x x 212.8238331
p2 P x x x 2 x x x 114.0954385
clf Cl F x x 1 1 x x 60.80683225
no2 O N x x 2 1 x x 235.7340031
clo Cl O x x 1 1 x x 67.70328615
s3 S x x x 3 x x x 177.0557971
cl2o Cl O x x 2 1 x x 100.5902024
s4-c2v S x x x 4 x x x 247.9401117
of O F x x 1 1 x x 52.88718072
c2 C x x x 2 x x x 144.2360905
oclo O Cl x x 2 1 x x 133.9887131
f2o F O x x 2 1 x x 91.81767824
b2 B x x x 2 x x x 78.83211195
fo2 O F x x 2 1 x x 140.8276453
cloo O Cl x x 2 1 x x 134.2749431
foof F O x x 2 2 x x 159.7323929
o3 O x x x 3 x x x 145.6291841
bn B N x x 1 1 x x 109.506311
be2 Be x x x 2 x x x 7.537102084
