xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.325282
alh3 H Al x x 3 1 x x 216.0669197
alh Al H x x 1 1 x x 74.00660422
sih4 H Si x x 4 1 x x 328.017464
bh3 H B x x 3 1 x x 284.9081826
bh B H x x 1 1 x x 84.12807781
ch2-trip H C x x 2 1 x x 192.4473248
sih H Si x x 1 1 x x 74.35821053
si2h6 H Si x x 6 2 x x 541.8390066
ch3 H C x x 3 1 x x 307.1003155
ch4 H C x x 4 1 x x 418.2444914
b2h6 H B x x 6 2 x x 615.3353017
sih3f H F Si x 3 1 1 x 381.2244528
ph3 H P x x 3 1 x x 240.6113567
c2h6 H C x x 6 2 x x 710.1022602
propane H C x x 8 3 x x 1003.418097
ch2-sing H C x x 2 1 x x 186.1338176
ch C H x x 1 1 x x 83.46484181
h2s H S x x 2 1 x x 181.6968533
hs S H x x 1 1 x x 86.93793778
c2h5f H C F x 5 2 1 x 716.7524928
ch3nh2 H C N x 5 1 1 x 575.3536629
ch3f H F C x 3 1 1 x 419.1310836
propene H C x x 6 3 x x 859.6294241
nh3 H N x x 3 1 x x 290.7925422
ethanol H C O x 6 2 1 x 802.6943841
ch3nh H C N x 4 1 1 x 473.7399896
c2h4 H C x x 4 2 x x 562.3201079
methanol H C O x 4 1 1 x 506.0965432
hcl Cl H x x 1 1 x x 106.5711338
nh2 H N x x 2 1 x x 180.3472344
nh N H x x 1 1 x x 82.3182065
ch2nh2 H C N x 4 1 1 x 477.9033734
bhf2 F B H x 2 1 1 x 407.5503889
h2o H O x x 2 1 x x 223.7835739
hf F H x x 1 1 x x 134.8789091
ch2ch H C x x 3 2 x x 448.8858632
oh O H x x 1 1 x x 104.0946222
propyne H C x x 4 3 x x 707.5579221
acetaldehyde H C O x 4 2 1 x 676.5957244
allene H C x x 4 3 x x 708.0031119
sif4 F Si x x 4 1 x x 559.4121193
bf3 F B x x 3 1 x x 464.8314147
c2h3f H C F x 3 2 1 x 572.4980947
oxirane H C O x 4 2 1 x 652.80749
ch2f2 H F C x 2 2 1 x 432.2648657
alf3 F Al x x 3 1 x x 417.6720694
bef2 F Be x x 2 1 x x 305.9934781
ch2c C H x x 2 2 x x 360.7172397
n2h4 H N x x 4 2 x x 428.0898157
ch2nh H C N x 3 1 1 x 436.2807175
alf Al F x x 1 1 x x 159.4352994
acetic H C O x 4 2 2 x 799.3212819
c2h2 C H x x 2 2 x x 405.8284118
h2co H O C x 2 1 1 x 373.2520584
h2cn H C N x 2 1 1 x 345.4000395
bf F B x x 1 1 x x 179.9408142
becl2 Cl Be x x 2 1 x x 236.4211365
t-hcoh H C O x 2 1 1 x 317.6427615
alcl3 Cl Al x x 3 1 x x 320.0711292
c-hcoh H C O x 2 1 1 x 313.2760204
alcl Al Cl x x 1 1 x x 124.614677
ketene C H O x 2 2 1 x 540.2228576
sif F Si x x 1 1 x x 139.5985165
formic H O C x 2 2 1 x 497.7100327
hcnh H C N x 2 1 1 x 336.5109603
glyoxal C H O x 2 2 2 x 634.6620673
hcof C O H F 1 1 1 1 402.959327
nh2cl H N Cl x 2 1 1 x 244.311405
cf4 F C x x 4 1 x x 472.3796795
hccf C H F x 2 1 1 x 402.7232086
hcn H C N x 1 1 1 x 312.0992212
hnc H N C x 1 1 1 x 297.307814
cch C H x x 2 1 x x 271.8723061
hco O C H x 1 1 1 x 280.6042518
co C O x x 1 1 x x 257.6360012
oxirene C H O x 2 2 1 x 457.8634428
f2co F O C x 2 1 1 x 421.7617287
hocn C N O H 1 1 1 1 410.2298589
hooh H O x x 2 2 x x 258.5207104
t-n2h2 H N x x 2 2 x x 291.1294561
hnco C O N H 1 1 1 1 441.6561941
c-n2h2 H N x x 2 2 x x 286.0545512
cf2 F C x x 2 1 x x 257.8078567
co2 O C x x 2 1 x x 397.8240612
fccf F C x x 2 2 x x 392.6823945
dioxirane H O C x 2 2 1 x 408.0382645
cf C F x x 1 1 x x 133.2657164
ssh S H x x 2 1 x x 168.9574877
hocl O H Cl x 1 1 1 x 161.2004478
nccn N C x x 2 2 x x 508.6547895
n2 N x x x 2 x x x 224.2430516
n2h N H x x 2 1 x x 224.0513485
ocs O C S x 1 1 1 x 346.7408204
sio Si O x x 1 1 x x 188.0051883
clcn Cl C N x 1 1 1 x 291.6783591
hoo O H x x 2 1 x x 172.5140595
hcno C H N O 1 1 1 1 373.8142811
honc H O N C 1 1 1 1 350.936262
hno N H O x 1 1 1 x 201.2268162
hof H O F x 1 1 1 x 152.2369967
c-hono O N H x 2 1 1 x 309.5387292
t-hono O N H x 2 1 1 x 310.3592195
cs2 S C x x 2 1 x x 294.3916785
hnnn N H x x 3 1 x x 339.9776268
cs C S x x 1 1 x x 173.0032383
cn C N x x 1 1 x x 184.3257271
so3 O S x x 3 1 x x 349.2241944
ccl2 Cl C x x 2 1 x x 186.4322954
bn3pi B N x x 1 1 x x 114.2440058
so2 O S x x 2 1 x x 258.5033431
no N O x x 1 1 x x 151.0607239
so S O x x 1 1 x x 128.0875814
n2o N O x x 2 1 x x 280.4569563
c-hooo O H x x 3 1 x x 232.5167781
s2 S x x x 2 x x x 110.5918382
p4 P x x x 4 x x x 307.9744594
cl2 Cl x x x 2 x x x 62.07773277
o2 O x x x 2 x x x 124.3253383
