xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1299.986961
pentane H C x x 12 5 x x 1593.9659
hexane H C x x 14 6 x x 1887.946977
heptane H C x x 16 7 x x 2181.938099
octane H C x x 18 8 x x 2475.912113
isobutane H C x x 10 4 x x 1301.383775
isopentane H C x x 12 5 x x 1594.979359
isohexane H C x x 14 6 x x 1888.89403
isoheptane H C x x 16 7 x x 2182.894089
isooctane H C x x 18 8 x x 2477.751571
neopentane H C x x 12 5 x x 1597.842418
neohexane H C x x 14 6 x x 1890.880515
neoheptane H C x x 16 7 x x 2184.717864
3methylpentane H C x x 14 6 x x 1888.37387
diisopropyl H C x x 14 6 x x 1889.176556
hexamethylethane H C x x 18 8 x x 2477.832238
h2 H x x x 2 x x x 108.0275749
alh3 H Al x x 3 1 x x 215.6118425
alh Al H x x 1 1 x x 75.97385723
sih4 H Si x x 4 1 x x 328.8668883
bh3 H B x x 3 1 x x 286.0882857
bh B H x x 1 1 x x 85.93209282
ch2-trip H C x x 2 1 x x 192.4475297
sih H Si x x 1 1 x x 76.45361428
si2h6 H Si x x 6 2 x x 541.0653973
ch3 H C x x 3 1 x x 307.7567935
ch4 H C x x 4 1 x x 419.746555
b2h6 H B x x 6 2 x x 612.8754326
sih3f H F Si x 3 1 1 x 384.5966753
ph3 H P x x 3 1 x x 244.7282439
c2h6 H C x x 6 2 x x 711.9427551
propane H C x x 8 3 x x 1005.99589
ch2-sing H C x x 2 1 x x 185.1992271
ch C H x x 1 1 x x 84.49703959
h2s H S x x 2 1 x x 182.2556477
hs S H x x 1 1 x x 87.41612198
c2h5f H C F x 5 2 1 x 721.2256629
ch3nh2 H C N x 5 1 1 x 580.0497474
ch3f H F C x 3 1 1 x 423.4279207
propene H C x x 6 3 x x 859.8042803
nh3 H N x x 3 1 x x 295.0806701
ethanol H C O x 6 2 1 x 809.475687
ch3nh H C N x 4 1 1 x 474.7113183
c2h4 H C x x 4 2 x x 562.4050153
methanol H C O x 4 1 1 x 512.4954517
hcl Cl H x x 1 1 x x 106.3564814
nh2 H N x x 2 1 x x 181.4513356
nh N H x x 1 1 x x 82.65557644
ch2nh2 H C N x 4 1 1 x 481.2781803
bhf2 F B H x 2 1 1 x 414.4807939
h2o H O x x 2 1 x x 230.4958544
hf F H x x 1 1 x x 140.7835027
ch2ch H C x x 3 2 x x 447.0364632
oh O H x x 1 1 x x 106.4120916
