xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1297.927813
pentane H C x x 12 5 x x 1591.492588
hexane H C x x 14 6 x x 1885.06651
heptane H C x x 16 7 x x 2178.6443
octane H C x x 18 8 x x 2472.198555
isobutane H C x x 10 4 x x 1299.232509
isopentane H C x x 12 5 x x 1592.385744
isohexane H C x x 14 6 x x 1885.894223
isoheptane H C x x 16 7 x x 2179.486523
isooctane H C x x 18 8 x x 2473.831976
neopentane H C x x 12 5 x x 1594.961888
neohexane H C x x 14 6 x x 1887.616848
neoheptane H C x x 16 7 x x 2181.048277
3methylpentane H C x x 14 6 x x 1885.381898
diisopropyl H C x x 14 6 x x 1886.285505
hexamethylethane H C x x 18 8 x x 2474.661294
h2 H x x x 2 x x x 108.2006827
alh3 H Al x x 3 1 x x 216.9584924
alh Al H x x 1 1 x x 75.10451529
sih4 H Si x x 4 1 x x 322.1274886
bh3 H B x x 3 1 x x 280.5835507
bh B H x x 1 1 x x 84.55780849
ch2-trip H C x x 2 1 x x 191.720041
sih H Si x x 1 1 x x 73.53300755
si2h6 H Si x x 6 2 x x 533.049823
ch3 H C x x 3 1 x x 307.1402962
ch4 H C x x 4 1 x x 418.8912082
b2h6 H B x x 6 2 x x 602.0023299
sih3f H F Si x 3 1 1 x 380.8913486
ph3 H P x x 3 1 x x 242.8403796
c2h6 H C x x 6 2 x x 710.6709513
propane H C x x 8 3 x x 1004.324963
ch2-sing H C x x 2 1 x x 181.9727541
ch C H x x 1 1 x x 84.86929467
h2s H S x x 2 1 x x 184.9885099
hs S H x x 1 1 x x 89.05193696
c2h5f H C F x 5 2 1 x 718.5922322
ch3nh2 H C N x 5 1 1 x 583.4497136
ch3f H F C x 3 1 1 x 420.9891901
propene H C x x 6 3 x x 857.5858299
nh3 H N x x 3 1 x x 299.9063784
ethanol H C O x 6 2 1 x 808.8390571
ch3nh H C N x 4 1 1 x 475.4657577
c2h4 H C x x 4 2 x x 560.6611704
methanol H C O x 4 1 1 x 512.2429074
hcl Cl H x x 1 1 x x 107.2483731
nh2 H N x x 2 1 x x 183.7296323
nh N H x x 1 1 x x 84.86161338
ch2nh2 H C N x 4 1 1 x 484.7588498
bhf2 F B H x 2 1 1 x 408.2244761
h2o H O x x 2 1 x x 232.5181848
hf F H x x 1 1 x x 140.2914271
ch2ch H C x x 3 2 x x 443.2809094
oh O H x x 1 1 x x 107.1576015
propyne H C x x 4 3 x x 701.8180841
acetaldehyde H C O x 4 2 1 x 675.0152589
allene H C x x 4 3 x x 701.8194437
sif4 F Si x x 4 1 x x 575.4223936
bf3 F B x x 3 1 x x 468.4311944
c2h3f H C F x 3 2 1 x 570.5619227
oxirane H C O x 4 2 1 x 650.1934162
ch2f2 H F C x 2 2 1 x 434.8343162
alf3 F Al x x 3 1 x x 430.0760332
bef2 F Be x x 2 1 x x 308.0981264
ch2c C H x x 2 2 x x 358.6483664
n2h4 H N x x 4 2 x x 443.4123675
ch2nh H C N x 3 1 1 x 438.9908188
alf Al F x x 1 1 x x 163.1653247
acetic H C O x 4 2 2 x 801.4488169
c2h2 C H x x 2 2 x x 401.5123042
h2co H O C x 2 1 1 x 372.1074084
h2cn H C N x 2 1 1 x 342.6881058
bf F B x x 1 1 x x 180.94071
becl2 Cl Be x x 2 1 x x 223.9359772
t-hcoh H C O x 2 1 1 x 322.841784
alcl3 Cl Al x x 3 1 x x 309.9233047
c-hcoh H C O x 2 1 1 x 318.0226902
alcl Al Cl x x 1 1 x x 120.9458375
ketene C H O x 2 2 1 x 532.6789977
sif F Si x x 1 1 x x 142.3217779
formic H O C x 2 2 1 x 499.8460438
hcnh H C N x 2 1 1 x 336.1473771
glyoxal C H O x 2 2 2 x 630.523104
