xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1295.89802
pentane H C x x 12 5 x x 1588.992221
hexane H C x x 14 6 x x 1882.097284
heptane H C x x 16 7 x x 2175.204442
octane H C x x 18 8 x x 2468.282234
isobutane H C x x 10 4 x x 1297.162461
isopentane H C x x 12 5 x x 1589.894735
isohexane H C x x 14 6 x x 1882.950005
isoheptane H C x x 16 7 x x 2176.073875
isooctane H C x x 18 8 x x 2470.080711
neopentane H C x x 12 5 x x 1592.427621
neohexane H C x x 14 6 x x 1884.711712
neoheptane H C x x 16 7 x x 2177.708056
3methylpentane H C x x 14 6 x x 1882.498066
diisopropyl H C x x 14 6 x x 1883.453306
hexamethylethane H C x x 18 8 x x 2471.236895
h2 H x x x 2 x x x 108.3171407
alh3 H Al x x 3 1 x x 213.2081961
alh Al H x x 1 1 x x 74.04397975
sih4 H Si x x 4 1 x x 324.9011319
bh3 H B x x 3 1 x x 282.5074171
bh B H x x 1 1 x x 85.99585325
ch2-trip H C x x 2 1 x x 191.2962768
sih H Si x x 1 1 x x 73.9005922
si2h6 H Si x x 6 2 x x 535.767546
ch3 H C x x 3 1 x x 306.9222758
ch4 H C x x 4 1 x x 418.1956883
b2h6 H B x x 6 2 x x 606.1719732
sih3f H F Si x 3 1 1 x 380.5029926
ph3 H P x x 3 1 x x 243.32071
c2h6 H C x x 6 2 x x 709.5962572
propane H C x x 8 3 x x 1002.77214
ch2-sing H C x x 2 1 x x 182.8781393
ch C H x x 1 1 x x 85.87990963
h2s H S x x 2 1 x x 184.2438652
hs S H x x 1 1 x x 88.67804126
c2h5f H C F x 5 2 1 x 717.0997858
ch3nh2 H C N x 5 1 1 x 582.5065647
ch3f H F C x 3 1 1 x 420.3596857
propene H C x x 6 3 x x 856.3885761
nh3 H N x x 3 1 x x 298.7003152
ethanol H C O x 6 2 1 x 807.1110228
ch3nh H C N x 4 1 1 x 475.5344527
c2h4 H C x x 4 2 x x 560.2402512
methanol H C O x 4 1 1 x 511.2397605
hcl Cl H x x 1 1 x x 106.7431931
nh2 H N x x 2 1 x x 184.3165069
nh N H x x 1 1 x x 87.43200286
ch2nh2 H C N x 4 1 1 x 484.018982
bhf2 F B H x 2 1 1 x 407.0115514
h2o H O x x 2 1 x x 231.0193722
hf F H x x 1 1 x x 139.5316358
ch2ch H C x x 3 2 x x 442.5614538
oh O H x x 1 1 x x 106.5866953
propyne H C x x 4 3 x x 700.7333592
acetaldehyde H C O x 4 2 1 x 673.9905636
allene H C x x 4 3 x x 700.5069321
sif4 F Si x x 4 1 x x 563.7493455
bf3 F B x x 3 1 x x 464.7053674
c2h3f H C F x 3 2 1 x 569.5691566
oxirane H C O x 4 2 1 x 650.3078421
ch2f2 H F C x 2 2 1 x 433.9054234
alf3 F Al x x 3 1 x x 419.3178245
bef2 F Be x x 2 1 x x 302.5173315
ch2c C H x x 2 2 x x 359.2175202
n2h4 H N x x 4 2 x x 442.6012049
ch2nh H C N x 3 1 1 x 438.9442359
alf Al F x x 1 1 x x 161.2788861
acetic H C O x 4 2 2 x 798.7118202
c2h2 C H x x 2 2 x x 401.2936004
h2co H O C x 2 1 1 x 372.2463826
h2cn H C N x 2 1 1 x 343.4333744
bf F B x x 1 1 x x 181.215792
becl2 Cl Be x x 2 1 x x 222.5332903
t-hcoh H C O x 2 1 1 x 322.3855306
alcl3 Cl Al x x 3 1 x x 307.2296748
c-hcoh H C O x 2 1 1 x 317.5332314
alcl Al Cl x x 1 1 x x 121.5975854
