xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.3888967
alh3 H Al x x 3 1 x x 220.7521841
alh Al H x x 1 1 x x 74.09149506
sih4 H Si x x 4 1 x x 325.137952
bh3 H B x x 3 1 x x 281.340315
bh B H x x 1 1 x x 83.39020778
ch2-trip H C x x 2 1 x x 188.509955
sih H Si x x 1 1 x x 74.05343704
si2h6 H Si x x 6 2 x x 536.118669
ch3 H C x x 3 1 x x 307.8368095
ch4 H C x x 4 1 x x 421.0972333
b2h6 H B x x 6 2 x x 603.7746939
sih3f H F Si x 3 1 1 x 384.0824787
ph3 H P x x 3 1 x x 242.9461656
c2h6 H C x x 6 2 x x 712.9938743
propane H C x x 8 3 x x 1006.724592
ch2-sing H C x x 2 1 x x 182.8003079
ch C H x x 1 1 x x 83.3372616
h2s H S x x 2 1 x x 184.0650124
hs S H x x 1 1 x x 88.46180765
c2h5f H C F x 5 2 1 x 722.263094
ch3nh2 H C N x 5 1 1 x 588.4383773
ch3f H F C x 3 1 1 x 424.5766236
propene H C x x 6 3 x x 859.2505838
nh3 H N x x 3 1 x x 304.7231753
ethanol H C O x 6 2 1 x 811.9353123
ch3nh H C N x 4 1 1 x 479.9511626
c2h4 H C x x 4 2 x x 562.2868836
methanol H C O x 4 1 1 x 515.3325351
hcl Cl H x x 1 1 x x 107.6700307
nh2 H N x x 2 1 x x 187.1961066
nh N H x x 1 1 x x 84.08760741
ch2nh2 H C N x 4 1 1 x 489.9533167
bhf2 F B H x 2 1 1 x 410.510485
h2o H O x x 2 1 x x 235.3884926
hf F H x x 1 1 x x 143.4010624
ch2ch H C x x 3 2 x x 445.0733311
oh O H x x 1 1 x x 108.2040836
propyne H C x x 4 3 x x 703.2625287
acetaldehyde H C O x 4 2 1 x 677.2340144
allene H C x x 4 3 x x 702.7583477
sif4 F Si x x 4 1 x x 582.3222761
bf3 F B x x 3 1 x x 471.0022358
c2h3f H C F x 3 2 1 x 573.7708607
oxirane H C O x 4 2 1 x 653.9123961
ch2f2 H F C x 2 2 1 x 439.8980126
alf3 F Al x x 3 1 x x 439.9733921
bef2 F Be x x 2 1 x x 313.0683816
ch2c C H x x 2 2 x x 358.9944796
n2h4 H N x x 4 2 x x 451.0634788
ch2nh H C N x 3 1 1 x 442.7104793
alf Al F x x 1 1 x x 164.2466854
acetic H C O x 4 2 2 x 804.945514
c2h2 C H x x 2 2 x x 402.8459483
h2co H O C x 2 1 1 x 374.1674076
h2cn H C N x 2 1 1 x 346.9117954
bf F B x x 1 1 x x 180.734911
becl2 Cl Be x x 2 1 x x 224.1569504
t-hcoh H C O x 2 1 1 x 324.4973078
alcl3 Cl Al x x 3 1 x x 312.1897433
c-hcoh H C O x 2 1 1 x 319.2664078
alcl Al Cl x x 1 1 x x 119.8544586
ketene C H O x 2 2 1 x 534.9998088
sif F Si x x 1 1 x x 144.3589712
formic H O C x 2 2 1 x 503.1893521
hcnh H C N x 2 1 1 x 340.5039132
glyoxal C H O x 2 2 2 x 632.3397036
hcof C O H F 1 1 1 1 404.5733108
nh2cl H N Cl x 2 1 1 x 254.0393667
cf4 F C x x 4 1 x x 480.6462874
hccf C H F x 2 1 1 x 398.1561272
hcn H C N x 1 1 1 x 314.7007682
hnc H N C x 1 1 1 x 303.2692801
cch C H x x 2 1 x x 261.9195281
hco O C H x 1 1 1 x 279.5483111
co C O x x 1 1 x x 259.0130457
oxirene C H O x 2 2 1 x 457.0824166
f2co F O C x 2 1 1 x 422.5203098
hocn C N O H 1 1 1 1 413.6835405
hooh H O x x 2 2 x x 270.9288946
t-n2h2 H N x x 2 2 x x 304.3367294
hnco C O N H 1 1 1 1 441.034481
c-n2h2 H N x x 2 2 x x 298.4282396
cf2 F C x x 2 1 x x 260.5141739
co2 O C x x 2 1 x x 390.5822412
fccf F C x x 2 2 x x 387.865949
dioxirane H O C x 2 2 1 x 408.2639025
cf C F x x 1 1 x x 136.1081348
ssh S H x x 2 1 x x 165.9480495
hocl O H Cl x 1 1 1 x 167.6760544
nccn N C x x 2 2 x x 501.4004977
n2 N x x x 2 x x x 233.4430612
n2h N H x x 2 1 x x 233.0406661
ocs O C S x 1 1 1 x 334.6058483
sio Si O x x 1 1 x x 188.1311704
clcn Cl C N x 1 1 1 x 285.8553619
hoo O H x x 2 1 x x 178.1628544
hcno C H N O 1 1 1 1 370.60219
honc H O N C 1 1 1 1 356.5548016
hno N H O x 1 1 1 x 209.1489736
hof H O F x 1 1 1 x 158.9278259
c-hono O N H x 2 1 1 x 316.382709
t-hono O N H x 2 1 1 x 316.4654405
cs2 S C x x 2 1 x x 275.0813318
hnnn N H x x 3 1 x x 343.6003857
cs C S x x 1 1 x x 166.0915046
cn C N x x 1 1 x x 176.8025506
so3 O S x x 3 1 x x 339.0699937
ccl2 Cl C x x 2 1 x x 173.5552252
bn3pi B N x x 1 1 x x 106.1230031
so2 O S x x 2 1 x x 254.6092522
no N O x x 1 1 x x 156.2233725
so S O x x 1 1 x x 126.8212255
n2o N O x x 2 1 x x 277.6631061
c-hooo O H x x 3 1 x x 230.9602158
s2 S x x x 2 x x x 104.6766647
p4 P x x x 4 x x x 292.5510426
cl2 Cl x x x 2 x x x 60.46501726
o2 O x x x 2 x x x 120.3319317
f2 F x x x 2 x x x 35.94907408
t-hooo O H x x 3 1 x x 229.0572051
s2o S O x x 2 1 x x 201.2764013
p2 P x x x 2 x x x 111.0254455
clf Cl F x x 1 1 x x 64.24603229
no2 O N x x 2 1 x x 231.8417474
clo Cl O x x 1 1 x x 66.18582625
s3 S x x x 3 x x x 159.7674414
cl2o Cl O x x 2 1 x x 100.9417479
s4-c2v S x x x 4 x x x 224.6058138
of O F x x 1 1 x x 54.50728708
c2 C x x x 2 x x x 130.4586035
oclo O Cl x x 2 1 x x 126.2900175
f2o F O x x 2 1 x x 93.82298797
b2 B x x x 2 x x x 55.36918904
fo2 O F x x 2 1 x x 127.2447149
cloo O Cl x x 2 1 x x 119.474565
foof F O x x 2 2 x x 144.9372106
o3 O x x x 3 x x x 135.9606648
bn B N x x 1 1 x x 102.2506701
be2 Be x x x 2 x x x 1.76542429
