xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 110.6713808
alh3 H Al x x 3 1 x x 215.6515053
alh Al H x x 1 1 x x 73.28186512
sih4 H Si x x 4 1 x x 326.654996
bh3 H B x x 3 1 x x 285.6255018
bh B H x x 1 1 x x 89.25304782
ch2-trip H C x x 2 1 x x 186.3089711
sih H Si x x 1 1 x x 73.62805249
si2h6 H Si x x 6 2 x x 536.5270176
ch3 H C x x 3 1 x x 303.3839134
ch4 H C x x 4 1 x x 415.736488
b2h6 H B x x 6 2 x x 607.8935261
sih3f H F Si x 3 1 1 x 378.8058362
ph3 H P x x 3 1 x x 241.9207129
c2h6 H C x x 6 2 x x 704.0702366
propane H C x x 8 3 x x 994.6056506
ch2-sing H C x x 2 1 x x 186.869921
ch C H x x 1 1 x x 86.36936011
h2s H S x x 2 1 x x 188.0683357
hs S H x x 1 1 x x 90.53124015
c2h5f H C F x 5 2 1 x 707.5192537
ch3nh2 H C N x 5 1 1 x 578.0400423
ch3f H F C x 3 1 1 x 413.2367991
propene H C x x 6 3 x x 848.393174
nh3 H N x x 3 1 x x 298.6493364
ethanol H C O x 6 2 1 x 798.7886843
ch3nh H C N x 4 1 1 x 474.6635549
c2h4 H C x x 4 2 x x 554.3596093
methanol H C O x 4 1 1 x 505.2307908
hcl Cl H x x 1 1 x x 110.652699
nh2 H N x x 2 1 x x 186.4476594
nh N H x x 1 1 x x 85.71726244
ch2nh2 H C N x 4 1 1 x 478.8144929
bhf2 F B H x 2 1 1 x 402.7823409
h2o H O x x 2 1 x x 229.5385534
hf F H x x 1 1 x x 136.5373162
ch2ch H C x x 3 2 x x 440.4234866
oh O H x x 1 1 x x 107.5345198
propyne H C x x 4 3 x x 692.5847692
acetaldehyde H C O x 4 2 1 x 667.8663961
allene H C x x 4 3 x x 694.3205287
sif4 F Si x x 4 1 x x 554.876707
bf3 F B x x 3 1 x x 459.5326738
c2h3f H C F x 3 2 1 x 561.2088909
oxirane H C O x 4 2 1 x 639.6298211
ch2f2 H F C x 2 2 1 x 425.5596339
alf3 F Al x x 3 1 x x 404.9542415
bef2 F Be x x 2 1 x x 289.3370738
ch2c C H x x 2 2 x x 358.4938272
n2h4 H N x x 4 2 x x 439.0799436
ch2nh H C N x 3 1 1 x 435.8948401
alf Al F x x 1 1 x x 152.1299696
acetic H C O x 4 2 2 x 793.1070484
c2h2 C H x x 2 2 x x 395.2296457
h2co H O C x 2 1 1 x 367.9196612
h2cn H C N x 2 1 1 x 342.8410744
bf F B x x 1 1 x x 179.073602
becl2 Cl Be x x 2 1 x x 228.6531593
t-hcoh H C O x 2 1 1 x 320.9621193
alcl3 Cl Al x x 3 1 x x 317.3348825
c-hcoh H C O x 2 1 1 x 316.9490474
alcl Al Cl x x 1 1 x x 122.1859568
ketene C H O x 2 2 1 x 529.1287344
sif F Si x x 1 1 x x 134.0396265
formic H O C x 2 2 1 x 494.8973172
hcnh H C N x 2 1 1 x 335.8011927
glyoxal C H O x 2 2 2 x 622.2891972
hcof C O H F 1 1 1 1 395.1734243
nh2cl H N Cl x 2 1 1 x 249.9757329
cf4 F C x x 4 1 x x 469.7968603
hccf C H F x 2 1 1 x 386.9874914
hcn H C N x 1 1 1 x 308.2179538
hnc H N C x 1 1 1 x 297.4006518
cch C H x x 2 1 x x 259.1494322
hco O C H x 1 1 1 x 275.259508
co C O x x 1 1 x x 254.3648741
oxirene C H O x 2 2 1 x 442.095906
f2co F O C x 2 1 1 x 414.5219103
hocn C N O H 1 1 1 1 407.2883093
hooh H O x x 2 2 x x 262.2138962
t-n2h2 H N x x 2 2 x x 297.7421855
hnco C O N H 1 1 1 1 437.4069293
c-n2h2 H N x x 2 2 x x 293.0056894
cf2 F C x x 2 1 x x 255.5717877
co2 O C x x 2 1 x x 388.8736889
fccf F C x x 2 2 x x 370.5292182
dioxirane H O C x 2 2 1 x 396.901285
cf C F x x 1 1 x x 133.2845114
ssh S H x x 2 1 x x 173.1051987
hocl O H Cl x 1 1 1 x 162.650343
nccn N C x x 2 2 x x 496.8990004
n2 N x x x 2 x x x 226.9469125
n2h N H x x 2 1 x x 228.1860187
ocs O C S x 1 1 1 x 340.8115901
sio Si O x x 1 1 x x 180.0363152
clcn Cl C N x 1 1 1 x 286.1036037
hoo O H x x 2 1 x x 171.0358041
hcno C H N O 1 1 1 1 363.2641987
honc H O N C 1 1 1 1 348.6544983
hno N H O x 1 1 1 x 202.0398027
hof H O F x 1 1 1 x 150.1700509
c-hono O N H x 2 1 1 x 310.4544588
t-hono O N H x 2 1 1 x 310.5521222
cs2 S C x x 2 1 x x 294.1642448
hnnn N H x x 3 1 x x 342.2747073
cs C S x x 1 1 x x 176.8040367
cn C N x x 1 1 x x 179.7928354
so3 O S x x 3 1 x x 351.4339798
ccl2 Cl C x x 2 1 x x 187.9476507
bn3pi B N x x 1 1 x x 111.6991487
so2 O S x x 2 1 x x 258.6786946
no N O x x 1 1 x x 148.7226452
so S O x x 1 1 x x 127.5720048
n2o N O x x 2 1 x x 276.6535312
c-hooo O H x x 3 1 x x 224.2314169
s2 S x x x 2 x x x 115.8215796
p4 P x x x 4 x x x 278.8864836
cl2 Cl x x x 2 x x x 61.34172466
o2 O x x x 2 x x x 112.9433268
f2 F x x x 2 x x x 28.25926651
t-hooo O H x x 3 1 x x 223.6424782
s2o S O x x 2 1 x x 215.3311506
p2 P x x x 2 x x x 112.6832935
clf Cl F x x 1 1 x x 56.1082818
no2 O N x x 2 1 x x 228.0318038
clo Cl O x x 1 1 x x 65.26977263
s3 S x x x 3 x x x 183.6134044
cl2o Cl O x x 2 1 x x 97.244606
s4-c2v S x x x 4 x x x 254.3477779
of O F x x 1 1 x x 47.73820017
c2 C x x x 2 x x x 137.5022556
oclo O Cl x x 2 1 x x 131.3251956
f2o F O x x 2 1 x x 81.98102411
b2 B x x x 2 x x x 72.42961848
fo2 O F x x 2 1 x x 121.8932682
cloo O Cl x x 2 1 x x 122.0231882
foof F O x x 2 2 x x 138.2336128
o3 O x x x 3 x x x 132.38049
bn B N x x 1 1 x x 109.4385301
