xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1282.542062
pentane H C x x 12 5 x x 1572.015521
hexane H C x x 14 6 x x 1861.480768
heptane H C x x 16 7 x x 2150.959387
octane H C x x 18 8 x x 2440.365947
isobutane H C x x 10 4 x x 1283.779749
isopentane H C x x 12 5 x x 1572.594592
isohexane H C x x 14 6 x x 1861.982164
isoheptane H C x x 16 7 x x 2151.464695
isooctane H C x x 18 8 x x 2440.704984
neopentane H C x x 12 5 x x 1575.077535
neohexane H C x x 14 6 x x 1863.100813
neoheptane H C x x 16 7 x x 2152.377271
3methylpentane H C x x 14 6 x x 1861.23089
diisopropyl H C x x 14 6 x x 1861.784707
hexamethylethane H C x x 18 8 x x 2439.797708
h2 H x x x 2 x x x 110.6713714
alh3 H Al x x 3 1 x x 215.5165327
alh Al H x x 1 1 x x 73.27981387
sih4 H Si x x 4 1 x x 326.2710942
bh3 H B x x 3 1 x x 285.531837
bh B H x x 1 1 x x 89.25255281
ch2-trip H C x x 2 1 x x 186.2855665
sih H Si x x 1 1 x x 73.62733001
si2h6 H Si x x 6 2 x x 535.426959
ch3 H C x x 3 1 x x 303.3394148
ch4 H C x x 4 1 x x 415.6761835
b2h6 H B x x 6 2 x x 607.1664986
sih3f H F Si x 3 1 1 x 378.2078224
ph3 H P x x 3 1 x x 241.8267807
c2h6 H C x x 6 2 x x 703.414229
propane H C x x 8 3 x x 993.0641674
ch2-sing H C x x 2 1 x x 186.8617823
ch C H x x 1 1 x x 86.36913217
h2s H S x x 2 1 x x 188.0478845
hs S H x x 1 1 x x 90.53048645
c2h5f H C F x 5 2 1 x 706.5600116
ch3nh2 H C N x 5 1 1 x 577.5626826
ch3f H F C x 3 1 1 x 412.8986421
propene H C x x 6 3 x x 847.4685972
nh3 H N x x 3 1 x x 298.6347694
ethanol H C O x 6 2 1 x 797.6347661
ch3nh H C N x 4 1 1 x 474.3645706
c2h4 H C x x 4 2 x x 554.0555711
methanol H C O x 4 1 1 x 504.8053731
hcl Cl H x x 1 1 x x 110.6517538
nh2 H N x x 2 1 x x 186.4430668
nh N H x x 1 1 x x 85.71712947
ch2nh2 H C N x 4 1 1 x 478.5119311
bhf2 F B H x 2 1 1 x 402.4002785
h2o H O x x 2 1 x x 229.5354695
hf F H x x 1 1 x x 136.5371143
ch2ch H C x x 3 2 x x 440.244934
oh O H x x 1 1 x x 107.5343077
