xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.021594
pentane H C x x 12 5 x x 1593.559287
hexane H C x x 14 6 x x 1887.105699
heptane H C x x 16 7 x x 2180.655752
octane H C x x 18 8 x x 2474.188292
isobutane H C x x 10 4 x x 1301.253569
isopentane H C x x 12 5 x x 1594.497158
isohexane H C x x 14 6 x x 1887.973748
isoheptane H C x x 16 7 x x 2181.539906
isooctane H C x x 18 8 x x 2475.988837
neopentane H C x x 12 5 x x 1596.916024
neohexane H C x x 14 6 x x 1889.810732
neoheptane H C x x 16 7 x x 2183.211455
3methylpentane H C x x 14 6 x x 1887.583362
diisopropyl H C x x 14 6 x x 1888.450154
hexamethylethane H C x x 18 8 x x 2477.252726
h2 H x x x 2 x x x 109.3864813
alh3 H Al x x 3 1 x x 220.6733494
alh Al H x x 1 1 x x 74.05392797
sih4 H Si x x 4 1 x x 325.0345752
bh3 H B x x 3 1 x x 281.3056202
bh B H x x 1 1 x x 83.37634044
ch2-trip H C x x 2 1 x x 188.490911
sih H Si x x 1 1 x x 74.02430563
si2h6 H Si x x 6 2 x x 535.5636124
ch3 H C x x 3 1 x x 307.8063697
ch4 H C x x 4 1 x x 421.0568776
b2h6 H B x x 6 2 x x 603.60315
sih3f H F Si x 3 1 1 x 383.9664404
ph3 H P x x 3 1 x x 242.8753624
c2h6 H C x x 6 2 x x 712.8614611
propane H C x x 8 3 x x 1006.448315
ch2-sing H C x x 2 1 x x 182.7812484
ch C H x x 1 1 x x 83.32721285
h2s H S x x 2 1 x x 184.0247444
hs S H x x 1 1 x x 88.44248624
c2h5f H C F x 5 2 1 x 722.1180003
ch3nh2 H C N x 5 1 1 x 588.337094
ch3f H F C x 3 1 1 x 424.5292857
propene H C x x 6 3 x x 859.014552
nh3 H N x x 3 1 x x 304.6988477
ethanol H C O x 6 2 1 x 811.7511114
ch3nh H C N x 4 1 1 x 479.8666144
c2h4 H C x x 4 2 x x 562.184207
methanol H C O x 4 1 1 x 515.2613159
hcl Cl H x x 1 1 x x 107.6544562
nh2 H N x x 2 1 x x 187.1808073
nh N H x x 1 1 x x 84.08072939
ch2nh2 H C N x 4 1 1 x 489.8658861
bhf2 F B H x 2 1 1 x 410.4613064
h2o H O x x 2 1 x x 235.3771526
hf F H x x 1 1 x x 143.397584
ch2ch H C x x 3 2 x x 444.9896356
oh O H x x 1 1 x x 108.1990396
propyne H C x x 4 3 x x 703.0804531
acetaldehyde H C O x 4 2 1 x 677.0892094
allene H C x x 4 3 x x 702.5681242
sif4 F Si x x 4 1 x x 582.1592594
bf3 F B x x 3 1 x x 470.9435885
c2h3f H C F x 3 2 1 x 573.6572078
oxirane H C O x 4 2 1 x 653.7832634
ch2f2 H F C x 2 2 1 x 439.8422235
alf3 F Al x x 3 1 x x 439.8546061
bef2 F Be x x 2 1 x x 313.0289621
ch2c C H x x 2 2 x x 358.9223035
n2h4 H N x x 4 2 x x 450.9890199
ch2nh H C N x 3 1 1 x 442.6389768
alf Al F x x 1 1 x x 164.1975739
acetic H C O x 4 2 2 x 804.7455516
c2h2 C H x x 2 2 x x 402.7799187
h2co H O C x 2 1 1 x 374.1224023
h2cn H C N x 2 1 1 x 346.8569379
bf F B x x 1 1 x x 180.715836
becl2 Cl Be x x 2 1 x x 223.8787757
t-hcoh H C O x 2 1 1 x 324.453223
alcl3 Cl Al x x 3 1 x x 311.332817
c-hcoh H C O x 2 1 1 x 319.2222746
alcl Al Cl x x 1 1 x x 119.5743001
ketene C H O x 2 2 1 x 534.8920697
sif F Si x x 1 1 x x 144.3191184
formic H O C x 2 2 1 x 503.1100993
hcnh H C N x 2 1 1 x 340.4487044
glyoxal C H O x 2 2 2 x 632.1812159
hcof C O H F 1 1 1 1 404.5201382
nh2cl H N Cl x 2 1 1 x 253.9551257
cf4 F C x x 4 1 x x 480.5691832
hccf C H F x 2 1 1 x 398.0809165
hcn H C N x 1 1 1 x 314.6607332
hnc H N C x 1 1 1 x 303.2248839
cch C H x x 2 1 x x 261.8644408
hco O C H x 1 1 1 x 279.5167693
co C O x x 1 1 x x 258.9914897
oxirene C H O x 2 2 1 x 456.9832233
f2co F O C x 2 1 1 x 422.4575051
hocn C N O H 1 1 1 1 413.609586
hooh H O x x 2 2 x x 270.8992377
t-n2h2 H N x x 2 2 x x 304.2904327
hnco C O N H 1 1 1 1 440.9590933
c-n2h2 H N x x 2 2 x x 298.3818964
cf2 F C x x 2 1 x x 260.4832047
co2 O C x x 2 1 x x 390.5345038
fccf F C x x 2 2 x x 387.7802637
dioxirane H O C x 2 2 1 x 408.1948622
cf C F x x 1 1 x x 136.0935286
ssh S H x x 2 1 x x 165.7366431
hocl O H Cl x 1 1 1 x 167.6252869
nccn N C x x 2 2 x x 501.2522876
n2 N x x x 2 x x x 233.4225594
n2h N H x x 2 1 x x 233.0080533
ocs O C S x 1 1 1 x 334.4734085
sio Si O x x 1 1 x x 188.069825
clcn Cl C N x 1 1 1 x 285.7259181
hoo O H x x 2 1 x x 178.1430044
hcno C H N O 1 1 1 1 370.5269464
honc H O N C 1 1 1 1 356.4743549
hno N H O x 1 1 1 x 209.1231396
hof H O F x 1 1 1 x 158.9123702
c-hono O N H x 2 1 1 x 316.3293191
t-hono O N H x 2 1 1 x 316.4121243
cs2 S C x x 2 1 x x 274.763387
hnnn N H x x 3 1 x x 343.5241702
cs C S x x 1 1 x x 166.0035602
cn C N x x 1 1 x x 176.7727709
so3 O S x x 3 1 x x 338.9117235
ccl2 Cl C x x 2 1 x x 173.3286073
bn3pi B N x x 1 1 x x 106.082195
so2 O S x x 2 1 x x 254.5150909
no N O x x 1 1 x x 156.20818
so S O x x 1 1 x x 126.7790638
n2o N O x x 2 1 x x 277.6143834
c-hooo O H x x 3 1 x x 230.9160845
s2 S x x x 2 x x x 104.4998445
p4 P x x x 4 x x x 291.2275737
cl2 Cl x x x 2 x x x 60.35332876
o2 O x x x 2 x x x 120.3204479
f2 F x x x 2 x x x 35.94298023
t-hooo O H x x 3 1 x x 229.0127347
s2o S O x x 2 1 x x 201.0202114
p2 P x x x 2 x x x 110.7631159
clf Cl F x x 1 1 x x 64.2222485
no2 O N x x 2 1 x x 231.8016551
clo Cl O x x 1 1 x x 66.15125418
s3 S x x x 3 x x x 159.249631
cl2o Cl O x x 2 1 x x 100.7696781
s4-c2v S x x x 4 x x x 223.5805563
of O F x x 1 1 x x 54.49906146
c2 C x x x 2 x x x 130.4140503
oclo O Cl x x 2 1 x x 126.2095004
f2o F O x x 2 1 x x 93.80195
b2 B x x x 2 x x x 55.27833168
