xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.6379509
alh3 H Al x x 3 1 x x 219.0540574
alh Al H x x 1 1 x x 75.8683383
sih4 H Si x x 4 1 x x 329.9298521
bh3 H B x x 3 1 x x 289.8171189
bh B H x x 1 1 x x 92.62559262
ch2-trip H C x x 2 1 x x 185.786809
sih H Si x x 1 1 x x 73.69543975
si2h6 H Si x x 6 2 x x 545.7003887
ch3 H C x x 3 1 x x 306.2124663
ch4 H C x x 4 1 x x 419.5121576
b2h6 H B x x 6 2 x x 622.8324801
sih3f H F Si x 3 1 1 x 385.4373001
ph3 H P x x 3 1 x x 242.1807166
c2h6 H C x x 6 2 x x 710.5369988
propane H C x x 8 3 x x 1003.391222
ch2-sing H C x x 2 1 x x 186.0280098
ch C H x x 1 1 x x 83.60398658
h2s H S x x 2 1 x x 186.1751899
hs S H x x 1 1 x x 89.68986178
c2h5f H C F x 5 2 1 x 718.466006
ch3nh2 H C N x 5 1 1 x 584.4587425
ch3f H F C x 3 1 1 x 421.6638453
propene H C x x 6 3 x x 858.2387341
nh3 H N x x 3 1 x x 301.3658454
ethanol H C O x 6 2 1 x 806.0787593
ch3nh H C N x 4 1 1 x 478.6623019
c2h4 H C x x 4 2 x x 561.4958357
methanol H C O x 4 1 1 x 510.1468906
hcl Cl H x x 1 1 x x 108.4644432
nh2 H N x x 2 1 x x 186.9777504
nh N H x x 1 1 x x 82.41118994
ch2nh2 H C N x 4 1 1 x 484.2735503
bhf2 F B H x 2 1 1 x 417.3423817
h2o H O x x 2 1 x x 230.0389266
hf F H x x 1 1 x x 139.8227045
ch2ch H C x x 3 2 x x 445.4989874
oh O H x x 1 1 x x 107.2741895
propyne H C x x 4 3 x x 702.6771259
acetaldehyde H C O x 4 2 1 x 673.312733
allene H C x x 4 3 x x 705.0570096
sif4 F Si x x 4 1 x x 574.4773523
bf3 F B x x 3 1 x x 477.200535
c2h3f H C F x 3 2 1 x 572.9249726
oxirane H C O x 4 2 1 x 647.7110959
ch2f2 H F C x 2 2 1 x 436.5943963
alf3 F Al x x 3 1 x x 425.5229692
bef2 F Be x x 2 1 x x 304.7182291
ch2c C H x x 2 2 x x 362.9983246
n2h4 H N x x 4 2 x x 444.769713
ch2nh H C N x 3 1 1 x 440.8539612
alf Al F x x 1 1 x x 160.954937
acetic H C O x 4 2 2 x 798.7089315
c2h2 C H x x 2 2 x x 401.9085008
h2co H O C x 2 1 1 x 370.6877648
h2cn H C N x 2 1 1 x 346.0522678
bf F B x x 1 1 x x 189.3041747
becl2 Cl Be x x 2 1 x x 235.5072765
t-hcoh H C O x 2 1 1 x 323.3410424
alcl3 Cl Al x x 3 1 x x 327.3112888
c-hcoh H C O x 2 1 1 x 318.9664249
alcl Al Cl x x 1 1 x x 126.3123133
ketene C H O x 2 2 1 x 533.8523283
sif F Si x x 1 1 x x 138.1755384
formic H O C x 2 2 1 x 497.6187306
hcnh H C N x 2 1 1 x 337.4766729
glyoxal C H O x 2 2 2 x 627.516472
