xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1295.432623
pentane H C x x 12 5 x x 1587.944105
hexane H C x x 14 6 x x 1880.463944
heptane H C x x 16 7 x x 2172.983683
octane H C x x 18 8 x x 2465.492591
isobutane H C x x 10 4 x x 1296.669759
isopentane H C x x 12 5 x x 1588.911703
isohexane H C x x 14 6 x x 1881.362264
isoheptane H C x x 16 7 x x 2173.903207
isooctane H C x x 18 8 x x 2467.726853
neopentane H C x x 12 5 x x 1591.411946
neohexane H C x x 14 6 x x 1883.418308
neoheptane H C x x 16 7 x x 2175.788528
3methylpentane H C x x 14 6 x x 1880.992934
diisopropyl H C x x 14 6 x x 1881.834997
hexamethylethane H C x x 18 8 x x 2469.664613
h2 H x x x 2 x x x 109.6334888
alh3 H Al x x 3 1 x x 218.9089204
alh Al H x x 1 1 x x 75.799122
sih4 H Si x x 4 1 x x 329.7393754
bh3 H B x x 3 1 x x 289.7531183
bh B H x x 1 1 x x 92.60000745
ch2-trip H C x x 2 1 x x 185.7516628
sih H Si x x 1 1 x x 73.64173901
si2h6 H Si x x 6 2 x x 544.6892742
ch3 H C x x 3 1 x x 306.1562868
ch4 H C x x 4 1 x x 419.437672
b2h6 H B x x 6 2 x x 622.5172123
sih3f H F Si x 3 1 1 x 385.2235647
ph3 H P x x 3 1 x x 242.050153
c2h6 H C x x 6 2 x x 710.2933285
propane H C x x 8 3 x x 1002.886468
ch2-sing H C x x 2 1 x x 185.9928307
ch C H x x 1 1 x x 83.58543953
h2s H S x x 2 1 x x 186.1009163
hs S H x x 1 1 x x 89.65422409
c2h5f H C F x 5 2 1 x 718.1991771
ch3nh2 H C N x 5 1 1 x 584.2721749
ch3f H F C x 3 1 1 x 421.5765076
propene H C x x 6 3 x x 857.8074309
nh3 H N x x 3 1 x x 301.3209287
ethanol H C O x 6 2 1 x 805.741151
ch3nh H C N x 4 1 1 x 478.5064724
c2h4 H C x x 4 2 x x 561.3067639
methanol H C O x 4 1 1 x 510.0156065
hcl Cl H x x 1 1 x x 108.4357104
nh2 H N x x 2 1 x x 186.9495034
nh N H x x 1 1 x x 82.39849132
ch2nh2 H C N x 4 1 1 x 484.1124988
bhf2 F B H x 2 1 1 x 417.2517268
h2o H O x x 2 1 x x 230.0179871
hf F H x x 1 1 x x 139.8162807
ch2ch H C x x 3 2 x x 445.3448396
oh O H x x 1 1 x x 107.264876
propyne H C x x 4 3 x x 702.345519
acetaldehyde H C O x 4 2 1 x 673.0465244
allene H C x x 4 3 x x 704.7101726
sif4 F Si x x 4 1 x x 574.177358
bf3 F B x x 3 1 x x 477.0924669
c2h3f H C F x 3 2 1 x 572.7158767
oxirane H C O x 4 2 1 x 647.4733298
ch2f2 H F C x 2 2 1 x 436.4915062
alf3 F Al x x 3 1 x x 425.3045856
bef2 F Be x x 2 1 x x 304.6456673
ch2c C H x x 2 2 x x 362.8652509
n2h4 H N x x 4 2 x x 444.6324594
ch2nh H C N x 3 1 1 x 440.7221523
alf Al F x x 1 1 x x 160.8644875
acetic H C O x 4 2 2 x 798.3425332
c2h2 C H x x 2 2 x x 401.7869596
h2co H O C x 2 1 1 x 370.6047443
h2cn H C N x 2 1 1 x 345.95109
bf F B x x 1 1 x x 189.2689956
becl2 Cl Be x x 2 1 x x 235.0059558
t-hcoh H C O x 2 1 1 x 323.2597606
alcl3 Cl Al x x 3 1 x x 325.7670709
c-hcoh H C O x 2 1 1 x 318.8850172
alcl Al Cl x x 1 1 x x 125.7975785
ketene C H O x 2 2 1 x 533.6543053
sif F Si x x 1 1 x x 138.1021107
formic H O C x 2 2 1 x 497.4726853
hcnh H C N x 2 1 1 x 337.3749204
glyoxal C H O x 2 2 2 x 627.2257155
hcof C O H F 1 1 1 1 400.5433017
nh2cl H N Cl x 2 1 1 x 251.7516112
cf4 F C x x 4 1 x x 481.7546894
hccf C H F x 2 1 1 x 397.5082915
hcn H C N x 1 1 1 x 311.1419637
hnc H N C x 1 1 1 x 302.3069029
cch C H x x 2 1 x x 264.0107307
hco O C H x 1 1 1 x 274.526335
co C O x x 1 1 x x 256.2606617
oxirene C H O x 2 2 1 x 449.4056064
f2co F O C x 2 1 1 x 420.5219951
hocn C N O H 1 1 1 1 409.6843997
hooh H O x x 2 2 x x 265.8271516
t-n2h2 H N x x 2 2 x x 300.0817416
hnco C O N H 1 1 1 1 438.0575577
c-n2h2 H N x x 2 2 x x 295.1114683
cf2 F C x x 2 1 x x 263.3763226
co2 O C x x 2 1 x x 386.0000037
fccf F C x x 2 2 x x 386.0884921
dioxirane H O C x 2 2 1 x 406.07072
cf C F x x 1 1 x x 134.8736375
ssh S H x x 2 1 x x 168.2619698
hocl O H Cl x 1 1 1 x 163.7824793
nccn N C x x 2 2 x x 503.3145235
n2 N x x x 2 x x x 226.9321765
n2h N H x x 2 1 x x 227.8813923
ocs O C S x 1 1 1 x 338.4708234
sio Si O x x 1 1 x x 185.1171454
clcn Cl C N x 1 1 1 x 285.7607805
hoo O H x x 2 1 x x 172.1017277
hcno C H N O 1 1 1 1 362.9698588
honc H O N C 1 1 1 1 352.2918679
hno N H O x 1 1 1 x 203.3420223
hof H O F x 1 1 1 x 158.5381442
c-hono O N H x 2 1 1 x 308.4318792
t-hono O N H x 2 1 1 x 308.6019351
cs2 S C x x 2 1 x x 288.8605869
hnnn N H x x 3 1 x x 339.408557
cs C S x x 1 1 x x 172.7622717
cn C N x x 1 1 x x 177.3483738
so3 O S x x 3 1 x x 341.5806162
ccl2 Cl C x x 2 1 x x 182.2300335
bn3pi B N x x 1 1 x x 118.794976
so2 O S x x 2 1 x x 252.6313811
no N O x x 1 1 x x 147.4269566
so S O x x 1 1 x x 122.1819758
n2o N O x x 2 1 x x 270.0262536
c-hooo O H x x 3 1 x x 224.2248775
s2 S x x x 2 x x x 106.3053479
p4 P x x x 4 x x x 282.0468822
cl2 Cl x x x 2 x x x 59.27132749
o2 O x x x 2 x x x 110.0716221
f2 F x x x 2 x x x 40.3358731
t-hooo O H x x 3 1 x x 223.0550279
s2o S O x x 2 1 x x 206.39826
p2 P x x x 2 x x x 109.5783548
clf Cl F x x 1 1 x x 62.07827588
no2 O N x x 2 1 x x 221.3033473
clo Cl O x x 1 1 x x 62.82588342
s3 S x x x 3 x x x 171.1272353
cl2o Cl O x x 2 1 x x 97.13837327
s4-c2v S x x x 4 x x x 237.4375458
of O F x x 1 1 x x 53.44841157
c2 C x x x 2 x x x 130.9281698
oclo O Cl x x 2 1 x x 118.9872804
f2o F O x x 2 1 x x 95.00033489
b2 B x x x 2 x x x 71.93970226
fo2 O F x x 2 1 x x 124.763169
cloo O Cl x x 2 1 x x 116.1036159
foof F O x x 2 2 x x 149.4057728
o3 O x x x 3 x x x 131.583763
bn B N x x 1 1 x x 114.043692
be2 Be x x x 2 x x x 16.78750105
