xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1287.004865
pentane H C x x 12 5 x x 1577.824708
hexane H C x x 14 6 x x 1868.657864
heptane H C x x 16 7 x x 2159.491626
octane H C x x 18 8 x x 2450.315851
isobutane H C x x 10 4 x x 1288.209905
isopentane H C x x 12 5 x x 1578.55205
isohexane H C x x 14 6 x x 1869.335311
isoheptane H C x x 16 7 x x 2160.198987
isooctane H C x x 18 8 x x 2451.411393
neopentane H C x x 12 5 x x 1580.980618
neohexane H C x x 14 6 x x 1870.779206
neoheptane H C x x 16 7 x x 2161.507708
3methylpentane H C x x 14 6 x x 1868.742168
diisopropyl H C x x 14 6 x x 1869.38658
hexamethylethane H C x x 18 8 x x 2451.371336
h2 H x x x 2 x x x 110.25647
alh3 H Al x x 3 1 x x 215.4498264
alh Al H x x 1 1 x x 75.21593238
sih4 H Si x x 4 1 x x 325.4950946
bh3 H B x x 3 1 x x 288.3825644
bh B H x x 1 1 x x 90.59310804
ch2-trip H C x x 2 1 x x 188.7620874
sih H Si x x 1 1 x x 71.33272555
si2h6 H Si x x 6 2 x x 534.4135272
ch3 H C x x 3 1 x x 303.8005946
ch4 H C x x 4 1 x x 416.2721572
b2h6 H B x x 6 2 x x 616.8754632
sih3f H F Si x 3 1 1 x 382.1353915
ph3 H P x x 3 1 x x 236.4171689
c2h6 H C x x 6 2 x x 705.3105461
propane H C x x 8 3 x x 996.1682335
ch2-sing H C x x 2 1 x x 181.9438872
ch C H x x 1 1 x x 83.75030063
h2s H S x x 2 1 x x 184.2601675
hs S H x x 1 1 x x 87.80334707
c2h5f H C F x 5 2 1 x 713.6856167
ch3nh2 H C N x 5 1 1 x 578.9031025
ch3f H F C x 3 1 1 x 419.1374268
propene H C x x 6 3 x x 850.7275457
nh3 H N x x 3 1 x x 297.5919685
ethanol H C O x 6 2 1 x 803.1868672
ch3nh H C N x 4 1 1 x 472.5493111
c2h4 H C x x 4 2 x x 556.4637101
methanol H C O x 4 1 1 x 509.4695189
hcl Cl H x x 1 1 x x 108.021441
nh2 H N x x 2 1 x x 182.6269695
nh N H x x 1 1 x x 82.8361526
ch2nh2 H C N x 4 1 1 x 479.4544257
bhf2 F B H x 2 1 1 x 414.2138804
h2o H O x x 2 1 x x 231.5762591
hf F H x x 1 1 x x 140.0925504
ch2ch H C x x 3 2 x x 440.1836276
oh O H x x 1 1 x x 107.4714451
propyne H C x x 4 3 x x 695.4126354
acetaldehyde H C O x 4 2 1 x 670.1112663
allene H C x x 4 3 x x 696.8848463
sif4 F Si x x 4 1 x x 570.504527
bf3 F B x x 3 1 x x 473.2342918
c2h3f H C F x 3 2 1 x 567.5465289
oxirane H C O x 4 2 1 x 645.2244792
ch2f2 H F C x 2 2 1 x 434.1732798
alf3 F Al x x 3 1 x x 427.0846652
bef2 F Be x x 2 1 x x 311.2355177
ch2c C H x x 2 2 x x 357.3913174
n2h4 H N x x 4 2 x x 438.9470155
ch2nh H C N x 3 1 1 x 435.9129242
alf Al F x x 1 1 x x 162.7338771
acetic H C O x 4 2 2 x 796.2764391
c2h2 C H x x 2 2 x x 397.4515238
h2co H O C x 2 1 1 x 370.2915251
h2cn H C N x 2 1 1 x 340.631759
bf F B x x 1 1 x x 184.9511129
becl2 Cl Be x x 2 1 x x 234.5910255
t-hcoh H C O x 2 1 1 x 322.1298636
alcl3 Cl Al x x 3 1 x x 318.5646886
c-hcoh H C O x 2 1 1 x 317.7591221
alcl Al Cl x x 1 1 x x 125.4188185
ketene C H O x 2 2 1 x 529.3064775
sif F Si x x 1 1 x x 137.8326613
formic H O C x 2 2 1 x 497.9030509
hcnh H C N x 2 1 1 x 333.2710287
glyoxal C H O x 2 2 2 x 626.4345446
hcof C O H F 1 1 1 1 399.3737836
nh2cl H N Cl x 2 1 1 x 249.3364837
cf4 F C x x 4 1 x x 477.6769863
hccf C H F x 2 1 1 x 393.0475862
hcn H C N x 1 1 1 x 307.5663693
hnc H N C x 1 1 1 x 297.0976283
cch C H x x 2 1 x x 258.4291008
hco O C H x 1 1 1 x 274.9464748
co C O x x 1 1 x x 255.7054553
oxirene C H O x 2 2 1 x 448.6261801
f2co F O C x 2 1 1 x 418.3743716
hocn C N O H 1 1 1 1 407.0641849
hooh H O x x 2 2 x x 268.7588814
t-n2h2 H N x x 2 2 x x 295.5354648
hnco C O N H 1 1 1 1 433.3465906
c-n2h2 H N x x 2 2 x x 290.4411814
cf2 F C x x 2 1 x x 259.5387066
co2 O C x x 2 1 x x 385.7433085
fccf F C x x 2 2 x x 382.3389393
dioxirane H O C x 2 2 1 x 406.4841817
cf C F x x 1 1 x x 132.2426505
ssh S H x x 2 1 x x 167.4188878
hocl O H Cl x 1 1 1 x 166.4752789
nccn N C x x 2 2 x x 494.1745054
n2 N x x x 2 x x x 223.4264884
n2h N H x x 2 1 x x 223.2719268
ocs O C S x 1 1 1 x 334.8938217
sio Si O x x 1 1 x x 185.6742824
clcn Cl C N x 1 1 1 x 282.1724374
hoo O H x x 2 1 x x 175.2128718
hcno C H N O 1 1 1 1 359.6094423
honc H O N C 1 1 1 1 349.1620139
hno N H O x 1 1 1 x 203.218551
hof H O F x 1 1 1 x 158.8178571
c-hono O N H x 2 1 1 x 308.2268382
t-hono O N H x 2 1 1 x 308.2683687
cs2 S C x x 2 1 x x 282.8792278
hnnn N H x x 3 1 x x 330.5597534
cs C S x x 1 1 x x 169.7670905
cn C N x x 1 1 x x 172.3992617
so3 O S x x 3 1 x x 341.6510722
ccl2 Cl C x x 2 1 x x 179.7162684
bn3pi B N x x 1 1 x x 110.1005763
so2 O S x x 2 1 x x 254.4771726
no N O x x 1 1 x x 147.3330963
so S O x x 1 1 x x 126.2243002
n2o N O x x 2 1 x x 265.3095504
c-hooo O H x x 3 1 x x 226.9289746
s2 S x x x 2 x x x 108.3378972
p4 P x x x 4 x x x 264.2500614
cl2 Cl x x x 2 x x x 61.26480405
o2 O x x x 2 x x x 114.5660975
f2 F x x x 2 x x x 37.85254814
t-hooo O H x x 3 1 x x 225.2322933
s2o S O x x 2 1 x x 205.8043927
p2 P x x x 2 x x x 100.4885385
clf Cl F x x 1 1 x x 63.11224981
no2 O N x x 2 1 x x 220.2517335
clo Cl O x x 1 1 x x 66.09943004
s3 S x x x 3 x x x 168.8909278
cl2o Cl O x x 2 1 x x 101.5859732
s4-c2v S x x x 4 x x x 233.3810319
of O F x x 1 1 x x 53.61178501
c2 C x x x 2 x x x 123.7991161
oclo O Cl x x 2 1 x x 122.5155641
f2o F O x x 2 1 x x 93.56293033
b2 B x x x 2 x x x 67.07371122
fo2 O F x x 2 1 x x 122.8361551
cloo O Cl x x 2 1 x x 117.5368355
foof F O x x 2 2 x x 144.4427481
o3 O x x x 3 x x x 131.594449
bn B N x x 1 1 x x 105.6937665
be2 Be x x x 2 x x x 11.816457
C4H4 C H x x 4 4 x x 786.8192383
C6H6 C H x x 6 6 x x 1240.988233
C8H8 C H x x 8 8 x x 1683.92881
C10H10 C H x x 10 10 x x 2163.120357
C12H12 C H x x 12 12 x x 2677.259451
C20H20 C H x x 20 20 x x 4538.618824
