xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1285.90333
pentane H C x x 12 5 x x 1576.290624
hexane H C x x 14 6 x x 1866.684327
heptane H C x x 16 7 x x 2157.075605
octane H C x x 18 8 x x 2447.456558
isobutane H C x x 10 4 x x 1287.048289
isopentane H C x x 12 5 x x 1576.88101
isohexane H C x x 14 6 x x 1867.191126
isoheptane H C x x 16 7 x x 2157.595024
isooctane H C x x 18 8 x x 2447.784915
neopentane H C x x 12 5 x x 1579.23092
neohexane H C x x 14 6 x x 1868.41923
neoheptane H C x x 16 7 x x 2158.630794
3methylpentane H C x x 14 6 x x 1866.538591
diisopropyl H C x x 14 6 x x 1867.080345
hexamethylethane H C x x 18 8 x x 2447.428438
h2 H x x x 2 x x x 110.2495678
alh3 H Al x x 3 1 x x 215.2769574
alh Al H x x 1 1 x x 75.13567434
sih4 H Si x x 4 1 x x 325.2546904
bh3 H B x x 3 1 x x 288.2944097
bh B H x x 1 1 x x 90.55894922
ch2-trip H C x x 2 1 x x 188.7123974
sih H Si x x 1 1 x x 71.2672462
si2h6 H Si x x 6 2 x x 533.3531075
ch3 H C x x 3 1 x x 303.7202485
ch4 H C x x 4 1 x x 416.164294
b2h6 H B x x 6 2 x x 616.4587525
sih3f H F Si x 3 1 1 x 381.8700639
ph3 H P x x 3 1 x x 236.2477336
c2h6 H C x x 6 2 x x 704.9685341
propane H C x x 8 3 x x 995.4749341
ch2-sing H C x x 2 1 x x 181.8941378
ch C H x x 1 1 x x 83.7244172
h2s H S x x 2 1 x x 184.1629041
hs S H x x 1 1 x x 87.75719912
c2h5f H C F x 5 2 1 x 713.3145557
ch3nh2 H C N x 5 1 1 x 578.6381627
ch3f H F C x 3 1 1 x 419.0131295
propene H C x x 6 3 x x 850.1473837
nh3 H N x x 3 1 x x 297.5257513
ethanol H C O x 6 2 1 x 802.7189802
ch3nh H C N x 4 1 1 x 472.3301105
c2h4 H C x x 4 2 x x 556.2052839
methanol H C O x 4 1 1 x 509.2830684
hcl Cl H x x 1 1 x x 107.9833353
nh2 H N x x 2 1 x x 182.5857181
nh N H x x 1 1 x x 82.81780666
ch2nh2 H C N x 4 1 1 x 479.2286614
bhf2 F B H x 2 1 1 x 414.0934247
h2o H O x x 2 1 x x 231.545302
hf F H x x 1 1 x x 140.0829846
ch2ch H C x x 3 2 x x 439.9761635
oh O H x x 1 1 x x 107.4578427
propyne H C x x 4 3 x x 694.9788657
acetaldehyde H C O x 4 2 1 x 669.7485133
allene H C x x 4 3 x x 696.4314902
sif4 F Si x x 4 1 x x 570.1426633
bf3 F B x x 3 1 x x 473.092283
c2h3f H C F x 3 2 1 x 567.2636311
oxirane H C O x 4 2 1 x 644.8986434
ch2f2 H F C x 2 2 1 x 434.0289711
alf3 F Al x x 3 1 x x 426.837046
bef2 F Be x x 2 1 x x 311.1435016
ch2c C H x x 2 2 x x 357.2158249
n2h4 H N x x 4 2 x x 438.7496184
ch2nh H C N x 3 1 1 x 435.7303109
alf Al F x x 1 1 x x 162.6354766
acetic H C O x 4 2 2 x 795.7809698
c2h2 C H x x 2 2 x x 397.291475
h2co H O C x 2 1 1 x 370.1769667
h2cn H C N x 2 1 1 x 340.4937274
bf F B x x 1 1 x x 184.9065325
becl2 Cl Be x x 2 1 x x 234.0676908
t-hcoh H C O x 2 1 1 x 322.0178273
alcl3 Cl Al x x 3 1 x x 317.1095584
c-hcoh H C O x 2 1 1 x 317.6467989
alcl Al Cl x x 1 1 x x 124.9544433
ketene C H O x 2 2 1 x 529.0451557
sif F Si x x 1 1 x x 137.7483378
formic H O C x 2 2 1 x 497.7031779
hcnh H C N x 2 1 1 x 333.132508
glyoxal C H O x 2 2 2 x 626.0501488
hcof C O H F 1 1 1 1 399.2403941
nh2cl H N Cl x 2 1 1 x 249.1363359
cf4 F C x x 4 1 x x 477.4818837
hccf C H F x 2 1 1 x 392.8677999
hcn H C N x 1 1 1 x 307.4681034
hnc H N C x 1 1 1 x 296.9888507
cch C H x x 2 1 x x 258.2990199
hco O C H x 1 1 1 x 274.8679922
co C O x x 1 1 x x 255.6538436
oxirene C H O x 2 2 1 x 448.3842638
f2co F O C x 2 1 1 x 418.2185713
hocn C N O H 1 1 1 1 406.8833664
hooh H O x x 2 2 x x 268.6803414
t-n2h2 H N x x 2 2 x x 295.4156006
hnco C O N H 1 1 1 1 433.1620744
c-n2h2 H N x x 2 2 x x 290.3210467
cf2 F C x x 2 1 x x 259.461707
co2 O C x x 2 1 x x 385.6278601
fccf F C x x 2 2 x x 382.1370628
dioxirane H O C x 2 2 1 x 406.3091435
cf C F x x 1 1 x x 132.2068148
ssh S H x x 2 1 x x 167.0074998
hocl O H Cl x 1 1 1 x 166.3560449
nccn N C x x 2 2 x x 493.8350283
n2 N x x x 2 x x x 223.376057
n2h N H x x 2 1 x x 223.1890054
ocs O C S x 1 1 1 x 334.6113777
sio Si O x x 1 1 x x 185.5483124
clcn Cl C N x 1 1 1 x 281.8900478
hoo O H x x 2 1 x x 175.1611824
hcno C H N O 1 1 1 1 359.4260389
honc H O N C 1 1 1 1 348.9661428
