xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1290.186751
pentane H C x x 12 5 x x 1582.15842
hexane H C x x 14 6 x x 1874.172143
heptane H C x x 16 7 x x 2166.152973
octane H C x x 18 8 x x 2458.146045
isobutane H C x x 10 4 x x 1291.886398
isopentane H C x x 12 5 x x 1583.604215
isohexane H C x x 14 6 x x 1875.552688
isoheptane H C x x 16 7 x x 2167.575295
isooctane H C x x 18 8 x x 2462.283666
neopentane H C x x 12 5 x x 1586.924212
neohexane H C x x 14 6 x x 1878.355451
neoheptane H C x x 16 7 x x 2170.245938
3methylpentane H C x x 14 6 x x 1875.112552
diisopropyl H C x x 14 6 x x 1876.342482
hexamethylethane H C x x 18 8 x x 2464.167552
h2 H x x x 2 x x x 109.9335762
alh3 H Al x x 3 1 x x 222.0350485
alh Al H x x 1 1 x x 75.12586869
sih4 H Si x x 4 1 x x 330.3427527
bh3 H B x x 3 1 x x 280.8055858
bh B H x x 1 1 x x 86.51086291
ch2-trip H C x x 2 1 x x 192.0147303
sih H Si x x 1 1 x x 74.80364331
si2h6 H Si x x 6 2 x x 545.5108437
ch3 H C x x 3 1 x x 306.1943567
ch4 H C x x 4 1 x x 416.3104541
b2h6 H B x x 6 2 x x 607.8165652
sih3f H F Si x 3 1 1 x 384.9904727
ph3 H P x x 3 1 x x 244.1257196
c2h6 H C x x 6 2 x x 706.0928682
propane H C x x 8 3 x x 998.1560051
ch2-sing H C x x 2 1 x x 184.6854111
ch C H x x 1 1 x x 85.5364531
h2s H S x x 2 1 x x 185.0226346
hs S H x x 1 1 x x 88.6627363
c2h5f H C F x 5 2 1 x 715.6285788
ch3nh2 H C N x 5 1 1 x 577.2948249
ch3f H F C x 3 1 1 x 419.6889017
propene H C x x 6 3 x x 854.5167766
nh3 H N x x 3 1 x x 295.0763793
ethanol H C O x 6 2 1 x 802.0244305
ch3nh H C N x 4 1 1 x 473.6435035
c2h4 H C x x 4 2 x x 558.9864813
methanol H C O x 4 1 1 x 506.9163473
hcl Cl H x x 1 1 x x 108.8528509
nh2 H N x x 2 1 x x 183.0170069
nh N H x x 1 1 x x 84.65854547
ch2nh2 H C N x 4 1 1 x 478.6938912
bhf2 F B H x 2 1 1 x 410.6064658
h2o H O x x 2 1 x x 227.2687382
hf F H x x 1 1 x x 138.0428554
ch2ch H C x x 3 2 x x 444.581631
oh O H x x 1 1 x x 105.1713502
propyne H C x x 4 3 x x 699.8250915
acetaldehyde H C O x 4 2 1 x 673.751457
allene H C x x 4 3 x x 702.28886
sif4 F Si x x 4 1 x x 572.4143881
bf3 F B x x 3 1 x x 470.6984181
c2h3f H C F x 3 2 1 x 571.7179237
oxirane H C O x 4 2 1 x 650.8312737
ch2f2 H F C x 2 2 1 x 436.8347067
alf3 F Al x x 3 1 x x 421.9217796
bef2 F Be x x 2 1 x x 301.2439067
ch2c C H x x 2 2 x x 361.4266413
n2h4 H N x x 4 2 x x 435.1404069
ch2nh H C N x 3 1 1 x 437.5381498
alf Al F x x 1 1 x x 159.2569816
acetic H C O x 4 2 2 x 799.8389283
c2h2 C H x x 2 2 x x 400.9005088
h2co H O C x 2 1 1 x 372.0363788
h2cn H C N x 2 1 1 x 343.9737291
bf F B x x 1 1 x x 185.0768859
becl2 Cl Be x x 2 1 x x 231.926484
t-hcoh H C O x 2 1 1 x 321.9815801
alcl3 Cl Al x x 3 1 x x 322.6304058
c-hcoh H C O x 2 1 1 x 317.7226988
alcl Al Cl x x 1 1 x x 123.59371
ketene C H O x 2 2 1 x 535.538293
sif F Si x x 1 1 x x 141.5727204
formic H O C x 2 2 1 x 500.074538
hcnh H C N x 2 1 1 x 336.0436815
glyoxal C H O x 2 2 2 x 632.4549536
hcof C O H F 1 1 1 1 404.7092688
nh2cl H N Cl x 2 1 1 x 249.0358021
cf4 F C x x 4 1 x x 486.8034081
hccf C H F x 2 1 1 x 397.9082885
hcn H C N x 1 1 1 x 311.5167906
hnc H N C x 1 1 1 x 299.9197214
cch C H x x 2 1 x x 263.1549084
hco O C H x 1 1 1 x 278.5340185
co C O x x 1 1 x x 260.1933461
oxirene C H O x 2 2 1 x 454.8928469
f2co F O C x 2 1 1 x 426.5670555
