xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1292.193598
pentane H C x x 12 5 x x 1584.687392
hexane H C x x 14 6 x x 1877.189582
heptane H C x x 16 7 x x 2169.699927
octane H C x x 18 8 x x 2462.189866
isobutane H C x x 10 4 x x 1293.608148
isopentane H C x x 12 5 x x 1585.779888
isohexane H C x x 14 6 x x 1878.232489
isoheptane H C x x 16 7 x x 2170.757637
isooctane H C x x 18 8 x x 2464.667958
neopentane H C x x 12 5 x x 1588.520141
neohexane H C x x 14 6 x x 1880.293512
neoheptane H C x x 16 7 x x 2172.685446
3methylpentane H C x x 14 6 x x 1877.787613
diisopropyl H C x x 14 6 x x 1878.742287
hexamethylethane H C x x 18 8 x x 2465.764947
h2 H x x x 2 x x x 107.9479597
alh3 H Al x x 3 1 x x 215.3661041
alh Al H x x 1 1 x x 74.35009143
sih4 H Si x x 4 1 x x 324.7563527
bh3 H B x x 3 1 x x 280.92143
bh B H x x 1 1 x x 85.44943868
ch2-trip H C x x 2 1 x x 187.7291185
sih H Si x x 1 1 x x 73.03799938
si2h6 H Si x x 6 2 x x 535.2593795
ch3 H C x x 3 1 x x 305.3686632
ch4 H C x x 4 1 x x 416.5604379
b2h6 H B x x 6 2 x x 611.4583343
sih3f H F Si x 3 1 1 x 383.5582988
ph3 H P x x 3 1 x x 241.6568725
c2h6 H C x x 6 2 x x 707.1366766
propane H C x x 8 3 x x 999.6905605
ch2-sing H C x x 2 1 x x 180.840911
ch C H x x 1 1 x x 81.93422227
h2s H S x x 2 1 x x 183.7360248
hs S H x x 1 1 x x 88.32090584
c2h5f H C F x 5 2 1 x 719.2965369
ch3nh2 H C N x 5 1 1 x 580.4130607
ch3f H F C x 3 1 1 x 422.9676032
propene H C x x 6 3 x x 855.6780035
nh3 H N x x 3 1 x x 296.9221013
ethanol H C O x 6 2 1 x 807.0878884
ch3nh H C N x 4 1 1 x 474.1689695
c2h4 H C x x 4 2 x x 559.9258096
methanol H C O x 4 1 1 x 511.6279727
hcl Cl H x x 1 1 x x 106.6821716
nh2 H N x x 2 1 x x 182.2822636
nh N H x x 1 1 x x 81.90865533
ch2nh2 H C N x 4 1 1 x 482.719818
bhf2 F B H x 2 1 1 x 417.3860165
h2o H O x x 2 1 x x 230.8831743
hf F H x x 1 1 x x 140.6331308
