xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1313.822373
pentane H C x x 12 5 x x 1611.499284
hexane H C x x 14 6 x x 1909.188996
heptane H C x x 16 7 x x 2206.886225
octane H C x x 18 8 x x 2504.586512
isobutane H C x x 10 4 x x 1314.843523
isopentane H C x x 12 5 x x 1611.876846
isohexane H C x x 14 6 x x 1909.538828
isoheptane H C x x 16 7 x x 2207.261425
isooctane H C x x 18 8 x x 2504.109684
neopentane H C x x 12 5 x x 1613.889407
neohexane H C x x 14 6 x x 1910.168655
neoheptane H C x x 16 7 x x 2207.801752
3methylpentane H C x x 14 6 x x 1908.77116
diisopropyl H C x x 14 6 x x 1909.037671
hexamethylethane H C x x 18 8 x x 2502.353745
h2 H x x x 2 x x x 105.9985833
alh3 H Al x x 3 1 x x 214.8776694
alh Al H x x 1 1 x x 71.74955369
sih4 H Si x x 4 1 x x 327.9894836
bh3 H B x x 3 1 x x 287.5259623
bh B H x x 1 1 x x 84.80079524
ch2-trip H C x x 2 1 x x 194.2988992
sih H Si x x 1 1 x x 74.69943604
si2h6 H Si x x 6 2 x x 544.0015497
ch3 H C x x 3 1 x x 312.7167684
ch4 H C x x 4 1 x x 422.2958018
b2h6 H B x x 6 2 x x 622.7532035
sih3f H F Si x 3 1 1 x 373.2618133
ph3 H P x x 3 1 x x 247.8627605
c2h6 H C x x 6 2 x x 718.3897485
propane H C x x 8 3 x x 1016.129994
ch2-sing H C x x 2 1 x x 190.4197793
ch C H x x 1 1 x x 87.61897951
h2s H S x x 2 1 x x 182.5161884
hs S H x x 1 1 x x 89.30262872
c2h5f H C F x 5 2 1 x 720.9421592
ch3nh2 H C N x 5 1 1 x 589.8378854
ch3f H F C x 3 1 1 x 419.2631195
propene H C x x 6 3 x x 867.2188923
nh3 H N x x 3 1 x x 300.5190244
ethanol H C O x 6 2 1 x 812.0657783
ch3nh H C N x 4 1 1 x 489.4067911
c2h4 H C x x 4 2 x x 566.3904305
methanol H C O x 4 1 1 x 511.3493116
hcl Cl H x x 1 1 x x 102.4002658
nh2 H N x x 2 1 x x 192.3943724
nh N H x x 1 1 x x 91.10530346
ch2nh2 H C N x 4 1 1 x 492.5661384
bhf2 F B H x 2 1 1 x 394.6234843
h2o H O x x 2 1 x x 223.6246689
hf F H x x 1 1 x x 128.2561349
ch2ch H C x x 3 2 x x 451.1763353
oh O H x x 1 1 x x 108.7296607
propyne H C x x 4 3 x x 703.8819661
acetaldehyde H C O x 4 2 1 x 678.5944646
allene H C x x 4 3 x x 707.7051739
sif4 F Si x x 4 1 x x 526.6272026
bf3 F B x x 3 1 x x 442.1043705
c2h3f H C F x 3 2 1 x 570.6075397
oxirane H C O x 4 2 1 x 655.0873267
ch2f2 H F C x 2 2 1 x 426.3320922
alf3 F Al x x 3 1 x x 392.2620144
bef2 F Be x x 2 1 x x 289.6428546
ch2c C H x x 2 2 x x 360.8978832
n2h4 H N x x 4 2 x x 449.3632769
ch2nh H C N x 3 1 1 x 445.1096577
alf Al F x x 1 1 x x 148.7684164
acetic H C O x 4 2 2 x 798.8304831
c2h2 C H x x 2 2 x x 399.7593563
h2co H O C x 2 1 1 x 371.9265353
h2cn H C N x 2 1 1 x 354.6064851
bf F B x x 1 1 x x 172.0169583
becl2 Cl Be x x 2 1 x x 222.4828753
t-hcoh H C O x 2 1 1 x 318.7992693
alcl3 Cl Al x x 3 1 x x 297.6274781
c-hcoh H C O x 2 1 1 x 314.0198603
alcl Al Cl x x 1 1 x x 114.7969583
ketene C H O x 2 2 1 x 531.3454785
sif F Si x x 1 1 x x 132.0913391
formic H O C x 2 2 1 x 493.8499885
hcnh H C N x 2 1 1 x 343.758354
glyoxal C H O x 2 2 2 x 631.2538056
hcof C O H F 1 1 1 1 393.4816587
nh2cl H N Cl x 2 1 1 x 251.5593494
cf4 F C x x 4 1 x x 449.0546905
hccf C H F x 2 1 1 x 387.5693561
hcn H C N x 1 1 1 x 311.6043091
hnc H N C x 1 1 1 x 297.1790007
cch C H x x 2 1 x x 261.6732863
hco O C H x 1 1 1 x 278.1524117
co C O x x 1 1 x x 250.3465151
oxirene C H O x 2 2 1 x 454.7069698
f2co F O C x 2 1 1 x 402.2973179
hocn C N O H 1 1 1 1 405.0311731
hooh H O x x 2 2 x x 265.3627313
t-n2h2 H N x x 2 2 x x 306.3146869
hnco C O N H 1 1 1 1 434.0904465
c-n2h2 H N x x 2 2 x x 300.8365786
cf2 F C x x 2 1 x x 244.729271
co2 O C x x 2 1 x x 379.8049346
fccf F C x x 2 2 x x 370.0089891
dioxirane H O C x 2 2 1 x 414.4865116
cf C F x x 1 1 x x 128.3556902
ssh S H x x 2 1 x x 166.7392619
hocl O H Cl x 1 1 1 x 161.3718872
nccn N C x x 2 2 x x 504.2859116
n2 N x x x 2 x x x 231.2830519
n2h N H x x 2 1 x x 237.6894247
ocs O C S x 1 1 1 x 329.4155537
sio Si O x x 1 1 x x 179.4044678
clcn Cl C N x 1 1 1 x 281.8078061
hoo O H x x 2 1 x x 179.1112488
hcno C H N O 1 1 1 1 364.9070792
honc H O N C 1 1 1 1 348.8070704
hno N H O x 1 1 1 x 208.7424546
hof H O F x 1 1 1 x 155.6104431
c-hono O N H x 2 1 1 x 313.2605833
t-hono O N H x 2 1 1 x 314.1362403
cs2 S C x x 2 1 x x 276.3400786
hnnn N H x x 3 1 x x 346.6760813
cs C S x x 1 1 x x 164.5028863
cn C N x x 1 1 x x 180.1638228
so3 O S x x 3 1 x x 329.5643802
ccl2 Cl C x x 2 1 x x 172.8972277
bn3pi B N x x 1 1 x x 119.4233175
so2 O S x x 2 1 x x 247.4639104
no N O x x 1 1 x x 156.3125817
so S O x x 1 1 x x 125.1420453
n2o N O x x 2 1 x x 276.6748333
c-hooo O H x x 3 1 x x 238.681137
s2 S x x x 2 x x x 103.6205134
p4 P x x x 4 x x x 294.2990026
cl2 Cl x x x 2 x x x 54.82483866
o2 O x x x 2 x x x 122.9936852
f2 F x x x 2 x x x 36.18334816
t-hooo O H x x 3 1 x x 238.8591295
s2o S O x x 2 1 x x 199.8009319
p2 P x x x 2 x x x 112.5663372
clf Cl F x x 1 1 x x 57.41809475
no2 O N x x 2 1 x x 234.6601589
clo Cl O x x 1 1 x x 68.05579353
s3 S x x x 3 x x x 161.3138042
cl2o Cl O x x 2 1 x x 99.47847236
s4-c2v S x x x 4 x x x 227.0478701
of O F x x 1 1 x x 57.52124061
c2 C x x x 2 x x x 145.0150219
oclo O Cl x x 2 1 x x 125.50164
f2o F O x x 2 1 x x 94.48644076
b2 B x x x 2 x x x 75.19121911
fo2 O F x x 2 1 x x 138.2942784
cloo O Cl x x 2 1 x x 131.2943291
foof F O x x 2 2 x x 158.6100354
o3 O x x x 3 x x x 144.983311
bn B N x x 1 1 x x 115.3829316
be2 Be x x x 2 x x x 11.39659704
