xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1312.485851
pentane H C x x 12 5 x x 1609.599462
hexane H C x x 14 6 x x 1906.719978
heptane H C x x 16 7 x x 2203.845443
octane H C x x 18 8 x x 2500.972482
isobutane H C x x 10 4 x x 1313.346315
isopentane H C x x 12 5 x x 1609.691413
isohexane H C x x 14 6 x x 1906.749711
isoheptane H C x x 16 7 x x 2203.882533
isooctane H C x x 18 8 x x 2499.134421
neopentane H C x x 12 5 x x 1611.489622
neohexane H C x x 14 6 x x 1906.92349
neoheptane H C x x 16 7 x x 2203.90882
3methylpentane H C x x 14 6 x x 1905.871655
diisopropyl H C x x 14 6 x x 1905.936101
hexamethylethane H C x x 18 8 x x 2496.884624
h2 H x x x 2 x x x 105.9985816
alh3 H Al x x 3 1 x x 214.7675686
alh Al H x x 1 1 x x 71.74932755
sih4 H Si x x 4 1 x x 327.8746956
bh3 H B x x 3 1 x x 287.5083409
bh B H x x 1 1 x x 84.80073059
ch2-trip H C x x 2 1 x x 194.2946067
sih H Si x x 1 1 x x 74.69934308
si2h6 H Si x x 6 2 x x 543.6230014
ch3 H C x x 3 1 x x 312.7087443
ch4 H C x x 4 1 x x 422.2849912
b2h6 H B x x 6 2 x x 622.5224939
sih3f H F Si x 3 1 1 x 373.0155203
ph3 H P x x 3 1 x x 247.8450948
c2h6 H C x x 6 2 x x 718.0893059
propane H C x x 8 3 x x 1015.338407
ch2-sing H C x x 2 1 x x 190.4183328
ch C H x x 1 1 x x 87.61894635
h2s H S x x 2 1 x x 182.5125429
hs S H x x 1 1 x x 89.30253238
c2h5f H C F x 5 2 1 x 720.5120959
ch3nh2 H C N x 5 1 1 x 589.651593
ch3f H F C x 3 1 1 x 419.2121643
propene H C x x 6 3 x x 866.7238293
nh3 H N x x 3 1 x x 300.5164256
ethanol H C O x 6 2 1 x 811.5466445
ch3nh H C N x 4 1 1 x 489.3117731
c2h4 H C x x 4 2 x x 566.2513384
methanol H C O x 4 1 1 x 511.239412
hcl Cl H x x 1 1 x x 102.4001488
nh2 H N x x 2 1 x x 192.3935565
nh N H x x 1 1 x x 91.10528277
ch2nh2 H C N x 4 1 1 x 492.4316264
bhf2 F B H x 2 1 1 x 394.5577674
h2o H O x x 2 1 x x 223.6241317
hf F H x x 1 1 x x 128.2561078
ch2ch H C x x 3 2 x x 451.0905572
oh O H x x 1 1 x x 108.7296316
propyne H C x x 4 3 x x 703.6097736
acetaldehyde H C O x 4 2 1 x 678.2601571
allene H C x x 4 3 x x 707.405179
sif4 F Si x x 4 1 x x 526.4314078
bf3 F B x x 3 1 x x 442.06257
c2h3f H C F x 3 2 1 x 570.3917945
oxirane H C O x 4 2 1 x 654.886279
ch2f2 H F C x 2 2 1 x 426.2638927
alf3 F Al x x 3 1 x x 392.0886973
bef2 F Be x x 2 1 x x 289.5907647
ch2c C H x x 2 2 x x 360.8859706
n2h4 H N x x 4 2 x x 449.2533229
ch2nh H C N x 3 1 1 x 445.0450171
alf Al F x x 1 1 x x 148.7681625
acetic H C O x 4 2 2 x 798.2925101
c2h2 C H x x 2 2 x x 399.7159066
h2co H O C x 2 1 1 x 371.9035278
h2cn H C N x 2 1 1 x 354.5943219
bf F B x x 1 1 x x 172.0169013
becl2 Cl Be x x 2 1 x x 222.3921452
t-hcoh H C O x 2 1 1 x 318.7563767
alcl3 Cl Al x x 3 1 x x 297.3607444
c-hcoh H C O x 2 1 1 x 314.0053414
alcl Al Cl x x 1 1 x x 114.7958495
ketene C H O x 2 2 1 x 531.1809551
sif F Si x x 1 1 x x 132.0911379
formic H O C x 2 2 1 x 493.7553441
hcnh H C N x 2 1 1 x 343.7115094
glyoxal C H O x 2 2 2 x 630.9668103
hcof C O H F 1 1 1 1 393.4460846
nh2cl H N Cl x 2 1 1 x 251.5382195
cf4 F C x x 4 1 x x 448.999374
