xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.136754
pentane H C x x 12 5 x x 1597.069303
hexane H C x x 14 6 x x 1892.017515
heptane H C x x 16 7 x x 2186.968377
octane H C x x 18 8 x x 2481.923705
isobutane H C x x 10 4 x x 1303.180572
isopentane H C x x 12 5 x x 1597.432333
isohexane H C x x 14 6 x x 1892.348424
isoheptane H C x x 16 7 x x 2187.326105
isooctane H C x x 18 8 x x 2481.507631
neopentane H C x x 12 5 x x 1599.542778
neohexane H C x x 14 6 x x 1893.014728
neoheptane H C x x 16 7 x x 2187.901048
3methylpentane H C x x 14 6 x x 1891.531872
diisopropyl H C x x 14 6 x x 1891.810165
hexamethylethane H C x x 18 8 x x 2479.722783
h2 H x x x 2 x x x 106.0271649
alh3 H Al x x 3 1 x x 213.0525795
alh Al H x x 1 1 x x 71.21371587
sih4 H Si x x 4 1 x x 325.1083286
bh3 H B x x 3 1 x x 284.6653837
bh B H x x 1 1 x x 83.86899142
ch2-trip H C x x 2 1 x x 192.7902543
sih H Si x x 1 1 x x 74.02142568
si2h6 H Si x x 6 2 x x 538.6388248
ch3 H C x x 3 1 x x 309.9865195
ch4 H C x x 4 1 x x 418.89389
b2h6 H B x x 6 2 x x 616.180545
sih3f H F Si x 3 1 1 x 370.9322103
ph3 H P x x 3 1 x x 245.3031431
c2h6 H C x x 6 2 x x 712.1943951
propane H C x x 8 3 x x 1007.176062
ch2-sing H C x x 2 1 x x 188.2946432
ch C H x x 1 1 x x 86.52490899
h2s H S x x 2 1 x x 181.1394149
hs S H x x 1 1 x x 88.47690285
c2h5f H C F x 5 2 1 x 715.2460217
ch3nh2 H C N x 5 1 1 x 584.0064428
ch3f H F C x 3 1 1 x 416.4163074
propene H C x x 6 3 x x 859.6088654
nh3 H N x x 3 1 x x 297.5958863
ethanol H C O x 6 2 1 x 805.078894
ch3nh H C N x 4 1 1 x 483.992507
c2h4 H C x x 4 2 x x 561.6245454
methanol H C O x 4 1 1 x 507.2019639
hcl Cl H x x 1 1 x x 102.1524163
nh2 H N x x 2 1 x x 189.8680672
nh N H x x 1 1 x x 89.79239227
ch2nh2 H C N x 4 1 1 x 487.4124904
bhf2 F B H x 2 1 1 x 392.9679936
h2o H O x x 2 1 x x 222.5041229
hf F H x x 1 1 x x 128.6144994
ch2ch H C x x 3 2 x x 447.2647339
oh O H x x 1 1 x x 107.6156952
propyne H C x x 4 3 x x 698.2368574
acetaldehyde H C O x 4 2 1 x 673.2235347
allene H C x x 4 3 x x 701.8325171
sif4 F Si x x 4 1 x x 525.6223134
bf3 F B x x 3 1 x x 440.9004038
c2h3f H C F x 3 2 1 x 566.4797267
oxirane H C O x 4 2 1 x 649.7197861
ch2f2 H F C x 2 2 1 x 424.1059082
alf3 F Al x x 3 1 x x 391.8596328
bef2 F Be x x 2 1 x x 288.9414717
ch2c C H x x 2 2 x x 357.8705852
n2h4 H N x x 4 2 x x 443.9225547
ch2nh H C N x 3 1 1 x 440.8880914
alf Al F x x 1 1 x x 148.7101182
acetic H C O x 4 2 2 x 792.7533435
c2h2 C H x x 2 2 x x 397.0276104
h2co H O C x 2 1 1 x 369.4201793
h2cn H C N x 2 1 1 x 350.8988986
bf F B x x 1 1 x x 171.7275233
becl2 Cl Be x x 2 1 x x 220.8973305
t-hcoh H C O x 2 1 1 x 316.4229856
alcl3 Cl Al x x 3 1 x x 296.0653052
c-hcoh H C O x 2 1 1 x 311.6811328
alcl Al Cl x x 1 1 x x 114.3754791
ketene C H O x 2 2 1 x 527.8837797
sif F Si x x 1 1 x x 131.9909743
formic H O C x 2 2 1 x 490.7217685
hcnh H C N x 2 1 1 x 340.4782907
glyoxal C H O x 2 2 2 x 626.700952
hcof C O H F 1 1 1 1 391.7688239
nh2cl H N Cl x 2 1 1 x 248.86927
cf4 F C x x 4 1 x x 447.9840588
hccf C H F x 2 1 1 x 385.6154197
hcn H C N x 1 1 1 x 309.3800723
hnc H N C x 1 1 1 x 294.9425299
cch C H x x 2 1 x x 259.9099765
hco O C H x 1 1 1 x 276.6116128
co C O x x 1 1 x x 249.7021995
oxirene C H O x 2 2 1 x 451.3704758
f2co F O C x 2 1 1 x 401.24125
hocn C N O H 1 1 1 1 402.2794466
hooh H O x x 2 2 x x 263.1985391
t-n2h2 H N x x 2 2 x x 302.7114323
hnco C O N H 1 1 1 1 431.3081008
c-n2h2 H N x x 2 2 x x 297.277049
cf2 F C x x 2 1 x x 244.6375265
co2 O C x x 2 1 x x 378.6870703
fccf F C x x 2 2 x x 368.736656
dioxirane H O C x 2 2 1 x 410.912912
cf C F x x 1 1 x x 128.3306945
ssh S H x x 2 1 x x 165.4735972
hocl O H Cl x 1 1 1 x 160.2927626
nccn N C x x 2 2 x x 500.3383077
n2 N x x x 2 x x x 229.4595457
n2h N H x x 2 1 x x 234.8293406
