xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 106.081687
alh3 H Al x x 3 1 x x 212.6477947
alh Al H x x 1 1 x x 71.30281787
sih4 H Si x x 4 1 x x 324.9046991
bh3 H B x x 3 1 x x 284.1510081
bh B H x x 1 1 x x 83.64038503
ch2-trip H C x x 2 1 x x 192.2920205
sih H Si x x 1 1 x x 74.11228561
si2h6 H Si x x 6 2 x x 538.371509
ch3 H C x x 3 1 x x 309.658095
ch4 H C x x 4 1 x x 418.9054315
b2h6 H B x x 6 2 x x 616.4071655
sih3f H F Si x 3 1 1 x 372.4850063
ph3 H P x x 3 1 x x 245.5594512
c2h6 H C x x 6 2 x x 712.9291602
propane H C x x 8 3 x x 1008.74716
ch2-sing H C x x 2 1 x x 187.9647246
ch C H x x 1 1 x x 86.44552318
h2s H S x x 2 1 x x 181.0602193
hs S H x x 1 1 x x 88.4383731
c2h5f H C F x 5 2 1 x 717.9274031
ch3nh2 H C N x 5 1 1 x 585.6879493
ch3f H F C x 3 1 1 x 418.2287747
propene H C x x 6 3 x x 861.661342
nh3 H N x x 3 1 x x 298.3031459
ethanol H C O x 6 2 1 x 807.9255118
ch3nh H C N x 4 1 1 x 485.5702893
c2h4 H C x x 4 2 x x 562.8739141
methanol H C O x 4 1 1 x 509.1677709
hcl Cl H x x 1 1 x x 101.9362154
nh2 H N x x 2 1 x x 190.3466398
nh N H x x 1 1 x x 90.04161084
ch2nh2 H C N x 4 1 1 x 489.0205643
bhf2 F B H x 2 1 1 x 396.1492468
h2o H O x x 2 1 x x 223.3383958
hf F H x x 1 1 x x 129.1800676
ch2ch H C x x 3 2 x x 448.2814004
oh O H x x 1 1 x x 108.0835178
propyne H C x x 4 3 x x 700.6377035
acetaldehyde H C O x 4 2 1 x 676.4205307
allene H C x x 4 3 x x 704.2711626
sif4 F Si x x 4 1 x x 532.085359
bf3 F B x x 3 1 x x 445.8372757
c2h3f H C F x 3 2 1 x 569.5785638
oxirane H C O x 4 2 1 x 653.4917946
ch2f2 H F C x 2 2 1 x 427.9052017
alf3 F Al x x 3 1 x x 394.6504311
bef2 F Be x x 2 1 x x 290.4568459
ch2c C H x x 2 2 x x 359.3876157
n2h4 H N x x 4 2 x x 446.5403516
ch2nh H C N x 3 1 1 x 443.1740011
alf Al F x x 1 1 x x 150.3609186
acetic H C O x 4 2 2 x 798.1060848
c2h2 C H x x 2 2 x x 398.7630284
h2co H O C x 2 1 1 x 371.8569309
h2cn H C N x 2 1 1 x 353.0225996
bf F B x x 1 1 x x 173.3321659
becl2 Cl Be x x 2 1 x x 220.5568714
t-hcoh H C O x 2 1 1 x 318.8967245
alcl3 Cl Al x x 3 1 x x 296.20945
c-hcoh H C O x 2 1 1 x 314.1394301
alcl Al Cl x x 1 1 x x 114.8048582
ketene C H O x 2 2 1 x 531.389632
sif F Si x x 1 1 x x 133.9597102
formic H O C x 2 2 1 x 495.2457197
hcnh H C N x 2 1 1 x 342.7449514
glyoxal C H O x 2 2 2 x 632.3297649
hcof C O H F 1 1 1 1 396.0555591
nh2cl H N Cl x 2 1 1 x 250.6692767
cf4 F C x x 4 1 x x 456.1185675
hccf C H F x 2 1 1 x 389.1115018
hcn H C N x 1 1 1 x 312.1322729
hnc H N C x 1 1 1 x 297.4395722
cch C H x x 2 1 x x 261.3222832
hco O C H x 1 1 1 x 279.1599483
co C O x x 1 1 x x 252.5540851
oxirene C H O x 2 2 1 x 455.4157054
f2co F O C x 2 1 1 x 407.4895035
hocn C N O H 1 1 1 1 406.804398
hooh H O x x 2 2 x x 266.525013
t-n2h2 H N x x 2 2 x x 306.1767021
hnco C O N H 1 1 1 1 435.6983753
c-n2h2 H N x x 2 2 x x 300.7422013
cf2 F C x x 2 1 x x 248.870981
co2 O C x x 2 1 x x 383.4033523
fccf F C x x 2 2 x x 374.0028816
dioxirane H O C x 2 2 1 x 416.0933879
cf C F x x 1 1 x x 130.2522079
ssh S H x x 2 1 x x 166.3599355
hocl O H Cl x 1 1 1 x 162.4526397
nccn N C x x 2 2 x x 506.462254
n2 N x x x 2 x x x 233.2835705
n2h N H x x 2 1 x x 238.1279426
ocs O C S x 1 1 1 x 331.8739888
sio Si O x x 1 1 x x 181.4410928
clcn Cl C N x 1 1 1 x 283.6128845
hoo O H x x 2 1 x x 180.8249573
hcno C H N O 1 1 1 1 367.6455489
honc H O N C 1 1 1 1 350.9546284
hno N H O x 1 1 1 x 210.3667936
hof H O F x 1 1 1 x 157.7540531
c-hono O N H x 2 1 1 x 317.4060526
t-hono O N H x 2 1 1 x 318.227598
cs2 S C x x 2 1 x x 277.6912233
hnnn N H x x 3 1 x x 348.9092465
cs C S x x 1 1 x x 165.8010653
