xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.059156
pentane H C x x 12 5 x x 1598.195726
hexane H C x x 14 6 x x 1893.343419
heptane H C x x 16 7 x x 2188.492704
octane H C x x 18 8 x x 2483.638936
isobutane H C x x 10 4 x x 1304.069174
isopentane H C x x 12 5 x x 1598.414387
isohexane H C x x 14 6 x x 1893.503253
isoheptane H C x x 16 7 x x 2188.662192
isooctane H C x x 18 8 x x 2482.439439
neopentane H C x x 12 5 x x 1600.571285
neohexane H C x x 14 6 x x 1893.992001
neoheptane H C x x 16 7 x x 2189.012303
3methylpentane H C x x 14 6 x x 1892.593895
diisopropyl H C x x 14 6 x x 1892.870295
hexamethylethane H C x x 18 8 x x 2480.6358
h2 H x x x 2 x x x 106.0816851
alh3 H Al x x 3 1 x x 212.5289246
alh Al H x x 1 1 x x 71.3025623
sih4 H Si x x 4 1 x x 324.7764547
bh3 H B x x 3 1 x x 284.1311217
bh B H x x 1 1 x x 83.64031198
ch2-trip H C x x 2 1 x x 192.2871735
sih H Si x x 1 1 x x 74.11218056
si2h6 H Si x x 6 2 x x 537.9626075
ch3 H C x x 3 1 x x 309.6490304
ch4 H C x x 4 1 x x 418.8932169
b2h6 H B x x 6 2 x x 616.1578812
sih3f H F Si x 3 1 1 x 372.2144889
ph3 H P x x 3 1 x x 245.5395149
c2h6 H C x x 6 2 x x 712.6042687
propane H C x x 8 3 x x 1007.899721
ch2-sing H C x x 2 1 x x 187.9630901
ch C H x x 1 1 x x 86.4454857
h2s H S x x 2 1 x x 181.0561018
hs S H x x 1 1 x x 88.43826423
c2h5f H C F x 5 2 1 x 717.4650771
ch3nh2 H C N x 5 1 1 x 585.4850733
ch3f H F C x 3 1 1 x 418.1713089
propene H C x x 6 3 x x 861.1343381
nh3 H N x x 3 1 x x 298.3002091
ethanol H C O x 6 2 1 x 807.3679644
ch3nh H C N x 4 1 1 x 485.4663133
c2h4 H C x x 4 2 x x 562.7248838
methanol H C O x 4 1 1 x 509.046361
hcl Cl H x x 1 1 x x 101.9360832
nh2 H N x x 2 1 x x 190.3457177
nh N H x x 1 1 x x 90.04158746
ch2nh2 H C N x 4 1 1 x 488.8757682
bhf2 F B H x 2 1 1 x 396.075373
h2o H O x x 2 1 x x 223.3377887
hf F H x x 1 1 x x 129.180037
ch2ch H C x x 3 2 x x 448.1895805
oh O H x x 1 1 x x 108.0834848
propyne H C x x 4 3 x x 700.3501862
acetaldehyde H C O x 4 2 1 x 676.0642869
allene H C x x 4 3 x x 703.9569947
sif4 F Si x x 4 1 x x 531.8666574
bf3 F B x x 3 1 x x 445.7901559
c2h3f H C F x 3 2 1 x 569.3481821
oxirane H C O x 4 2 1 x 653.2733416
ch2f2 H F C x 2 2 1 x 427.8282725
alf3 F Al x x 3 1 x x 394.46184
bef2 F Be x x 2 1 x x 290.3997001
ch2c C H x x 2 2 x x 359.3741579
n2h4 H N x x 4 2 x x 446.4190709
ch2nh H C N x 3 1 1 x 443.1038839
alf Al F x x 1 1 x x 150.3606317
acetic H C O x 4 2 2 x 797.5348351
c2h2 C H x x 2 2 x x 398.7172458
h2co H O C x 2 1 1 x 371.8309561
h2cn H C N x 2 1 1 x 353.0088596
bf F B x x 1 1 x x 173.3321015
becl2 Cl Be x x 2 1 x x 220.456387
t-hcoh H C O x 2 1 1 x 318.8499884
alcl3 Cl Al x x 3 1 x x 295.9137971
c-hcoh H C O x 2 1 1 x 314.1230355
alcl Al Cl x x 1 1 x x 114.8036052
ketene C H O x 2 2 1 x 531.2186586
sif F Si x x 1 1 x x 133.9594829
formic H O C x 2 2 1 x 495.1412617
hcnh H C N x 2 1 1 x 342.6953327
glyoxal C H O x 2 2 2 x 632.0203463
hcof C O H F 1 1 1 1 396.015417
nh2cl H N Cl x 2 1 1 x 250.6454135
cf4 F C x x 4 1 x x 456.056131
hccf C H F x 2 1 1 x 389.0523687
hcn H C N x 1 1 1 x 312.1219278
hnc H N C x 1 1 1 x 297.4321928
cch C H x x 2 1 x x 261.3114885
hco O C H x 1 1 1 x 279.1477605
co C O x x 1 1 x x 252.5540446
oxirene C H O x 2 2 1 x 455.3005389
f2co F O C x 2 1 1 x 407.4553033
hocn C N O H 1 1 1 1 406.7182025
hooh H O x x 2 2 x x 266.4940532
t-n2h2 H N x x 2 2 x x 306.1353991
hnco C O N H 1 1 1 1 435.6025158
c-n2h2 H N x x 2 2 x x 300.7311701
cf2 F C x x 2 1 x x 248.8635307
co2 O C x x 2 1 x x 383.3914583
fccf F C x x 2 2 x x 373.9277726
dioxirane H O C x 2 2 1 x 416.0336248
cf C F x x 1 1 x x 130.252085
ssh S H x x 2 1 x x 166.3380641
hocl O H Cl x 1 1 1 x 162.4442918
nccn N C x x 2 2 x x 506.3426485
n2 N x x x 2 x x x 233.2835465
n2h N H x x 2 1 x x 238.1249596
ocs O C S x 1 1 1 x 331.8578068
sio Si O x x 1 1 x x 181.4409366
clcn Cl C N x 1 1 1 x 283.5788648
hoo O H x x 2 1 x x 180.8195768
hcno C H N O 1 1 1 1 367.5746291
honc H O N C 1 1 1 1 350.8682827
hno N H O x 1 1 1 x 210.3613478
hof H O F x 1 1 1 x 157.7457176
c-hono O N H x 2 1 1 x 317.3817938
t-hono O N H x 2 1 1 x 318.1348567
cs2 S C x x 2 1 x x 277.6687387
hnnn N H x x 3 1 x x 348.8355759
cs C S x x 1 1 x x 165.8008711
cn C N x x 1 1 x x 182.0455794
so3 O S x x 3 1 x x 335.3965508
ccl2 Cl C x x 2 1 x x 174.4063046
bn3pi B N x x 1 1 x x 118.6086764
so2 O S x x 2 1 x x 251.7768821
no N O x x 1 1 x x 158.7806051
so S O x x 1 1 x x 127.06773
n2o N O x x 2 1 x x 281.0718062
c-hooo O H x x 3 1 x x 243.2038498
s2 S x x x 2 x x x 104.3630731
p4 P x x x 4 x x x 296.4941879
cl2 Cl x x x 2 x x x 55.81228761
o2 O x x x 2 x x x 126.2980143
f2 F x x x 2 x x x 39.37244778
t-hooo O H x x 3 1 x x 243.3852129
s2o S O x x 2 1 x x 202.9936399
p2 P x x x 2 x x x 113.7864245
clf Cl F x x 1 1 x x 59.57941012
no2 O N x x 2 1 x x 239.5820203
clo Cl O x x 1 1 x x 69.61792225
s3 S x x x 3 x x x 163.3385596
cl2o Cl O x x 2 1 x x 102.3616195
