xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.146987
pentane H C x x 12 5 x x 1597.315285
hexane H C x x 14 6 x x 1892.496474
heptane H C x x 16 7 x x 2187.687118
octane H C x x 18 8 x x 2482.87277
isobutane H C x x 10 4 x x 1303.310935
isopentane H C x x 12 5 x x 1597.811906
isohexane H C x x 14 6 x x 1892.966784
isoheptane H C x x 16 7 x x 2188.182205
isooctane H C x x 18 8 x x 2482.978725
neopentane H C x x 12 5 x x 1600.176611
neohexane H C x x 14 6 x x 1893.915789
neoheptane H C x x 16 7 x x 2189.042859
3methylpentane H C x x 14 6 x x 1892.168504
diisopropyl H C x x 14 6 x x 1892.64351
hexamethylethane H C x x 18 8 x x 2481.697432
h2 H x x x 2 x x x 105.9322975
alh3 H Al x x 3 1 x x 212.6476575
alh Al H x x 1 1 x x 71.09393928
sih4 H Si x x 4 1 x x 324.816184
bh3 H B x x 3 1 x x 284.0161226
bh B H x x 1 1 x x 83.38571557
ch2-trip H C x x 2 1 x x 192.2175619
sih H Si x x 1 1 x x 73.81308362
si2h6 H Si x x 6 2 x x 538.1717037
ch3 H C x x 3 1 x x 309.1651602
ch4 H C x x 4 1 x x 418.2646135
b2h6 H B x x 6 2 x x 615.6855549
sih3f H F Si x 3 1 1 x 371.7743479
ph3 H P x x 3 1 x x 244.549592
c2h6 H C x x 6 2 x x 711.7326467
propane H C x x 8 3 x x 1006.980987
ch2-sing H C x x 2 1 x x 187.0962142
ch C H x x 1 1 x x 85.77467279
h2s H S x x 2 1 x x 180.4571104
hs S H x x 1 1 x x 88.00068654
c2h5f H C F x 5 2 1 x 715.4066026
ch3nh2 H C N x 5 1 1 x 582.8777878
ch3f H F C x 3 1 1 x 416.2888652
propene H C x x 6 3 x x 859.1805619
nh3 H N x x 3 1 x x 296.2173342
ethanol H C O x 6 2 1 x 804.8057316
ch3nh H C N x 4 1 1 x 482.5765138
c2h4 H C x x 4 2 x x 560.9627448
methanol H C O x 4 1 1 x 506.6134838
hcl Cl H x x 1 1 x x 101.8148624
nh2 H N x x 2 1 x x 188.2711596
nh N H x x 1 1 x x 88.76724208
ch2nh2 H C N x 4 1 1 x 486.0976803
bhf2 F B H x 2 1 1 x 394.3660698
h2o H O x x 2 1 x x 221.7606586
hf F H x x 1 1 x x 128.4803517
ch2ch H C x x 3 2 x x 446.2705666
oh O H x x 1 1 x x 106.7720901
propyne H C x x 4 3 x x 697.8192631
acetaldehyde H C O x 4 2 1 x 672.3404886
allene H C x x 4 3 x x 700.9340027
sif4 F Si x x 4 1 x x 529.9645205
bf3 F B x x 3 1 x x 443.6646303
c2h3f H C F x 3 2 1 x 566.2730691
oxirane H C O x 4 2 1 x 649.3955059
ch2f2 H F C x 2 2 1 x 424.8639979
alf3 F Al x x 3 1 x x 392.5543013
bef2 F Be x x 2 1 x x 288.6330543
ch2c C H x x 2 2 x x 356.9377609
n2h4 H N x x 4 2 x x 441.903401
ch2nh H C N x 3 1 1 x 439.3947744
alf Al F x x 1 1 x x 149.2018115
acetic H C O x 4 2 2 x 792.4052634
c2h2 C H x x 2 2 x x 396.4420317
h2co H O C x 2 1 1 x 368.3212111
h2cn H C N x 2 1 1 x 349.207465
bf F B x x 1 1 x x 171.949685
