xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.7217
pentane H C x x 12 5 x x 1595.293974
hexane H C x x 14 6 x x 1889.873265
heptane H C x x 16 7 x x 2184.459455
octane H C x x 18 8 x x 2479.039151
isobutane H C x x 10 4 x x 1301.717555
isopentane H C x x 12 5 x x 1595.494631
isohexane H C x x 14 6 x x 1890.012918
isoheptane H C x x 16 7 x x 2184.605831
isooctane H C x x 18 8 x x 2477.734186
neopentane H C x x 12 5 x x 1597.631939
neohexane H C x x 14 6 x x 1890.485864
neoheptane H C x x 16 7 x x 2184.93194
3methylpentane H C x x 14 6 x x 1889.101863
diisopropyl H C x x 14 6 x x 1889.362212
hexamethylethane H C x x 18 8 x x 2475.928873
h2 H x x x 2 x x x 105.9322955
alh3 H Al x x 3 1 x x 212.5287874
alh Al H x x 1 1 x x 71.09368372
sih4 H Si x x 4 1 x x 324.6879395
bh3 H B x x 3 1 x x 283.9962363
bh B H x x 1 1 x x 83.38564252
ch2-trip H C x x 2 1 x x 192.2127149
sih H Si x x 1 1 x x 73.81297857
si2h6 H Si x x 6 2 x x 537.7628021
ch3 H C x x 3 1 x x 309.1560956
ch4 H C x x 4 1 x x 418.2523989
b2h6 H B x x 6 2 x x 615.4362706
sih3f H F Si x 3 1 1 x 371.5038305
ph3 H P x x 3 1 x x 244.5296557
c2h6 H C x x 6 2 x x 711.4077553
propane H C x x 8 3 x x 1006.133548
ch2-sing H C x x 2 1 x x 187.0945797
ch C H x x 1 1 x x 85.77463531
h2s H S x x 2 1 x x 180.4529929
hs S H x x 1 1 x x 88.00057768
c2h5f H C F x 5 2 1 x 714.9442766
ch3nh2 H C N x 5 1 1 x 582.6749118
ch3f H F C x 3 1 1 x 416.2313994
propene H C x x 6 3 x x 858.6535579
nh3 H N x x 3 1 x x 296.2143974
ethanol H C O x 6 2 1 x 804.2481841
ch3nh H C N x 4 1 1 x 482.4725377
c2h4 H C x x 4 2 x x 560.8137145
methanol H C O x 4 1 1 x 506.492074
hcl Cl H x x 1 1 x x 101.8147302
nh2 H N x x 2 1 x x 188.2702376
nh N H x x 1 1 x x 88.76721871
ch2nh2 H C N x 4 1 1 x 485.9528842
bhf2 F B H x 2 1 1 x 394.292196
h2o H O x x 2 1 x x 221.7600516
hf F H x x 1 1 x x 128.480321
ch2ch H C x x 3 2 x x 446.1787468
oh O H x x 1 1 x x 106.7720571
propyne H C x x 4 3 x x 697.5317458
acetaldehyde H C O x 4 2 1 x 671.9842448
allene H C x x 4 3 x x 700.6198348
sif4 F Si x x 4 1 x x 529.7458188
bf3 F B x x 3 1 x x 443.6175105
c2h3f H C F x 3 2 1 x 566.0426874
oxirane H C O x 4 2 1 x 649.1770528
ch2f2 H F C x 2 2 1 x 424.7870687
alf3 F Al x x 3 1 x x 392.3657102
bef2 F Be x x 2 1 x x 288.5759085
ch2c C H x x 2 2 x x 356.9243031
n2h4 H N x x 4 2 x x 441.7821202
ch2nh H C N x 3 1 1 x 439.3246572
alf Al F x x 1 1 x x 149.2015246
acetic H C O x 4 2 2 x 791.8340137
c2h2 C H x x 2 2 x x 396.3962491
h2co H O C x 2 1 1 x 368.2952362
h2cn H C N x 2 1 1 x 349.193725
bf F B x x 1 1 x x 171.9496206
becl2 Cl Be x x 2 1 x x 220.4550783
t-hcoh H C O x 2 1 1 x 315.5204005
alcl3 Cl Al x x 3 1 x x 296.4691111
c-hcoh H C O x 2 1 1 x 310.6887402
alcl Al Cl x x 1 1 x x 114.6507131
ketene C H O x 2 2 1 x 526.4800434
sif F Si x x 1 1 x x 132.5301999
formic H O C x 2 2 1 x 489.8345396
hcnh H C N x 2 1 1 x 338.5792618
glyoxal C H O x 2 2 2 x 624.8342948
hcof C O H F 1 1 1 1 391.2451659
nh2cl H N Cl x 2 1 1 x 247.4901525
cf4 F C x x 4 1 x x 451.5733007
hccf C H F x 2 1 1 x 385.4195254
hcn H C N x 1 1 1 x 307.9178815
hnc H N C x 1 1 1 x 293.673595
cch C H x x 2 1 x x 258.9513983
hco O C H x 1 1 1 x 275.3313416
co C O x x 1 1 x x 249.1384831
oxirene C H O x 2 2 1 x 449.700852
f2co F O C x 2 1 1 x 401.9757465
hocn C N O H 1 1 1 1 400.6691021
hooh H O x x 2 2 x x 261.0938216
t-n2h2 H N x x 2 2 x x 300.1896438
hnco C O N H 1 1 1 1 429.2786851
c-n2h2 H N x x 2 2 x x 294.6706729
cf2 F C x x 2 1 x x 244.83448
co2 O C x x 2 1 x x 377.5224595
fccf F C x x 2 2 x x 368.9767983
dioxirane H O C x 2 2 1 x 408.4591518
cf C F x x 1 1 x x 127.8581501
ssh S H x x 2 1 x x 164.5098942
hocl O H Cl x 1 1 1 x 159.1495065
nccn N C x x 2 2 x x 497.098759
n2 N x x x 2 x x x 227.6021689
