xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1307.596203
pentane H C x x 12 5 x x 1604.926136
hexane H C x x 14 6 x x 1902.283579
heptane H C x x 16 7 x x 2199.628927
octane H C x x 18 8 x x 2496.988925
isobutane H C x x 10 4 x x 1309.405269
isopentane H C x x 12 5 x x 1606.011011
isohexane H C x x 14 6 x x 1903.270388
isoheptane H C x x 16 7 x x 2200.650797
isooctane H C x x 18 8 x x 2499.044257
neopentane H C x x 12 5 x x 1609.642018
neohexane H C x x 14 6 x x 1905.462651
neoheptane H C x x 16 7 x x 2202.634346
3methylpentane H C x x 14 6 x x 1902.430926
diisopropyl H C x x 14 6 x x 1903.665287
hexamethylethane H C x x 18 8 x x 2499.37468
h2 H x x x 2 x x x 105.6629131
alh3 H Al x x 3 1 x x 213.7834677
alh Al H x x 1 1 x x 70.579518
sih4 H Si x x 4 1 x x 321.847798
bh3 H B x x 3 1 x x 280.7982007
bh B H x x 1 1 x x 81.31110245
ch2-trip H C x x 2 1 x x 198.2996573
sih H Si x x 1 1 x x 71.95697031
si2h6 H Si x x 6 2 x x 536.0883572
ch3 H C x x 3 1 x x 310.3140588
ch4 H C x x 4 1 x x 417.9062235
b2h6 H B x x 6 2 x x 610.2455648
sih3f H F Si x 3 1 1 x 390.5655394
ph3 H P x x 3 1 x x 236.1261757
c2h6 H C x x 6 2 x x 712.7536991
propane H C x x 8 3 x x 1010.219607
ch2-sing H C x x 2 1 x x 182.7190914
ch C H x x 1 1 x x 81.00203871
h2s H S x x 2 1 x x 183.6569311
hs S H x x 1 1 x x 88.54958235
c2h5f H C F x 5 2 1 x 731.4353504
ch3nh2 H C N x 5 1 1 x 576.3579397
ch3f H F C x 3 1 1 x 429.094919
propene H C x x 6 3 x x 867.2128643
nh3 H N x x 3 1 x x 290.1394216
ethanol H C O x 6 2 1 x 816.8679215
ch3nh H C N x 4 1 1 x 472.916089
c2h4 H C x x 4 2 x x 566.0214691
methanol H C O x 4 1 1 x 515.6985719
hcl Cl H x x 1 1 x x 110.2981856
nh2 H N x x 2 1 x x 176.9607082
nh N H x x 1 1 x x 79.66100918
ch2nh2 H C N x 4 1 1 x 481.9179472
bhf2 F B H x 2 1 1 x 433.0297955
h2o H O x x 2 1 x x 232.7675439
hf F H x x 1 1 x x 144.4356783
ch2ch H C x x 3 2 x x 454.5466782
oh O H x x 1 1 x x 106.6291209
propyne H C x x 4 3 x x 716.5307382
acetaldehyde H C O x 4 2 1 x 688.8615569
allene H C x x 4 3 x x 717.4055705
sif4 F Si x x 4 1 x x 618.1882379
bf3 F B x x 3 1 x x 505.3072106
c2h3f H C F x 3 2 1 x 588.0861295
oxirane H C O x 4 2 1 x 663.7977362
ch2f2 H F C x 2 2 1 x 455.4826695
alf3 F Al x x 3 1 x x 459.2482017
bef2 F Be x x 2 1 x x 325.9073603
ch2c C H x x 2 2 x x 364.2096953
n2h4 H N x x 4 2 x x 425.7580358
ch2nh H C N x 3 1 1 x 436.1398062
alf Al F x x 1 1 x x 170.0494227
acetic H C O x 4 2 2 x 826.2532228
c2h2 C H x x 2 2 x x 412.0192002
h2co H O C x 2 1 1 x 380.2199302
h2cn H C N x 2 1 1 x 344.9624433
bf F B x x 1 1 x x 191.8325505
becl2 Cl Be x x 2 1 x x 246.3981452
t-hcoh H C O x 2 1 1 x 326.1883273
alcl3 Cl Al x x 3 1 x x 344.7682941
c-hcoh H C O x 2 1 1 x 321.2262891
alcl Al Cl x x 1 1 x x 129.3813408
ketene C H O x 2 2 1 x 555.2104085
sif F Si x x 1 1 x x 150.0599769
formic H O C x 2 2 1 x 519.5111469
hcnh H C N x 2 1 1 x 338.5266235
glyoxal C H O x 2 2 2 x 654.1530131
hcof C O H F 1 1 1 1 424.3687071
nh2cl H N Cl x 2 1 1 x 245.3669381
cf4 F C x x 4 1 x x 526.2374117
