xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1299.538854
pentane H C x x 12 5 x x 1594.654592
hexane H C x x 14 6 x x 1889.779769
heptane H C x x 16 7 x x 2184.913954
octane H C x x 18 8 x x 2480.040789
isobutane H C x x 10 4 x x 1301.09977
isopentane H C x x 12 5 x x 1595.455633
isohexane H C x x 14 6 x x 1890.489277
isoheptane H C x x 16 7 x x 2185.641298
isooctane H C x x 18 8 x x 2480.950899
neopentane H C x x 12 5 x x 1598.661905
neohexane H C x x 14 6 x x 1892.195954
neoheptane H C x x 16 7 x x 2187.137816
3methylpentane H C x x 14 6 x x 1889.617808
diisopropyl H C x x 14 6 x x 1890.564315
hexamethylethane H C x x 18 8 x x 2480.732525
h2 H x x x 2 x x x 105.3657793
alh3 H Al x x 3 1 x x 213.7761382
alh Al H x x 1 1 x x 70.26911835
sih4 H Si x x 4 1 x x 322.6039142
bh3 H B x x 3 1 x x 281.2416742
bh B H x x 1 1 x x 81.27809043
ch2-trip H C x x 2 1 x x 196.7152309
sih H Si x x 1 1 x x 71.77268677
si2h6 H Si x x 6 2 x x 536.3260708
ch3 H C x x 3 1 x x 308.8665403
ch4 H C x x 4 1 x x 416.2197955
b2h6 H B x x 6 2 x x 609.8122151
sih3f H F Si x 3 1 1 x 384.6934308
ph3 H P x x 3 1 x x 235.6025809
c2h6 H C x x 6 2 x x 709.161706
propane H C x x 8 3 x x 1004.405049
ch2-sing H C x x 2 1 x x 181.7874394
ch C H x x 1 1 x x 80.63529956
h2s H S x x 2 1 x x 181.1109391
hs S H x x 1 1 x x 87.27669552
c2h5f H C F x 5 2 1 x 721.1549116
ch3nh2 H C N x 5 1 1 x 570.8407675
ch3f H F C x 3 1 1 x 421.3181927
propene H C x x 6 3 x x 858.2123942
nh3 H N x x 3 1 x x 286.4799
ethanol H C O x 6 2 1 x 805.9407375
ch3nh H C N x 4 1 1 x 467.8499385
c2h4 H C x x 4 2 x x 559.4319566
methanol H C O x 4 1 1 x 507.1757895
hcl Cl H x x 1 1 x x 107.8504225
nh2 H N x x 2 1 x x 174.7351601
nh N H x x 1 1 x x 78.87802158
ch2nh2 H C N x 4 1 1 x 475.7719655
bhf2 F B H x 2 1 1 x 419.7914793
h2o H O x x 2 1 x x 226.2724983
hf F H x x 1 1 x x 138.9306435
ch2ch H C x x 3 2 x x 447.473528
oh O H x x 1 1 x x 103.4678728
propyne H C x x 4 3 x x 704.2762545
acetaldehyde H C O x 4 2 1 x 674.3352071
allene H C x x 4 3 x x 703.9750837
sif4 F Si x x 4 1 x x 592.3353114
bf3 F B x x 3 1 x x 485.6383854
c2h3f H C F x 3 2 1 x 574.2532375
oxirane H C O x 4 2 1 x 649.9606777
ch2f2 H F C x 2 2 1 x 440.8791672
alf3 F Al x x 3 1 x x 438.7743216
bef2 F Be x x 2 1 x x 312.9679289
ch2c C H x x 2 2 x x 356.095759
n2h4 H N x x 4 2 x x 418.043623
ch2nh H C N x 3 1 1 x 427.2457875
alf Al F x x 1 1 x x 162.4338029
acetic H C O x 4 2 2 x 803.6496503
c2h2 C H x x 2 2 x x 402.0733036
h2co H O C x 2 1 1 x 368.4556629
h2cn H C N x 2 1 1 x 336.5983295
bf F B x x 1 1 x x 183.8299568
becl2 Cl Be x x 2 1 x x 240.2706576
t-hcoh H C O x 2 1 1 x 315.5095574
alcl3 Cl Al x x 3 1 x x 334.6677055
c-hcoh H C O x 2 1 1 x 310.4211878
alcl Al Cl x x 1 1 x x 125.5092547
ketene C H O x 2 2 1 x 536.0459582
sif F Si x x 1 1 x x 142.6385753
formic H O C x 2 2 1 x 499.2664791
hcnh H C N x 2 1 1 x 328.2734104
glyoxal C H O x 2 2 2 x 628.8578979
hcof C O H F 1 1 1 1 404.7029916
nh2cl H N Cl x 2 1 1 x 237.8278768
cf4 F C x x 4 1 x x 497.5862544
hccf C H F x 2 1 1 x 399.5732709
hcn H C N x 1 1 1 x 302.2658693
hnc H N C x 1 1 1 x 288.51186
cch C H x x 2 1 x x 266.2070816
hco O C H x 1 1 1 x 277.0057414
co C O x x 1 1 x x 254.3461065
oxirene C H O x 2 2 1 x 448.4125738
f2co F O C x 2 1 1 x 430.3397067
hocn C N O H 1 1 1 1 400.9774754
hooh H O x x 2 2 x x 254.3216408
t-n2h2 H N x x 2 2 x x 274.579129
hnco C O N H 1 1 1 1 432.4902757
c-n2h2 H N x x 2 2 x x 268.8100344
cf2 F C x x 2 1 x x 262.0287712
co2 O C x x 2 1 x x 393.150029
fccf F C x x 2 2 x x 389.1295403
dioxirane H O C x 2 2 1 x 397.6519137
cf C F x x 1 1 x x 134.1482608
ssh S H x x 2 1 x x 166.4865023
hocl O H Cl x 1 1 1 x 158.3011414
nccn N C x x 2 2 x x 486.1858604
n2 N x x x 2 x x x 210.4763921
n2h N H x x 2 1 x x 208.7877049
ocs O C S x 1 1 1 x 341.4629472
sio Si O x x 1 1 x x 183.2591603
clcn Cl C N x 1 1 1 x 280.8665958
