xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.7516614
alh3 H Al x x 3 1 x x 206.4833197
alh Al H x x 1 1 x x 69.67145947
sih4 H Si x x 4 1 x x 320.3835662
bh3 H B x x 3 1 x x 278.8186238
bh B H x x 1 1 x x 81.64993089
ch2-trip H C x x 2 1 x x 190.5189885
sih H Si x x 1 1 x x 72.36021088
si2h6 H Si x x 6 2 x x 533.5798453
ch3 H C x x 3 1 x x 304.8067715
ch4 H C x x 4 1 x x 415.9961732
b2h6 H B x x 6 2 x x 606.5504756
sih3f H F Si x 3 1 1 x 382.253246
ph3 H P x x 3 1 x x 244.2603942
c2h6 H C x x 6 2 x x 708.156262
propane H C x x 8 3 x x 1002.248677
ch2-sing H C x x 2 1 x x 178.5884391
ch C H x x 1 1 x x 80.24600104
h2s H S x x 2 1 x x 187.4790331
hs S H x x 1 1 x x 90.04948316
c2h5f H C F x 5 2 1 x 723.5225132
ch3nh2 H C N x 5 1 1 x 572.0187876
ch3f H F C x 3 1 1 x 425.4876351
propene H C x x 6 3 x x 857.6622028
nh3 H N x x 3 1 x x 287.9826058
ethanol H C O x 6 2 1 x 806.5046791
ch3nh H C N x 4 1 1 x 466.7034803
c2h4 H C x x 4 2 x x 560.2770641
methanol H C O x 4 1 1 x 509.5013644
hcl Cl H x x 1 1 x x 109.9176634
nh2 H N x x 2 1 x x 173.5650609
nh N H x x 1 1 x x 77.74431473
ch2nh2 H C N x 4 1 1 x 475.9810151
bhf2 F B H x 2 1 1 x 419.6259433
h2o H O x x 2 1 x x 228.8552368
hf F H x x 1 1 x x 143.2043343
ch2ch H C x x 3 2 x x 444.8246599
oh O H x x 1 1 x x 103.9153886
propyne H C x x 4 3 x x 701.650698
acetaldehyde H C O x 4 2 1 x 676.0340628
allene H C x x 4 3 x x 704.6039435
sif4 F Si x x 4 1 x x 586.1431409
bf3 F B x x 3 1 x x 483.4574653
c2h3f H C F x 3 2 1 x 578.3091697
oxirane H C O x 4 2 1 x 650.3551168
ch2f2 H F C x 2 2 1 x 446.4597875
alf3 F Al x x 3 1 x x 438.3950467
bef2 F Be x x 2 1 x x 316.3486285
ch2c C H x x 2 2 x x 356.883159
n2h4 H N x x 4 2 x x 423.1503261
ch2nh H C N x 3 1 1 x 429.5700934
alf Al F x x 1 1 x x 165.6589891
acetic H C O x 4 2 2 x 803.1437899
c2h2 C H x x 2 2 x x 400.7372682
h2co H O C x 2 1 1 x 372.1555429
h2cn H C N x 2 1 1 x 336.1042172
bf F B x x 1 1 x x 186.1428416
becl2 Cl Be x x 2 1 x x 233.9779114
t-hcoh H C O x 2 1 1 x 319.1452173
alcl3 Cl Al x x 3 1 x x 321.9853514
c-hcoh H C O x 2 1 1 x 314.4783758
alcl Al Cl x x 1 1 x x 124.0959434
ketene C H O x 2 2 1 x 536.3428406
sif F Si x x 1 1 x x 147.0565523
formic H O C x 2 2 1 x 501.6698963
hcnh H C N x 2 1 1 x 330.1021271
glyoxal C H O x 2 2 2 x 634.58596
hcof C O H F 1 1 1 1 409.1559562
nh2cl H N Cl x 2 1 1 x 245.0771484
cf4 F C x x 4 1 x x 496.7803261
hccf C H F x 2 1 1 x 403.0251497
hcn H C N x 1 1 1 x 300.4814445
hnc H N C x 1 1 1 x 287.9649532
cch C H x x 2 1 x x 261.1239412
hco O C H x 1 1 1 x 279.3442485
co C O x x 1 1 x x 252.8549057
oxirene C H O x 2 2 1 x 456.0469288
f2co F O C x 2 1 1 x 432.1937391
hocn C N O H 1 1 1 1 400.9066448
hooh H O x x 2 2 x x 265.7249823
t-n2h2 H N x x 2 2 x x 279.4001653
hnco C O N H 1 1 1 1 432.3021933
c-n2h2 H N x x 2 2 x x 274.0230547
cf2 F C x x 2 1 x x 268.5647768
co2 O C x x 2 1 x x 391.334436
fccf F C x x 2 2 x x 399.6017852
dioxirane H O C x 2 2 1 x 407.8356343
cf C F x x 1 1 x x 137.8977715
ssh S H x x 2 1 x x 180.0354666
hocl O H Cl x 1 1 1 x 169.0996896
nccn N C x x 2 2 x x 485.4735496
n2 N x x x 2 x x x 205.2483245
n2h N H x x 2 1 x x 210.7815993
ocs O C S x 1 1 1 x 347.2343958
sio Si O x x 1 1 x x 189.817627
clcn Cl C N x 1 1 1 x 282.3233014
hoo O H x x 2 1 x x 176.506382
hcno C H N O 1 1 1 1 365.8832247
honc H O N C 1 1 1 1 343.4485432
hno N H O x 1 1 1 x 195.0955807
hof H O F x 1 1 1 x 161.1814836
c-hono O N H x 2 1 1 x 306.2984756
t-hono O N H x 2 1 1 x 307.0952587
cs2 S C x x 2 1 x x 301.6904543
hnnn N H x x 3 1 x x 317.4371041
cs C S x x 1 1 x x 175.5273537
cn C N x x 1 1 x x 169.1981566
so3 O S x x 3 1 x x 354.7899993
ccl2 Cl C x x 2 1 x x 191.5993167
bn3pi B N x x 1 1 x x 101.6751335
so2 O S x x 2 1 x x 266.7351968
no N O x x 1 1 x x 142.7663871
so S O x x 1 1 x x 134.5603516
