xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1299.173108
pentane H C x x 12 5 x x 1594.172938
hexane H C x x 14 6 x x 1889.175349
heptane H C x x 16 7 x x 2184.199117
octane H C x x 18 8 x x 2479.211937
isobutane H C x x 10 4 x x 1300.104132
isopentane H C x x 12 5 x x 1594.57317
isohexane H C x x 14 6 x x 1889.553412
isoheptane H C x x 16 7 x x 2184.601911
isooctane H C x x 18 8 x x 2478.724293
neopentane H C x x 12 5 x x 1596.283728
neohexane H C x x 14 6 x x 1890.121618
neoheptane H C x x 16 7 x x 2185.073731
3methylpentane H C x x 14 6 x x 1888.932727
diisopropyl H C x x 14 6 x x 1889.096639
hexamethylethane H C x x 18 8 x x 2477.137949
h2 H x x x 2 x x x 103.7412483
alh3 H Al x x 3 1 x x 209.9298797
alh Al H x x 1 1 x x 71.02474882
sih4 H Si x x 4 1 x x 321.0725515
bh3 H B x x 3 1 x x 279.7503167
bh B H x x 1 1 x x 81.79138673
ch2-trip H C x x 2 1 x x 190.6296377
sih H Si x x 1 1 x x 72.44927456
si2h6 H Si x x 6 2 x x 536.5340153
ch3 H C x x 3 1 x x 305.2910389
ch4 H C x x 4 1 x x 415.925453
b2h6 H B x x 6 2 x x 607.983354
sih3f H F Si x 3 1 1 x 380.7206
ph3 H P x x 3 1 x x 241.0938041
c2h6 H C x x 6 2 x x 709.1972914
propane H C x x 8 3 x x 1004.164096
ch2-sing H C x x 2 1 x x 179.7865699
ch C H x x 1 1 x x 80.74957674
h2s H S x x 2 1 x x 183.2998999
hs S H x x 1 1 x x 88.13508025
c2h5f H C F x 5 2 1 x 721.4001027
ch3nh2 H C N x 5 1 1 x 577.8101026
ch3f H F C x 3 1 1 x 422.4210371
propene H C x x 6 3 x x 858.9686219
nh3 H N x x 3 1 x x 292.5790642
ethanol H C O x 6 2 1 x 809.4620814
ch3nh H C N x 4 1 1 x 472.916025
c2h4 H C x x 4 2 x x 560.4129606
methanol H C O x 4 1 1 x 511.5410173
