xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1295.380968
pentane H C x x 12 5 x x 1589.04496
hexane H C x x 14 6 x x 1882.70287
heptane H C x x 16 7 x x 2176.378269
octane H C x x 18 8 x x 2470.042682
isobutane H C x x 10 4 x x 1296.050078
isopentane H C x x 12 5 x x 1588.948529
isohexane H C x x 14 6 x x 1882.529978
isoheptane H C x x 16 7 x x 2176.204701
isooctane H C x x 18 8 x x 2467.232086
neopentane H C x x 12 5 x x 1590.298525
neohexane H C x x 14 6 x x 1882.295737
neoheptane H C x x 16 7 x x 2175.780097
3methylpentane H C x x 14 6 x x 1881.70342
diisopropyl H C x x 14 6 x x 1881.495449
hexamethylethane H C x x 18 8 x x 2464.494333
h2 H x x x 2 x x x 103.7123242
alh3 H Al x x 3 1 x x 209.3869832
alh Al H x x 1 1 x x 70.77999486
sih4 H Si x x 4 1 x x 320.262261
bh3 H B x x 3 1 x x 279.4228421
bh B H x x 1 1 x x 81.66876209
ch2-trip H C x x 2 1 x x 190.4399226
sih H Si x x 1 1 x x 72.23724611
si2h6 H Si x x 6 2 x x 533.6555955
ch3 H C x x 3 1 x x 304.9804417
ch4 H C x x 4 1 x x 415.5028822
b2h6 H B x x 6 2 x x 606.5129436
sih3f H F Si x 3 1 1 x 379.8429011
ph3 H P x x 3 1 x x 240.5035255
c2h6 H C x x 6 2 x x 707.9149114
propane H C x x 8 3 x x 1001.670834
ch2-sing H C x x 2 1 x x 179.5964427
ch C H x x 1 1 x x 80.65208908
h2s H S x x 2 1 x x 182.9578091
hs S H x x 1 1 x x 87.97495816
c2h5f H C F x 5 2 1 x 720.0242905
ch3nh2 H C N x 5 1 1 x 576.8011729
ch3f H F C x 3 1 1 x 421.9432072
propene H C x x 6 3 x x 856.9241586
nh3 H N x x 3 1 x x 292.3148571
ethanol H C O x 6 2 1 x 807.7505107
ch3nh H C N x 4 1 1 x 472.0867332
c2h4 H C x x 4 2 x x 559.4672371
methanol H C O x 4 1 1 x 510.8285834
hcl Cl H x x 1 1 x x 106.5936522
nh2 H N x x 2 1 x x 178.663305
nh N H x x 1 1 x x 81.34665086
ch2nh2 H C N x 4 1 1 x 480.8528654
bhf2 F B H x 2 1 1 x 414.2510013
h2o H O x x 2 1 x x 229.8603033
hf F H x x 1 1 x x 139.6818997
ch2ch H C x x 3 2 x x 444.6079256
oh O H x x 1 1 x x 106.5642019
propyne H C x x 4 3 x x 701.4646134
acetaldehyde H C O x 4 2 1 x 675.98417
allene H C x x 4 3 x x 703.0112234
sif4 F Si x x 4 1 x x 577.9882683
bf3 F B x x 3 1 x x 476.5868231
c2h3f H C F x 3 2 1 x 574.0272684
oxirane H C O x 4 2 1 x 651.8497046
ch2f2 H F C x 2 2 1 x 439.7988475
alf3 F Al x x 3 1 x x 433.4093627
bef2 F Be x x 2 1 x x 311.9381804
ch2c C H x x 2 2 x x 355.9727109
n2h4 H N x x 4 2 x x 432.6734473
ch2nh H C N x 3 1 1 x 433.304025
alf Al F x x 1 1 x x 163.1559203
acetic H C O x 4 2 2 x 804.4608612
c2h2 C H x x 2 2 x x 399.8371063
h2co H O C x 2 1 1 x 372.093549
h2cn H C N x 2 1 1 x 340.3772918
bf F B x x 1 1 x x 182.6557565
becl2 Cl Be x x 2 1 x x 231.6645579
t-hcoh H C O x 2 1 1 x 319.7261295
alcl3 Cl Al x x 3 1 x x 319.449982
c-hcoh H C O x 2 1 1 x 314.7348651
alcl Al Cl x x 1 1 x x 123.3058352
ketene C H O x 2 2 1 x 535.3864222
sif F Si x x 1 1 x x 143.5182035
formic H O C x 2 2 1 x 502.5881286
hcnh H C N x 2 1 1 x 333.1799737
glyoxal C H O x 2 2 2 x 634.7724786
hcof C O H F 1 1 1 1 405.2670742
nh2cl H N Cl x 2 1 1 x 246.4842359
cf4 F C x x 4 1 x x 485.5253888
hccf C H F x 2 1 1 x 399.1389594
hcn H C N x 1 1 1 x 304.4364836
hnc H N C x 1 1 1 x 292.209998
cch C H x x 2 1 x x 260.965272
hco O C H x 1 1 1 x 278.6502996
co C O x x 1 1 x x 253.8178579
oxirene C H O x 2 2 1 x 455.1813288
f2co F O C x 2 1 1 x 426.1640317
hocn C N O H 1 1 1 1 406.3489066
hooh H O x x 2 2 x x 267.4282185
t-n2h2 H N x x 2 2 x x 287.641241
hnco C O N H 1 1 1 1 435.927232
c-n2h2 H N x x 2 2 x x 281.9605727
cf2 F C x x 2 1 x x 260.1493592
co2 O C x x 2 1 x x 391.7844978
fccf F C x x 2 2 x x 392.9326705
dioxirane H O C x 2 2 1 x 408.6617864
cf C F x x 1 1 x x 134.3121991
ssh S H x x 2 1 x x 171.9181754
hocl O H Cl x 1 1 1 x 167.2261575
nccn N C x x 2 2 x x 492.2753741
n2 N x x x 2 x x x 215.5929183
n2h N H x x 2 1 x x 219.0796711
ocs O C S x 1 1 1 x 340.8418043
sio Si O x x 1 1 x x 188.6978735
clcn Cl C N x 1 1 1 x 282.7664406
hoo O H x x 2 1 x x 177.7577201
hcno C H N O 1 1 1 1 365.9215243
honc H O N C 1 1 1 1 347.586242
hno N H O x 1 1 1 x 199.4838775
