xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1290.707046
pentane H C x x 12 5 x x 1582.631277
hexane H C x x 14 6 x x 1874.537655
heptane H C x x 16 7 x x 2166.473564
octane H C x x 18 8 x x 2458.389843
isobutane H C x x 10 4 x x 1291.235455
isopentane H C x x 12 5 x x 1582.231305
isohexane H C x x 14 6 x x 1874.065648
isoheptane H C x x 16 7 x x 2165.993373
isooctane H C x x 18 8 x x 2454.42699
neopentane H C x x 12 5 x x 1583.38773
neohexane H C x x 14 6 x x 1873.324282
neoheptane H C x x 16 7 x x 2165.063304
3methylpentane H C x x 14 6 x x 1873.093149
diisopropyl H C x x 14 6 x x 1872.672746
hexamethylethane H C x x 18 8 x x 2450.984928
h2 H x x x 2 x x x 105.751641
alh3 H Al x x 3 1 x x 206.1759734
alh Al H x x 1 1 x x 69.66702725
sih4 H Si x x 4 1 x x 319.5452788
bh3 H B x x 3 1 x x 278.6154432
bh B H x x 1 1 x x 81.64886025
ch2-trip H C x x 2 1 x x 190.4682321
sih H Si x x 1 1 x x 72.35864837
si2h6 H Si x x 6 2 x x 531.0852605
ch3 H C x x 3 1 x x 304.7102873
ch4 H C x x 4 1 x x 415.8654256
b2h6 H B x x 6 2 x x 604.929547
sih3f H F Si x 3 1 1 x 380.93513
ph3 H P x x 3 1 x x 244.0566339
c2h6 H C x x 6 2 x x 706.6879465
propane H C x x 8 3 x x 998.7283788
ch2-sing H C x x 2 1 x x 178.5707949
ch C H x x 1 1 x x 80.24550767
h2s H S x x 2 1 x x 187.4346938
hs S H x x 1 1 x x 90.04785321
c2h5f H C F x 5 2 1 x 721.3637352
ch3nh2 H C N x 5 1 1 x 570.9625151
ch3f H F C x 3 1 1 x 424.7554313
propene H C x x 6 3 x x 855.532429
nh3 H N x x 3 1 x x 287.9510243
ethanol H C O x 6 2 1 x 803.8908662
ch3nh H C N x 4 1 1 x 466.0462316
c2h4 H C x x 4 2 x x 559.5925684
methanol H C O x 4 1 1 x 508.5723665
hcl Cl H x x 1 1 x x 109.9156198
nh2 H N x x 2 1 x x 173.5551044
nh N H x x 1 1 x x 77.74402677
ch2nh2 H C N x 4 1 1 x 475.3052307
bhf2 F B H x 2 1 1 x 418.7976254
h2o H O x x 2 1 x x 228.8485523
hf F H x x 1 1 x x 143.2038976
ch2ch H C x x 3 2 x x 444.4212456
oh O H x x 1 1 x x 103.9149298
propyne H C x x 4 3 x x 700.6706098
acetaldehyde H C O x 4 2 1 x 674.4829131
allene H C x x 4 3 x x 703.6906669
sif4 F Si x x 4 1 x x 584.3418328
bf3 F B x x 3 1 x x 482.8764916
c2h3f H C F x 3 2 1 x 577.1937532
oxirane H C O x 4 2 1 x 648.8609269
ch2f2 H F C x 2 2 1 x 445.4550117
alf3 F Al x x 3 1 x x 437.6762316
bef2 F Be x x 2 1 x x 316.0846907
ch2c C H x x 2 2 x x 356.715239
n2h4 H N x x 4 2 x x 422.4619222
ch2nh H C N x 3 1 1 x 429.1944026
alf Al F x x 1 1 x x 165.6531808
acetic H C O x 4 2 2 x 800.731148
c2h2 C H x x 2 2 x x 400.4774028
h2co H O C x 2 1 1 x 371.8163045
h2cn H C N x 2 1 1 x 335.9416295
bf F B x x 1 1 x x 186.1418107
becl2 Cl Be x x 2 1 x x 233.1652568
t-hcoh H C O x 2 1 1 x 318.9340691
alcl3 Cl Al x x 3 1 x x 319.5194108
c-hcoh H C O x 2 1 1 x 314.2763523
alcl Al Cl x x 1 1 x x 124.0663292
ketene C H O x 2 2 1 x 535.7263827
sif F Si x x 1 1 x x 147.0524743
formic H O C x 2 2 1 x 500.8229317
hcnh H C N x 2 1 1 x 329.9357009
glyoxal C H O x 2 2 2 x 632.9092721
hcof C O H F 1 1 1 1 408.6201185
nh2cl H N Cl x 2 1 1 x 244.7200269
cf4 F C x x 4 1 x x 495.9639982
hccf C H F x 2 1 1 x 402.5866011
hcn H C N x 1 1 1 x 300.3598597
hnc H N C x 1 1 1 x 287.8695328
cch C H x x 2 1 x x 260.9874032
hco O C H x 1 1 1 x 279.1818393
co C O x x 1 1 x x 252.8542818
oxirene C H O x 2 2 1 x 455.1405016
f2co F O C x 2 1 1 x 431.7340683
hocn C N O H 1 1 1 1 400.4141193
hooh H O x x 2 2 x x 265.4287102
t-n2h2 H N x x 2 2 x x 279.2401797
hnco C O N H 1 1 1 1 431.9058413
c-n2h2 H N x x 2 2 x x 273.8981784
cf2 F C x x 2 1 x x 268.4647011
co2 O C x x 2 1 x x 391.1771097
fccf F C x x 2 2 x x 398.9884269
dioxirane H O C x 2 2 1 x 407.0695316
cf C F x x 1 1 x x 137.8958921
ssh S H x x 2 1 x x 179.7403404
hocl O H Cl x 1 1 1 x 168.9715941
nccn N C x x 2 2 x x 484.91854
n2 N x x x 2 x x x 205.2479999
n2h N H x x 2 1 x x 210.7449289
ocs O C S x 1 1 1 x 346.9887922
sio Si O x x 1 1 x x 189.8147131
clcn Cl C N x 1 1 1 x 281.832277
hoo O H x x 2 1 x x 176.4320829
hcno C H N O 1 1 1 1 365.5074635
honc H O N C 1 1 1 1 342.8603603
hno N H O x 1 1 1 x 195.0204029
hof H O F x 1 1 1 x 161.0650007
c-hono O N H x 2 1 1 x 305.982076
t-hono O N H x 2 1 1 x 306.7949409
cs2 S C x x 2 1 x x 301.2873951
hnnn N H x x 3 1 x x 317.0688025
cs C S x x 1 1 x x 175.5239021
cn C N x x 1 1 x x 169.1976446
so3 O S x x 3 1 x x 354.0987648
ccl2 Cl C x x 2 1 x x 191.2937206
bn3pi B N x x 1 1 x x 101.6737358
so2 O S x x 2 1 x x 266.4951957
no N O x x 1 1 x x 142.7655814
so S O x x 1 1 x x 134.5583281
n2o N O x x 2 1 x x 261.2152982
c-hooo O H x x 3 1 x x 237.5811374
s2 S x x x 2 x x x 120.2871385
p4 P x x x 4 x x x 319.5700366
cl2 Cl x x x 2 x x x 69.79150525
o2 O x x x 2 x x x 124.0284463
f2 F x x x 2 x x x 45.70840901
t-hooo O H x x 3 1 x x 238.4155815
s2o S O x x 2 1 x x 225.8731615
p2 P x x x 2 x x x 125.9238744
clf Cl F x x 1 1 x x 71.86755065
no2 O N x x 2 1 x x 229.0668247
clo Cl O x x 1 1 x x 72.99458507
s3 S x x x 3 x x x 194.693378
cl2o Cl O x x 2 1 x x 111.4669278
s4-c2v S x x x 4 x x x 271.1875138
of O F x x 1 1 x x 59.0274864
c2 C x x x 2 x x x 135.8431646
oclo O Cl x x 2 1 x x 141.3586975
f2o F O x x 2 1 x x 104.9287522
b2 B x x x 2 x x x 71.50881589
fo2 O F x x 2 1 x x 146.7845893
cloo O Cl x x 2 1 x x 138.0225504
foof F O x x 2 2 x x 172.7852268
o3 O x x x 3 x x x 147.9070609
bn B N x x 1 1 x x 94.3549484
be2 Be x x x 2 x x x 7.285963043
C4H4 C H x x 4 4 x x 796.698974
C6H6 C H x x 6 6 x x 1259.788314
C8H8 C H x x 8 8 x x 1712.1272
C10H10 C H x x 10 10 x x 2196.649449
C12H12 C H x x 12 12 x x 2707.11042
C20H20 C H x x 20 20 x x 4593.237428
