xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1309.389055
pentane H C x x 12 5 x x 1605.530612
hexane H C x x 14 6 x x 1901.699633
heptane H C x x 16 7 x x 2197.860939
octane H C x x 18 8 x x 2494.020725
isobutane H C x x 10 4 x x 1310.336304
isopentane H C x x 12 5 x x 1605.840999
isohexane H C x x 14 6 x x 1901.99133
isoheptane H C x x 16 7 x x 2198.190352
isooctane H C x x 18 8 x x 2493.434281
neopentane H C x x 12 5 x x 1607.67145
neohexane H C x x 14 6 x x 1902.4107
neoheptane H C x x 16 7 x x 2198.552002
3methylpentane H C x x 14 6 x x 1901.208409
diisopropyl H C x x 14 6 x x 1901.348925
hexamethylethane H C x x 18 8 x x 2491.330424
h2 H x x x 2 x x x 111.6799368
alh3 H Al x x 3 1 x x 209.9763356
alh Al H x x 1 1 x x 71.64149378
sih4 H Si x x 4 1 x x 321.3638264
bh3 H B x x 3 1 x x 281.9751371
bh B H x x 1 1 x x 82.89226361
ch2-trip H C x x 2 1 x x 193.7264363
sih H Si x x 1 1 x x 73.87512571
si2h6 H Si x x 6 2 x x 528.8283331
ch3 H C x x 3 1 x x 310.553867
ch4 H C x x 4 1 x x 422.601895
b2h6 H B x x 6 2 x x 610.074439
sih3f H F Si x 3 1 1 x 375.3797826
ph3 H P x x 3 1 x x 243.9010122
c2h6 H C x x 6 2 x x 717.0359728
propane H C x x 8 3 x x 1013.216609
ch2-sing H C x x 2 1 x x 185.264865
ch C H x x 1 1 x x 84.54713566
h2s H S x x 2 1 x x 184.2182412
hs S H x x 1 1 x x 88.63708924
c2h5f H C F x 5 2 1 x 726.8573373
ch3nh2 H C N x 5 1 1 x 586.9630237
ch3f H F C x 3 1 1 x 427.1439943
propene H C x x 6 3 x x 866.1459255
nh3 H N x x 3 1 x x 300.6322819
ethanol H C O x 6 2 1 x 815.8839563
ch3nh H C N x 4 1 1 x 481.5335317
c2h4 H C x x 4 2 x x 566.9717647
methanol H C O x 4 1 1 x 517.1038113
hcl Cl H x x 1 1 x x 107.6805044
nh2 H N x x 2 1 x x 186.0555128
nh N H x x 1 1 x x 86.37588702
ch2nh2 H C N x 4 1 1 x 489.1999341
bhf2 F B H x 2 1 1 x 408.0455394
h2o H O x x 2 1 x x 233.9773082
hf F H x x 1 1 x x 143.0490641
ch2ch H C x x 3 2 x x 450.8964954
oh O H x x 1 1 x x 108.5286033
propyne H C x x 4 3 x x 707.9275455
acetaldehyde H C O x 4 2 1 x 684.7523876
allene H C x x 4 3 x x 710.5799112
sif4 F Si x x 4 1 x x 554.5180988
bf3 F B x x 3 1 x x 464.1703835
c2h3f H C F x 3 2 1 x 579.3044928
oxirane H C O x 4 2 1 x 660.0917962
ch2f2 H F C x 2 2 1 x 442.8121386
alf3 F Al x x 3 1 x x 415.4136171
bef2 F Be x x 2 1 x x 305.0526834
ch2c C H x x 2 2 x x 362.0312973
n2h4 H N x x 4 2 x x 444.6475582
ch2nh H C N x 3 1 1 x 443.9347186
alf Al F x x 1 1 x x 158.0906283
acetic H C O x 4 2 2 x 810.824887
c2h2 C H x x 2 2 x x 405.739748
h2co H O C x 2 1 1 x 379.4549662
h2cn H C N x 2 1 1 x 349.6513932
bf F B x x 1 1 x x 180.3635959
becl2 Cl Be x x 2 1 x x 220.7435056
t-hcoh H C O x 2 1 1 x 325.19913
alcl3 Cl Al x x 3 1 x x 296.7631848
c-hcoh H C O x 2 1 1 x 321.2801094
alcl Al Cl x x 1 1 x x 116.2951891
ketene C H O x 2 2 1 x 542.5167074
sif F Si x x 1 1 x x 140.4667962
formic H O C x 2 2 1 x 508.483143
hcnh H C N x 2 1 1 x 343.4576349
glyoxal C H O x 2 2 2 x 643.693028
hcof C O H F 1 1 1 1 410.8402464
nh2cl H N Cl x 2 1 1 x 252.0302288
cf4 F C x x 4 1 x x 480.9259446
hccf C H F x 2 1 1 x 402.5963985
hcn H C N x 1 1 1 x 314.3949383
hnc H N C x 1 1 1 x 299.9021866
cch C H x x 2 1 x x 266.8897389
hco O C H x 1 1 1 x 286.2913457
co C O x x 1 1 x x 258.8822446
oxirene C H O x 2 2 1 x 463.659558
f2co F O C x 2 1 1 x 427.8264633
hocn C N O H 1 1 1 1 414.9036891
hooh H O x x 2 2 x x 274.6102218
t-n2h2 H N x x 2 2 x x 302.6791269
hnco C O N H 1 1 1 1 445.4105988
c-n2h2 H N x x 2 2 x x 298.0598544
cf2 F C x x 2 1 x x 264.0041573
co2 O C x x 2 1 x x 398.4171867
fccf F C x x 2 2 x x 393.4642332
dioxirane H O C x 2 2 1 x 419.4336021
cf C F x x 1 1 x x 137.7161299
ssh S H x x 2 1 x x 168.784824
hocl O H Cl x 1 1 1 x 168.8530271
nccn N C x x 2 2 x x 508.0256333
n2 N x x x 2 x x x 229.0572633
n2h N H x x 2 1 x x 233.7721235
ocs O C S x 1 1 1 x 343.7450677
sio Si O x x 1 1 x x 188.352155
clcn Cl C N x 1 1 1 x 289.3622453
hoo O H x x 2 1 x x 186.1301283
hcno C H N O 1 1 1 1 381.2715337
honc H O N C 1 1 1 1 358.0353496
hno N H O x 1 1 1 x 212.7943722
hof H O F x 1 1 1 x 165.2880953
c-hono O N H x 2 1 1 x 326.6960101
t-hono O N H x 2 1 1 x 327.2315549
cs2 S C x x 2 1 x x 287.9418332
hnnn N H x x 3 1 x x 350.0046434
cs C S x x 1 1 x x 171.867194
cn C N x x 1 1 x x 184.567853
so3 O S x x 3 1 x x 353.6605282
ccl2 Cl C x x 2 1 x x 182.7641643
bn3pi B N x x 1 1 x x 110.4047307
so2 O S x x 2 1 x x 264.8835588
no N O x x 1 1 x x 160.0218146
so S O x x 1 1 x x 133.39465
n2o N O x x 2 1 x x 289.0210067
c-hooo O H x x 3 1 x x 254.2835846
s2 S x x x 2 x x x 109.0690678
p4 P x x x 4 x x x 291.3497339
cl2 Cl x x x 2 x x x 60.10526036
o2 O x x x 2 x x x 135.7304148
f2 F x x x 2 x x x 46.0619506
t-hooo O H x x 3 1 x x 255.3718264
s2o S O x x 2 1 x x 214.8240606
p2 P x x x 2 x x x 116.1751712
clf Cl F x x 1 1 x x 66.24635551
no2 O N x x 2 1 x x 250.1970431
clo Cl O x x 1 1 x x 73.34783843
s3 S x x x 3 x x x 173.7242572
cl2o Cl O x x 2 1 x x 105.9670781
s4-c2v S x x x 4 x x x 241.4509941
of O F x x 1 1 x x 63.50973919
c2 C x x x 2 x x x 142.5187266
oclo O Cl x x 2 1 x x 146.1375983
f2o F O x x 2 1 x x 109.0605623
b2 B x x x 2 x x x 68.36711672
fo2 O F x x 2 1 x x 159.3662699
cloo O Cl x x 2 1 x x 146.7916952
foof F O x x 2 2 x x 184.1157329
o3 O x x x 3 x x x 166.3993778
bn B N x x 1 1 x x 105.3233521
be2 Be x x x 2 x x x 6.891569847
