xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1325.734394
pentane H C x x 12 5 x x 1626.039217
hexane H C x x 14 6 x x 1926.365538
heptane H C x x 16 7 x x 2226.691531
octane H C x x 18 8 x x 2527.014663
isobutane H C x x 10 4 x x 1327.02582
isopentane H C x x 12 5 x x 1626.762068
isohexane H C x x 14 6 x x 1927.071559
isoheptane H C x x 16 7 x x 2227.435426
isooctane H C x x 18 8 x x 2527.939611
neopentane H C x x 12 5 x x 1629.195365
neohexane H C x x 14 6 x x 1928.246772
neoheptane H C x x 16 7 x x 2228.545901
3methylpentane H C x x 14 6 x x 1926.376262
diisopropyl H C x x 14 6 x x 1926.931193
hexamethylethane H C x x 18 8 x x 2526.856626
h2 H x x x 2 x x x 112.1611756
alh3 H Al x x 3 1 x x 213.2635027
alh Al H x x 1 1 x x 73.37725548
sih4 H Si x x 4 1 x x 326.4197488
bh3 H B x x 3 1 x x 284.5172591
bh B H x x 1 1 x x 84.19215973
ch2-trip H C x x 2 1 x x 195.7104393
sih H Si x x 1 1 x x 75.61701775
si2h6 H Si x x 6 2 x x 539.9003752
ch3 H C x x 3 1 x x 313.6345502
ch4 H C x x 4 1 x x 426.8521349
b2h6 H B x x 6 2 x x 617.7505295
sih3f H F Si x 3 1 1 x 380.2088652
ph3 H P x x 3 1 x x 248.5311038
c2h6 H C x x 6 2 x x 725.0788048
propane H C x x 8 3 x x 1025.415278
ch2-sing H C x x 2 1 x x 187.4702656
ch C H x x 1 1 x x 85.72660444
h2s H S x x 2 1 x x 187.3237357
hs S H x x 1 1 x x 90.18955602
c2h5f H C F x 5 2 1 x 733.8276659
ch3nh2 H C N x 5 1 1 x 594.0882139
ch3f H F C x 3 1 1 x 430.0264691
propene H C x x 6 3 x x 877.4805879
nh3 H N x x 3 1 x x 304.0162466
ethanol H C O x 6 2 1 x 824.4052347
ch3nh H C N x 4 1 1 x 487.6916138
c2h4 H C x x 4 2 x x 573.7446794
methanol H C O x 4 1 1 x 521.5908226
hcl Cl H x x 1 1 x x 109.0847167
nh2 H N x x 2 1 x x 188.2010649
nh N H x x 1 1 x x 87.33831421
ch2nh2 H C N x 4 1 1 x 495.6367972
bhf2 F B H x 2 1 1 x 410.2084946
h2o H O x x 2 1 x x 235.6849712
hf F H x x 1 1 x x 143.6147206
ch2ch H C x x 3 2 x x 456.4970826
oh O H x x 1 1 x x 109.2725685
propyne H C x x 4 3 x x 716.9380084
acetaldehyde H C O x 4 2 1 x 692.2064115
allene H C x x 4 3 x x 720.2171888
sif4 F Si x x 4 1 x x 559.5805085
bf3 F B x x 3 1 x x 466.8940685
c2h3f H C F x 3 2 1 x 585.5019087
oxirane H C O x 4 2 1 x 666.6080082
ch2f2 H F C x 2 2 1 x 445.1314958
alf3 F Al x x 3 1 x x 418.6967681
bef2 F Be x x 2 1 x x 307.2013487
ch2c C H x x 2 2 x x 367.0631584
n2h4 H N x x 4 2 x x 450.8730548
ch2nh H C N x 3 1 1 x 449.5378515
alf Al F x x 1 1 x x 159.756907
acetic H C O x 4 2 2 x 819.9884475
c2h2 C H x x 2 2 x x 409.929838
h2co H O C x 2 1 1 x 382.4904253
h2cn H C N x 2 1 1 x 353.978425
bf F B x x 1 1 x x 181.7482229
becl2 Cl Be x x 2 1 x x 226.1268104
t-hcoh H C O x 2 1 1 x 328.8370721
alcl3 Cl Al x x 3 1 x x 304.6567891
c-hcoh H C O x 2 1 1 x 324.7671741
alcl Al Cl x x 1 1 x x 120.1138596
ketene C H O x 2 2 1 x 548.6663207
sif F Si x x 1 1 x x 142.2311915
formic H O C x 2 2 1 x 513.0436879
hcnh H C N x 2 1 1 x 347.9803133
glyoxal C H O x 2 2 2 x 650.278823
hcof C O H F 1 1 1 1 413.7537194
nh2cl H N Cl x 2 1 1 x 256.6342951
cf4 F C x x 4 1 x x 484.5667776
hccf C H F x 2 1 1 x 406.7923782
hcn H C N x 1 1 1 x 317.3841175
hnc H N C x 1 1 1 x 303.2826594
cch C H x x 2 1 x x 270.3494414
hco O C H x 1 1 1 x 288.6004984
co C O x x 1 1 x x 260.6502033
oxirene C H O x 2 2 1 x 469.4297461
f2co F O C x 2 1 1 x 431.3853799
hocn C N O H 1 1 1 1 419.517353
hooh H O x x 2 2 x x 276.9126492
t-n2h2 H N x x 2 2 x x 307.3301361
hnco C O N H 1 1 1 1 450.2906764
c-n2h2 H N x x 2 2 x x 302.5659327
cf2 F C x x 2 1 x x 266.3547691
co2 O C x x 2 1 x x 401.5747556
fccf F C x x 2 2 x x 397.6516713
dioxirane H O C x 2 2 1 x 423.4540942
cf C F x x 1 1 x x 139.0514667
ssh S H x x 2 1 x x 174.5654135
hocl O H Cl x 1 1 1 x 171.7774162
nccn N C x x 2 2 x x 514.6701596
n2 N x x x 2 x x x 230.9798274
n2h N H x x 2 1 x x 237.0082636
ocs O C S x 1 1 1 x 348.7166805
sio Si O x x 1 1 x x 190.7301241
clcn Cl C N x 1 1 1 x 294.2700523
hoo O H x x 2 1 x x 187.9898445
hcno C H N O 1 1 1 1 385.8569065
honc H O N C 1 1 1 1 362.8011687
hno N H O x 1 1 1 x 215.2315499
hof H O F x 1 1 1 x 166.6031839
c-hono O N H x 2 1 1 x 330.7241678
t-hono O N H x 2 1 1 x 331.43903
cs2 S C x x 2 1 x x 295.1464656
hnnn N H x x 3 1 x x 355.5197239
cs C S x x 1 1 x x 175.3358255
cn C N x x 1 1 x x 186.8541224
so3 O S x x 3 1 x x 360.5841761
ccl2 Cl C x x 2 1 x x 189.3873002
bn3pi B N x x 1 1 x x 112.831736
so2 O S x x 2 1 x x 269.4130292
no N O x x 1 1 x x 161.5329925
so S O x x 1 1 x x 135.6593118
n2o N O x x 2 1 x x 292.4669796
c-hooo O H x x 3 1 x x 256.9581617
s2 S x x x 2 x x x 113.275443
p4 P x x x 4 x x x 315.3697603
cl2 Cl x x x 2 x x x 63.56608059
o2 O x x x 2 x x x 136.9417278
f2 F x x x 2 x x x 46.8103344
t-hooo O H x x 3 1 x x 258.1677872
s2o S O x x 2 1 x x 221.5875366
p2 P x x x 2 x x x 121.1014807
clf Cl F x x 1 1 x x 67.84412719
no2 O N x x 2 1 x x 253.3779547
clo Cl O x x 1 1 x x 75.42582241
s3 S x x x 3 x x x 183.0136678
cl2o Cl O x x 2 1 x x 111.0638927
s4-c2v S x x x 4 x x x 257.5091704
of O F x x 1 1 x x 64.44774771
c2 C x x x 2 x x x 145.2893667
oclo O Cl x x 2 1 x x 150.3972153
f2o F O x x 2 1 x x 110.6993303
b2 B x x x 2 x x x 71.61375724
fo2 O F x x 2 1 x x 161.1911739
cloo O Cl x x 2 1 x x 149.6712666
foof F O x x 2 2 x x 186.6442382
o3 O x x x 3 x x x 168.9622345
bn B N x x 1 1 x x 107.7549971
be2 Be x x x 2 x x x 11.47138735
