xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 111.6796778
alh3 H Al x x 3 1 x x 209.4168315
alh Al H x x 1 1 x x 71.60551893
sih4 H Si x x 4 1 x x 319.5138248
bh3 H B x x 3 1 x x 280.7992877
bh B H x x 1 1 x x 82.88211258
ch2-trip H C x x 2 1 x x 193.3534124
sih H Si x x 1 1 x x 73.86051618
si2h6 H Si x x 6 2 x x 524.029314
ch3 H C x x 3 1 x x 309.6381298
ch4 H C x x 4 1 x x 421.1883689
b2h6 H B x x 6 2 x x 603.5132502
sih3f H F Si x 3 1 1 x 373.0675377
ph3 H P x x 3 1 x x 242.7198895
c2h6 H C x x 6 2 x x 711.349708
propane H C x x 8 3 x x 1002.298575
ch2-sing H C x x 2 1 x x 185.064469
ch C H x x 1 1 x x 84.54196933
h2s H S x x 2 1 x x 183.8464947
hs S H x x 1 1 x x 88.62193903
c2h5f H C F x 5 2 1 x 719.6010217
ch3nh2 H C N x 5 1 1 x 582.6180996
ch3f H F C x 3 1 1 x 424.0456152
propene H C x x 6 3 x x 858.797365
nh3 H N x x 3 1 x x 300.2508569
ethanol H C O x 6 2 1 x 807.402725
ch3nh H C N x 4 1 1 x 478.1470437
c2h4 H C x x 4 2 x x 563.8239161
methanol H C O x 4 1 1 x 513.1970622
hcl Cl H x x 1 1 x x 107.6620612
nh2 H N x x 2 1 x x 185.9348132
nh N H x x 1 1 x x 86.37267916
ch2nh2 H C N x 4 1 1 x 486.1714916
bhf2 F B H x 2 1 1 x 405.8901389
h2o H O x x 2 1 x x 233.8959516
hf F H x x 1 1 x x 143.044812
ch2ch H C x x 3 2 x x 448.8294666
oh O H x x 1 1 x x 108.5240396
propyne H C x x 4 3 x x 703.9081121
acetaldehyde H C O x 4 2 1 x 679.1739666
allene H C x x 4 3 x x 706.8314419
sif4 F Si x x 4 1 x x 551.1086032
bf3 F B x x 3 1 x x 462.1194825
c2h3f H C F x 3 2 1 x 575.2625479
oxirane H C O x 4 2 1 x 654.153876
ch2f2 H F C x 2 2 1 x 438.6992323
alf3 F Al x x 3 1 x x 414.2646665
bef2 F Be x x 2 1 x x 304.6246355
ch2c C H x x 2 2 x x 360.6234407
n2h4 H N x x 4 2 x x 441.6845033
ch2nh H C N x 3 1 1 x 441.8864552
alf Al F x x 1 1 x x 158.0496263
acetic H C O x 4 2 2 x 803.5812401
c2h2 C H x x 2 2 x x 404.4826381
h2co H O C x 2 1 1 x 377.5579789
h2cn H C N x 2 1 1 x 348.2912398
bf F B x x 1 1 x x 180.3545826
becl2 Cl Be x x 2 1 x x 219.5238499
t-hcoh H C O x 2 1 1 x 324.18833
alcl3 Cl Al x x 3 1 x x 293.0424586
c-hcoh H C O x 2 1 1 x 319.9261972
alcl Al Cl x x 1 1 x x 116.1137604
ketene C H O x 2 2 1 x 540.1074244
sif F Si x x 1 1 x x 140.4346813
formic H O C x 2 2 1 x 505.2096746
hcnh H C N x 2 1 1 x 342.5253302
glyoxal C H O x 2 2 2 x 638.0568881
hcof C O H F 1 1 1 1 408.4450128
nh2cl H N Cl x 2 1 1 x 249.924822
cf4 F C x x 4 1 x x 476.8524997
hccf C H F x 2 1 1 x 401.1085277
hcn H C N x 1 1 1 x 313.7486461
hnc H N C x 1 1 1 x 299.2429283
cch C H x x 2 1 x x 266.157918
hco O C H x 1 1 1 x 285.4850556
co C O x x 1 1 x x 258.8766042
oxirene C H O x 2 2 1 x 461.1382744
f2co F O C x 2 1 1 x 425.5747457
hocn C N O H 1 1 1 1 413.4553824
hooh H O x x 2 2 x x 273.1162818
t-n2h2 H N x x 2 2 x x 301.9663803
hnco C O N H 1 1 1 1 443.9532048
c-n2h2 H N x x 2 2 x x 297.0161677
cf2 F C x x 2 1 x x 263.3569216
co2 O C x x 2 1 x x 397.6456997
fccf F C x x 2 2 x x 391.7270542
dioxirane H O C x 2 2 1 x 416.1683945
cf C F x x 1 1 x x 137.6990043
ssh S H x x 2 1 x x 167.8062223
hocl O H Cl x 1 1 1 x 167.9728024
nccn N C x x 2 2 x x 505.987531
n2 N x x x 2 x x x 229.0539525
n2h N H x x 2 1 x x 233.4123881
ocs O C S x 1 1 1 x 342.7309229
sio Si O x x 1 1 x x 188.3299948
clcn Cl C N x 1 1 1 x 287.9598913
