xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1317.977794
pentane H C x x 12 5 x x 1617.853069
hexane H C x x 14 6 x x 1917.764046
heptane H C x x 16 7 x x 2217.658008
octane H C x x 18 8 x x 2517.559507
isobutane H C x x 10 4 x x 1319.356041
isopentane H C x x 12 5 x x 1618.919703
isohexane H C x x 14 6 x x 1918.811576
isoheptane H C x x 16 7 x x 2218.751966
isooctane H C x x 18 8 x x 2519.642091
neopentane H C x x 12 5 x x 1621.339608
neohexane H C x x 14 6 x x 1920.44166
neoheptane H C x x 16 7 x x 2220.321106
3methylpentane H C x x 14 6 x x 1918.406895
diisopropyl H C x x 14 6 x x 1919.226661
hexamethylethane H C x x 18 8 x x 2519.849613
h2 H x x x 2 x x x 104.6464739
alh3 H Al x x 3 1 x x 203.6535929
alh Al H x x 1 1 x x 69.13423504
sih4 H Si x x 4 1 x x 314.3228158
bh3 H B x x 3 1 x x 278.9776109
bh B H x x 1 1 x x 81.42533854
ch2-trip H C x x 2 1 x x 194.662511
sih H Si x x 1 1 x x 71.82132132
si2h6 H Si x x 6 2 x x 522.2496557
ch3 H C x x 3 1 x x 310.2764309
ch4 H C x x 4 1 x x 420.4067895
b2h6 H B x x 6 2 x x 611.5467429
sih3f H F Si x 3 1 1 x 374.3943349
ph3 H P x x 3 1 x x 239.8476986
c2h6 H C x x 6 2 x x 718.1562078
propane H C x x 8 3 x x 1018.068532
ch2-sing H C x x 2 1 x x 185.6112414
ch C H x x 1 1 x x 84.75580274
h2s H S x x 2 1 x x 182.3216119
hs S H x x 1 1 x x 88.04397845
c2h5f H C F x 5 2 1 x 733.242747
ch3nh2 H C N x 5 1 1 x 591.9581376
ch3f H F C x 3 1 1 x 429.5036653
propene H C x x 6 3 x x 875.4527161
nh3 H N x x 3 1 x x 302.0847576
ethanol H C O x 6 2 1 x 823.3109496
ch3nh H C N x 4 1 1 x 488.1990684
c2h4 H C x x 4 2 x x 572.1663423
methanol H C O x 4 1 1 x 520.6723793
hcl Cl H x x 1 1 x x 106.493836
nh2 H N x x 2 1 x x 188.695764
nh N H x x 1 1 x x 88.49492205
ch2nh2 H C N x 4 1 1 x 496.9431673
bhf2 F B H x 2 1 1 x 418.0955401
h2o H O x x 2 1 x x 234.2793688
hf F H x x 1 1 x x 141.9990136
ch2ch H C x x 3 2 x x 458.2318166
oh O H x x 1 1 x x 109.8926782
propyne H C x x 4 3 x x 721.70587
acetaldehyde H C O x 4 2 1 x 695.415809
allene H C x x 4 3 x x 724.5992139
sif4 F Si x x 4 1 x x 572.9367649
bf3 F B x x 3 1 x x 480.97646
c2h3f H C F x 3 2 1 x 590.4910981
oxirane H C O x 4 2 1 x 670.9490481
ch2f2 H F C x 2 2 1 x 450.6536623
alf3 F Al x x 3 1 x x 427.6370582
bef2 F Be x x 2 1 x x 315.8500247
ch2c C H x x 2 2 x x 369.6784243
n2h4 H N x x 4 2 x x 453.7267063
ch2nh H C N x 3 1 1 x 452.4541717
alf Al F x x 1 1 x x 163.0207001
acetic H C O x 4 2 2 x 829.1990901
c2h2 C H x x 2 2 x x 415.0232519
h2co H O C x 2 1 1 x 386.0137462
h2cn H C N x 2 1 1 x 359.7349262
bf F B x x 1 1 x x 186.7300157
becl2 Cl Be x x 2 1 x x 230.2158975
t-hcoh H C O x 2 1 1 x 332.3528436
alcl3 Cl Al x x 3 1 x x 307.5871486
c-hcoh H C O x 2 1 1 x 328.0867119
alcl Al Cl x x 1 1 x x 120.8274017
ketene C H O x 2 2 1 x 558.3681516
sif F Si x x 1 1 x x 145.752139
formic H O C x 2 2 1 x 522.4750375
hcnh H C N x 2 1 1 x 354.2560969
glyoxal C H O x 2 2 2 x 663.7262876
hcof C O H F 1 1 1 1 423.6672019
nh2cl H N Cl x 2 1 1 x 258.5279006
cf4 F C x x 4 1 x x 502.4211017
hccf C H F x 2 1 1 x 418.4153391
hcn H C N x 1 1 1 x 326.3403654
hnc H N C x 1 1 1 x 311.4332474
cch C H x x 2 1 x x 277.0697448
hco O C H x 1 1 1 x 295.1782408
co C O x x 1 1 x x 268.8543138
oxirene C H O x 2 2 1 x 480.1032594
f2co F O C x 2 1 1 x 447.4345364
hocn C N O H 1 1 1 1 434.1901161
hooh H O x x 2 2 x x 282.2617838
t-n2h2 H N x x 2 2 x x 314.8014586
hnco C O N H 1 1 1 1 464.5050265
c-n2h2 H N x x 2 2 x x 309.9008618
cf2 F C x x 2 1 x x 276.250803
co2 O C x x 2 1 x x 415.9814276
fccf F C x x 2 2 x x 415.9105208
dioxirane H O C x 2 2 1 x 433.9359524
cf C F x x 1 1 x x 144.9647204
ssh S H x x 2 1 x x 173.7011397
hocl O H Cl x 1 1 1 x 175.4203177
nccn N C x x 2 2 x x 538.6702461
n2 N x x x 2 x x x 243.632965
n2h N H x x 2 1 x x 247.3391303
ocs O C S x 1 1 1 x 359.4032034
sio Si O x x 1 1 x x 196.3934857
clcn Cl C N x 1 1 1 x 306.785794
hoo O H x x 2 1 x x 195.0617586
hcno C H N O 1 1 1 1 401.095694
honc H O N C 1 1 1 1 376.7888179
hno N H O x 1 1 1 x 223.581981
hof H O F x 1 1 1 x 172.2861112
c-hono O N H x 2 1 1 x 344.9129587
t-hono O N H x 2 1 1 x 345.7939406
cs2 S C x x 2 1 x x 301.4155005
hnnn N H x x 3 1 x x 373.3210929
cs C S x x 1 1 x x 179.5723642
cn C N x x 1 1 x x 197.4564624
so3 O S x x 3 1 x x 375.0224708
ccl2 Cl C x x 2 1 x x 194.3420826
bn3pi B N x x 1 1 x x 122.6486204
so2 O S x x 2 1 x x 280.4754396
no N O x x 1 1 x x 172.0575996
so S O x x 1 1 x x 141.1452713
n2o N O x x 2 1 x x 310.7172088
c-hooo O H x x 3 1 x x 270.7631588
s2 S x x x 2 x x x 115.2748913
p4 P x x x 4 x x x 309.378481
cl2 Cl x x x 2 x x x 65.72995474
o2 O x x x 2 x x x 143.6227568
f2 F x x x 2 x x x 52.76117211
t-hooo O H x x 3 1 x x 271.9684801
s2o S O x x 2 1 x x 228.7173653
p2 P x x x 2 x x x 121.7862292
clf Cl F x x 1 1 x x 72.23505343
no2 O N x x 2 1 x x 269.7799612
clo Cl O x x 1 1 x x 81.40767806
s3 S x x x 3 x x x 185.7103702
cl2o Cl O x x 2 1 x x 119.5253668
s4-c2v S x x x 4 x x x 260.0993526
of O F x x 1 1 x x 71.86569945
c2 C x x x 2 x x x 154.4821331
oclo O Cl x x 2 1 x x 161.4795072
f2o F O x x 2 1 x x 123.4325819
b2 B x x x 2 x x x 79.51921618
fo2 O F x x 2 1 x x 174.9375426
cloo O Cl x x 2 1 x x 161.4026336
foof F O x x 2 2 x x 206.2803613
o3 O x x x 3 x x x 184.9080458
bn B N x x 1 1 x x 117.8003127
be2 Be x x x 2 x x x 9.757023151
