xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.6459674
alh3 H Al x x 3 1 x x 203.6105589
alh Al H x x 1 1 x x 69.12963364
sih4 H Si x x 4 1 x x 313.8702326
bh3 H B x x 3 1 x x 278.4108416
bh B H x x 1 1 x x 81.42427321
ch2-trip H C x x 2 1 x x 194.4923927
sih H Si x x 1 1 x x 71.81935163
si2h6 H Si x x 6 2 x x 521.1866646
ch3 H C x x 3 1 x x 309.9409175
ch4 H C x x 4 1 x x 419.9919699
b2h6 H B x x 6 2 x x 608.7118285
sih3f H F Si x 3 1 1 x 373.9099655
ph3 H P x x 3 1 x x 239.2794909
c2h6 H C x x 6 2 x x 717.205083
propane H C x x 8 3 x x 1016.247905
ch2-sing H C x x 2 1 x x 185.5602336
ch C H x x 1 1 x x 84.75510857
h2s H S x x 2 1 x x 182.1751021
hs S H x x 1 1 x x 88.04327869
c2h5f H C F x 5 2 1 x 732.4187893
ch3nh2 H C N x 5 1 1 x 591.2607511
ch3f H F C x 3 1 1 x 429.2838303
propene H C x x 6 3 x x 874.3771426
nh3 H N x x 3 1 x x 302.0042419
ethanol H C O x 6 2 1 x 822.2625809
ch3nh H C N x 4 1 1 x 487.6543055
c2h4 H C x x 4 2 x x 571.711174
methanol H C O x 4 1 1 x 520.2183591
hcl Cl H x x 1 1 x x 106.4933652
nh2 H N x x 2 1 x x 188.6710551
nh N H x x 1 1 x x 88.49431413
ch2nh2 H C N x 4 1 1 x 496.503411
bhf2 F B H x 2 1 1 x 417.9934469
h2o H O x x 2 1 x x 234.2650484
hf F H x x 1 1 x x 141.9985488
ch2ch H C x x 3 2 x x 457.9818
oh O H x x 1 1 x x 109.8922805
propyne H C x x 4 3 x x 721.2179746
acetaldehyde H C O x 4 2 1 x 694.9361373
allene H C x x 4 3 x x 724.197225
sif4 F Si x x 4 1 x x 572.2321985
bf3 F B x x 3 1 x x 480.9120413
c2h3f H C F x 3 2 1 x 590.1592513
oxirane H C O x 4 2 1 x 670.3424985
ch2f2 H F C x 2 2 1 x 450.5720829
alf3 F Al x x 3 1 x x 427.2348089
bef2 F Be x x 2 1 x x 315.7050222
ch2c C H x x 2 2 x x 369.5055618
n2h4 H N x x 4 2 x x 453.2936519
ch2nh H C N x 3 1 1 x 452.1229528
alf Al F x x 1 1 x x 163.0182659
acetic H C O x 4 2 2 x 828.7361362
c2h2 C H x x 2 2 x x 414.8698985
h2co H O C x 2 1 1 x 385.8998581
h2cn H C N x 2 1 1 x 359.5599515
bf F B x x 1 1 x x 186.729072
becl2 Cl Be x x 2 1 x x 230.1280842
t-hcoh H C O x 2 1 1 x 332.3323212
alcl3 Cl Al x x 3 1 x x 307.309994
c-hcoh H C O x 2 1 1 x 327.8867013
alcl Al Cl x x 1 1 x x 120.823454
ketene C H O x 2 2 1 x 558.236575
sif F Si x x 1 1 x x 145.7509393
formic H O C x 2 2 1 x 522.4083371
hcnh H C N x 2 1 1 x 354.2118698
glyoxal C H O x 2 2 2 x 663.5526574
hcof C O H F 1 1 1 1 423.6772042
nh2cl H N Cl x 2 1 1 x 258.5093089
cf4 F C x x 4 1 x x 502.3909955
hccf C H F x 2 1 1 x 418.3181735
hcn H C N x 1 1 1 x 326.263135
hnc H N C x 1 1 1 x 311.3871145
cch C H x x 2 1 x x 276.9915263
hco O C H x 1 1 1 x 295.1774908
co C O x x 1 1 x x 268.8538757
oxirene C H O x 2 2 1 x 479.7781043
f2co F O C x 2 1 1 x 447.4520585
hocn C N O H 1 1 1 1 434.1578727
hooh H O x x 2 2 x x 282.1790459
t-n2h2 H N x x 2 2 x x 314.7658981
hnco C O N H 1 1 1 1 464.5260843
c-n2h2 H N x x 2 2 x x 309.6929293
cf2 F C x x 2 1 x x 276.2502493
co2 O C x x 2 1 x x 415.9807624
fccf F C x x 2 2 x x 415.8581674
dioxirane H O C x 2 2 1 x 433.7738
cf C F x x 1 1 x x 144.9642457
ssh S H x x 2 1 x x 173.6131487
hocl O H Cl x 1 1 1 x 175.4265525
nccn N C x x 2 2 x x 538.6123044
n2 N x x x 2 x x x 243.6323974
n2h N H x x 2 1 x x 247.3257203
ocs O C S x 1 1 1 x 359.376361
sio Si O x x 1 1 x x 196.3928542
clcn Cl C N x 1 1 1 x 306.783057
hoo O H x x 2 1 x x 195.0662843
hcno C H N O 1 1 1 1 401.0494541
honc H O N C 1 1 1 1 376.7610092
hno N H O x 1 1 1 x 223.58631
hof H O F x 1 1 1 x 172.2936558
c-hono O N H x 2 1 1 x 344.8955176
t-hono O N H x 2 1 1 x 345.7909334
cs2 S C x x 2 1 x x 301.3413204
hnnn N H x x 3 1 x x 373.2680847
cs C S x x 1 1 x x 179.571874
cn C N x x 1 1 x x 197.4558476
so3 O S x x 3 1 x x 374.9752362
ccl2 Cl C x x 2 1 x x 194.3378657
bn3pi B N x x 1 1 x x 122.6477384
so2 O S x x 2 1 x x 280.4567869
no N O x x 1 1 x x 172.0572024
so S O x x 1 1 x x 141.1446761
n2o N O x x 2 1 x x 310.7359253
c-hooo O H x x 3 1 x x 270.7521153
s2 S x x x 2 x x x 115.2739905
p4 P x x x 4 x x x 309.3440728
cl2 Cl x x x 2 x x x 65.73055776
o2 O x x x 2 x x x 143.6223697
f2 F x x x 2 x x x 52.7607597
t-hooo O H x x 3 1 x x 271.9832062
s2o S O x x 2 1 x x 228.6571583
