xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.7034571
alh3 H Al x x 3 1 x x 204.1399908
alh Al H x x 1 1 x x 69.42023338
sih4 H Si x x 4 1 x x 314.6928458
bh3 H B x x 3 1 x x 278.8685749
bh B H x x 1 1 x x 81.60868895
ch2-trip H C x x 2 1 x x 194.7927375
sih H Si x x 1 1 x x 72.09293978
si2h6 H Si x x 6 2 x x 523.3977727
ch3 H C x x 3 1 x x 310.4409882
ch4 H C x x 4 1 x x 420.6914082
b2h6 H B x x 6 2 x x 610.3084186
sih3f H F Si x 3 1 1 x 374.5830582
ph3 H P x x 3 1 x x 240.0704498
c2h6 H C x x 6 2 x x 718.6772789
propane H C x x 8 3 x x 1018.545281
ch2-sing H C x x 2 1 x x 185.8736111
ch C H x x 1 1 x x 84.91392796
h2s H S x x 2 1 x x 182.6630666
hs S H x x 1 1 x x 88.27157098
c2h5f H C F x 5 2 1 x 733.7160924
ch3nh2 H C N x 5 1 1 x 592.5212256
ch3f H F C x 3 1 1 x 429.8525294
propene H C x x 6 3 x x 876.4775135
nh3 H N x x 3 1 x x 302.4724448
ethanol H C O x 6 2 1 x 823.8610721
ch3nh H C N x 4 1 1 x 488.7740527
c2h4 H C x x 4 2 x x 572.9029903
methanol H C O x 4 1 1 x 521.0780638
hcl Cl H x x 1 1 x x 106.6948998
nh2 H N x x 2 1 x x 188.9576608
nh N H x x 1 1 x x 88.6188498
ch2nh2 H C N x 4 1 1 x 497.6045769
bhf2 F B H x 2 1 1 x 418.3600057
h2o H O x x 2 1 x x 234.4883828
hf F H x x 1 1 x x 142.0694703
ch2ch H C x x 3 2 x x 458.9529611
oh O H x x 1 1 x x 109.9875414
propyne H C x x 4 3 x x 722.8642611
acetaldehyde H C O x 4 2 1 x 696.2930563
allene H C x x 4 3 x x 725.9083268
sif4 F Si x x 4 1 x x 573.0839367
bf3 F B x x 3 1 x x 481.4495048
c2h3f H C F x 3 2 1 x 591.2564489
oxirane H C O x 4 2 1 x 671.6536583
ch2f2 H F C x 2 2 1 x 451.1376797
alf3 F Al x x 3 1 x x 427.7792115
bef2 F Be x x 2 1 x x 316.0207972
ch2c C H x x 2 2 x x 370.3831041
n2h4 H N x x 4 2 x x 454.3320887
ch2nh H C N x 3 1 1 x 453.0695443
alf Al F x x 1 1 x x 163.3169517
acetic H C O x 4 2 2 x 830.3205393
c2h2 C H x x 2 2 x x 415.5883077
h2co H O C x 2 1 1 x 386.4737156
h2cn H C N x 2 1 1 x 360.3070593
bf F B x x 1 1 x x 186.936845
becl2 Cl Be x x 2 1 x x 231.199744
t-hcoh H C O x 2 1 1 x 332.9078094
alcl3 Cl Al x x 3 1 x x 309.2835632
c-hcoh H C O x 2 1 1 x 328.4918729
alcl Al Cl x x 1 1 x x 121.6655599
ketene C H O x 2 2 1 x 559.2736552
sif F Si x x 1 1 x x 146.0485106
formic H O C x 2 2 1 x 523.2555245
hcnh H C N x 2 1 1 x 354.9210166
glyoxal C H O x 2 2 2 x 664.8401564
hcof C O H F 1 1 1 1 424.2607049
nh2cl H N Cl x 2 1 1 x 259.3914966
cf4 F C x x 4 1 x x 503.2476551
hccf C H F x 2 1 1 x 419.0348481
hcn H C N x 1 1 1 x 326.7514945
hnc H N C x 1 1 1 x 311.9391549
cch C H x x 2 1 x x 277.578606
hco O C H x 1 1 1 x 295.563935
