xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1318.105339
pentane H C x x 12 5 x x 1617.874163
hexane H C x x 14 6 x x 1917.673225
heptane H C x x 16 7 x x 2217.455763
octane H C x x 18 8 x x 2517.250904
isobutane H C x x 10 4 x x 1319.213758
isopentane H C x x 12 5 x x 1618.445951
isohexane H C x x 14 6 x x 1918.204917
isoheptane H C x x 16 7 x x 2218.03059
isooctane H C x x 18 8 x x 2517.402056
neopentane H C x x 12 5 x x 1620.466269
neohexane H C x x 14 6 x x 1919.019209
neoheptane H C x x 16 7 x x 2218.74187
3methylpentane H C x x 14 6 x x 1917.576685
diisopropyl H C x x 14 6 x x 1917.92911
hexamethylethane H C x x 18 8 x x 2516.002618
h2 H x x x 2 x x x 104.6869726
alh3 H Al x x 3 1 x x 204.3829733
alh Al H x x 1 1 x x 69.56142475
sih4 H Si x x 4 1 x x 314.8853143
bh3 H B x x 3 1 x x 278.8450536
bh B H x x 1 1 x x 81.61925643
ch2-trip H C x x 2 1 x x 194.7627952
sih H Si x x 1 1 x x 72.1804204
si2h6 H Si x x 6 2 x x 524.908201
ch3 H C x x 3 1 x x 310.3738775
ch4 H C x x 4 1 x x 420.5741933
b2h6 H B x x 6 2 x x 610.3270546
sih3f H F Si x 3 1 1 x 374.8353058
ph3 H P x x 3 1 x x 240.1626128
c2h6 H C x x 6 2 x x 718.4750485
propane H C x x 8 3 x x 1018.275193
ch2-sing H C x x 2 1 x x 185.8429865
ch C H x x 1 1 x x 84.90498068
h2s H S x x 2 1 x x 182.7109897
hs S H x x 1 1 x x 88.30378314
c2h5f H C F x 5 2 1 x 733.5454108
ch3nh2 H C N x 5 1 1 x 592.3240189
ch3f H F C x 3 1 1 x 429.7553568
propene H C x x 6 3 x x 876.4099551
nh3 H N x x 3 1 x x 302.3814887
ethanol H C O x 6 2 1 x 823.6536386
ch3nh H C N x 4 1 1 x 488.6414302
c2h4 H C x x 4 2 x x 572.8543911
methanol H C O x 4 1 1 x 520.9391186
hcl Cl H x x 1 1 x x 106.7100541
nh2 H N x x 2 1 x x 188.909249
nh N H x x 1 1 x x 88.60156409
ch2nh2 H C N x 4 1 1 x 497.4851336
bhf2 F B H x 2 1 1 x 418.3886452
h2o H O x x 2 1 x x 234.4446467
hf F H x x 1 1 x x 142.0547953
ch2ch H C x x 3 2 x x 458.9594103
oh O H x x 1 1 x x 109.9719486
propyne H C x x 4 3 x x 722.9318754
acetaldehyde H C O x 4 2 1 x 696.2252266
allene H C x x 4 3 x x 726.0025747
sif4 F Si x x 4 1 x x 573.5156868
bf3 F B x x 3 1 x x 481.5047964
c2h3f H C F x 3 2 1 x 591.2424701
oxirane H C O x 4 2 1 x 671.5819987
ch2f2 H F C x 2 2 1 x 451.0608028
alf3 F Al x x 3 1 x x 428.2000167
bef2 F Be x x 2 1 x x 316.0985724
ch2c C H x x 2 2 x x 370.4343764
n2h4 H N x x 4 2 x x 454.1500239
ch2nh H C N x 3 1 1 x 453.0058773
alf Al F x x 1 1 x x 163.5349068
acetic H C O x 4 2 2 x 830.2704324
c2h2 C H x x 2 2 x x 415.6424386
h2co H O C x 2 1 1 x 386.4418234
h2cn H C N x 2 1 1 x 360.2898183
bf F B x x 1 1 x x 186.9794585
becl2 Cl Be x x 2 1 x x 232.0351677
t-hcoh H C O x 2 1 1 x 332.8812521
alcl3 Cl Al x x 3 1 x x 312.0239572
c-hcoh H C O x 2 1 1 x 328.4600786
alcl Al Cl x x 1 1 x x 122.978827
ketene C H O x 2 2 1 x 559.3406083
sif F Si x x 1 1 x x 146.2040856
formic H O C x 2 2 1 x 523.2237166
hcnh H C N x 2 1 1 x 354.9123045
glyoxal C H O x 2 2 2 x 664.9095128
hcof C O H F 1 1 1 1 424.2535662
nh2cl H N Cl x 2 1 1 x 259.4865651
cf4 F C x x 4 1 x x 503.2130972
hccf C H F x 2 1 1 x 419.12028
hcn H C N x 1 1 1 x 326.7768935
hnc H N C x 1 1 1 x 311.9680057
cch C H x x 2 1 x x 277.6691363
hco O C H x 1 1 1 x 295.5709214
co C O x x 1 1 x x 269.146556
oxirene C H O x 2 2 1 x 480.7805332
f2co F O C x 2 1 1 x 448.1719754
hocn C N O H 1 1 1 1 434.9496275
hooh H O x x 2 2 x x 282.5278985
t-n2h2 H N x x 2 2 x x 315.3827966
hnco C O N H 1 1 1 1 465.355267
c-n2h2 H N x x 2 2 x x 310.3410904
cf2 F C x x 2 1 x x 276.6544018
co2 O C x x 2 1 x x 416.5711788
fccf F C x x 2 2 x x 416.6929144
