xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1319.170796
pentane H C x x 12 5 x x 1619.26761
hexane H C x x 14 6 x x 1919.394636
heptane H C x x 16 7 x x 2219.505336
octane H C x x 18 8 x x 2519.628232
isobutane H C x x 10 4 x x 1320.350525
isopentane H C x x 12 5 x x 1619.935792
isohexane H C x x 14 6 x x 1920.020701
isoheptane H C x x 16 7 x x 2220.173598
isooctane H C x x 18 8 x x 2520.12767
neopentane H C x x 12 5 x x 1622.078421
neohexane H C x x 14 6 x x 1921.008751
neoheptane H C x x 16 7 x x 2221.054838
3methylpentane H C x x 14 6 x x 1919.418079
diisopropyl H C x x 14 6 x x 1919.866233
hexamethylethane H C x x 18 8 x x 2519.001963
h2 H x x x 2 x x x 104.6942507
alh3 H Al x x 3 1 x x 204.696609
alh Al H x x 1 1 x x 69.71955474
sih4 H Si x x 4 1 x x 315.27626
bh3 H B x x 3 1 x x 278.9654373
bh B H x x 1 1 x x 81.67027316
ch2-trip H C x x 2 1 x x 194.8273878
sih H Si x x 1 1 x x 72.29797164
si2h6 H Si x x 6 2 x x 526.8612274
ch3 H C x x 3 1 x x 310.4752107
ch4 H C x x 4 1 x x 420.706042
b2h6 H B x x 6 2 x x 610.8903842
sih3f H F Si x 3 1 1 x 375.2782581
ph3 H P x x 3 1 x x 240.4284792
c2h6 H C x x 6 2 x x 718.8783082
propane H C x x 8 3 x x 1019.013879
ch2-sing H C x x 2 1 x x 185.908001
ch C H x x 1 1 x x 84.93999556
h2s H S x x 2 1 x x 182.8617555
hs S H x x 1 1 x x 88.37729335
c2h5f H C F x 5 2 1 x 733.9848133
ch3nh2 H C N x 5 1 1 x 592.6370418
ch3f H F C x 3 1 1 x 429.9115449
propene H C x x 6 3 x x 877.0755756
nh3 H N x x 3 1 x x 302.4596319
ethanol H C O x 6 2 1 x 824.1781565
ch3nh H C N x 4 1 1 x 488.9135661
c2h4 H C x x 4 2 x x 573.1921292
methanol H C O x 4 1 1 x 521.1659298
hcl Cl H x x 1 1 x x 106.7677651
nh2 H N x x 2 1 x x 188.9592356
nh N H x x 1 1 x x 88.62445109
ch2nh2 H C N x 4 1 1 x 497.7630656
bhf2 F B H x 2 1 1 x 418.5635029
h2o H O x x 2 1 x x 234.4810753
hf F H x x 1 1 x x 142.0658889
ch2ch H C x x 3 2 x x 459.2438182
oh O H x x 1 1 x x 109.9884867
propyne H C x x 4 3 x x 723.4508092
acetaldehyde H C O x 4 2 1 x 696.67365
allene H C x x 4 3 x x 726.547411
sif4 F Si x x 4 1 x x 574.1388533
bf3 F B x x 3 1 x x 481.7131978
c2h3f H C F x 3 2 1 x 591.6120119
oxirane H C O x 4 2 1 x 672.0019272
ch2f2 H F C x 2 2 1 x 451.2459044
alf3 F Al x x 3 1 x x 428.6778386
bef2 F Be x x 2 1 x x 316.2418129
ch2c C H x x 2 2 x x 370.6964097
n2h4 H N x x 4 2 x x 454.3811183
ch2nh H C N x 3 1 1 x 453.2446822
alf Al F x x 1 1 x x 163.7533432
acetic H C O x 4 2 2 x 830.853472
c2h2 C H x x 2 2 x x 415.8725484
h2co H O C x 2 1 1 x 386.5973275
h2cn H C N x 2 1 1 x 360.4814688
bf F B x x 1 1 x x 187.0539484
becl2 Cl Be x x 2 1 x x 232.8906051
t-hcoh H C O x 2 1 1 x 333.0310561
alcl3 Cl Al x x 3 1 x x 314.8866615
c-hcoh H C O x 2 1 1 x 328.6121974
alcl Al Cl x x 1 1 x x 124.3174895
ketene C H O x 2 2 1 x 559.6932844
sif F Si x x 1 1 x x 146.3737891
formic H O C x 2 2 1 x 523.4885503
hcnh H C N x 2 1 1 x 355.1015179
glyoxal C H O x 2 2 2 x 665.4035763
hcof C O H F 1 1 1 1 424.4377183
nh2cl H N Cl x 2 1 1 x 259.7894149
cf4 F C x x 4 1 x x 503.4702317
hccf C H F x 2 1 1 x 419.3772267
hcn H C N x 1 1 1 x 326.9211387
hnc H N C x 1 1 1 x 312.1278234
cch C H x x 2 1 x x 277.8757524
hco O C H x 1 1 1 x 295.684022
co C O x x 1 1 x x 269.2286727
oxirene C H O x 2 2 1 x 481.1237542
f2co F O C x 2 1 1 x 448.3895621
hocn C N O H 1 1 1 1 435.1940095
hooh H O x x 2 2 x x 282.6233367
t-n2h2 H N x x 2 2 x x 315.5371028
hnco C O N H 1 1 1 1 465.6081958
c-n2h2 H N x x 2 2 x x 310.497617
cf2 F C x x 2 1 x x 276.7647861
co2 O C x x 2 1 x x 416.7426706
fccf F C x x 2 2 x x 416.9765271
dioxirane H O C x 2 2 1 x 434.7492361
cf C F x x 1 1 x x 145.2221556
ssh S H x x 2 1 x x 176.5012727
hocl O H Cl x 1 1 1 x 176.2287639
nccn N C x x 2 2 x x 540.5191628
n2 N x x x 2 x x x 243.9965888
n2h N H x x 2 1 x x 247.9033989
ocs O C S x 1 1 1 x 361.2309003
sio Si O x x 1 1 x x 197.3350848
clcn Cl C N x 1 1 1 x 308.498951
hoo O H x x 2 1 x x 195.4073791
hcno C H N O 1 1 1 1 402.1244302
honc H O N C 1 1 1 1 377.8456819
hno N H O x 1 1 1 x 224.0341207
hof H O F x 1 1 1 x 172.543774
c-hono O N H x 2 1 1 x 345.7416625
t-hono O N H x 2 1 1 x 346.574552
cs2 S C x x 2 1 x x 304.8191568
hnnn N H x x 3 1 x x 374.4061389
cs C S x x 1 1 x x 180.9250731
cn C N x x 1 1 x x 197.9680991
so3 O S x x 3 1 x x 377.2765898
ccl2 Cl C x x 2 1 x x 197.2310708
bn3pi B N x x 1 1 x x 123.320668
so2 O S x x 2 1 x x 281.8907045
no N O x x 1 1 x x 172.3294682
so S O x x 1 1 x x 141.8265501
n2o N O x x 2 1 x x 311.5079294
c-hooo O H x x 3 1 x x 271.3875565
s2 S x x x 2 x x x 117.7389922
p4 P x x x 4 x x x 326.3024568
cl2 Cl x x x 2 x x x 67.33431114
o2 O x x x 2 x x x 143.829971
f2 F x x x 2 x x x 52.87282106
t-hooo O H x x 3 1 x x 272.5574443
s2o S O x x 2 1 x x 232.0811048
p2 P x x x 2 x x x 125.3132299
clf Cl F x x 1 1 x x 72.63092116
no2 O N x x 2 1 x x 270.4517232
clo Cl O x x 1 1 x x 81.97516456
s3 S x x x 3 x x x 191.3819578
cl2o Cl O x x 2 1 x x 121.6096622
s4-c2v S x x x 4 x x x 270.3301247
of O F x x 1 1 x x 72.01556019
c2 C x x x 2 x x x 155.2221332
oclo O Cl x x 2 1 x x 162.677581
f2o F O x x 2 1 x x 123.7459519
b2 B x x x 2 x x x 80.89079312
fo2 O F x x 2 1 x x 175.3264317
cloo O Cl x x 2 1 x x 162.3337567
foof F O x x 2 2 x x 206.7488266
o3 O x x x 3 x x x 185.4455532
bn B N x x 1 1 x x 118.4730667
be2 Be x x x 2 x x x 12.59416512
C4H4 C H x x 4 4 x x 832.0911767
C6H6 C H x x 6 6 x x 1306.256423
C8H8 C H x x 8 8 x x 1773.644325
C10H10 C H x x 10 10 x x 2277.851313
C12H12 C H x x 12 12 x x 2811.199697
C20H20 C H x x 20 20 x x 4773.304953
