xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1312.85654
pentane H C x x 12 5 x x 1610.874138
hexane H C x x 14 6 x x 1908.914402
heptane H C x x 16 7 x x 2206.934554
octane H C x x 18 8 x x 2504.968098
isobutane H C x x 10 4 x x 1313.613436
isopentane H C x x 12 5 x x 1610.84714
isohexane H C x x 14 6 x x 1908.803424
isoheptane H C x x 16 7 x x 2206.845349
isooctane H C x x 18 8 x x 2502.494975
neopentane H C x x 12 5 x x 1612.345269
neohexane H C x x 14 6 x x 1908.622695
neoheptane H C x x 16 7 x x 2206.486809
3methylpentane H C x x 14 6 x x 1907.952139
diisopropyl H C x x 14 6 x x 1907.819272
hexamethylethane H C x x 18 8 x x 2499.637726
h2 H x x x 2 x x x 104.6459605
alh3 H Al x x 3 1 x x 203.4609695
alh Al H x x 1 1 x x 69.12820053
sih4 H Si x x 4 1 x x 313.5665864
bh3 H B x x 3 1 x x 278.3420555
bh B H x x 1 1 x x 81.42392282
ch2-trip H C x x 2 1 x x 194.4752599
sih H Si x x 1 1 x x 71.81884085
si2h6 H Si x x 6 2 x x 520.2321758
ch3 H C x x 3 1 x x 309.9084122
ch4 H C x x 4 1 x x 419.9479509
b2h6 H B x x 6 2 x x 608.0993407
sih3f H F Si x 3 1 1 x 373.3948029
ph3 H P x x 3 1 x x 239.210511
c2h6 H C x x 6 2 x x 716.6020872
propane H C x x 8 3 x x 1014.742991
ch2-sing H C x x 2 1 x x 185.5542987
ch C H x x 1 1 x x 84.75494568
h2s H S x x 2 1 x x 182.1601809
hs S H x x 1 1 x x 88.04274613
c2h5f H C F x 5 2 1 x 731.5336743
ch3nh2 H C N x 5 1 1 x 590.8471321
ch3f H F C x 3 1 1 x 429.0411896
propene H C x x 6 3 x x 873.4514201
nh3 H N x x 3 1 x x 301.993615
ethanol H C O x 6 2 1 x 821.1886414
ch3nh H C N x 4 1 1 x 487.4086487
c2h4 H C x x 4 2 x x 571.4264833
methanol H C O x 4 1 1 x 519.8862212
hcl Cl H x x 1 1 x x 106.4926991
nh2 H N x x 2 1 x x 188.6677063
nh N H x x 1 1 x x 88.4942185
ch2nh2 H C N x 4 1 1 x 496.2265534
bhf2 F B H x 2 1 1 x 417.7151626
h2o H O x x 2 1 x x 234.2628046
hf F H x x 1 1 x x 141.9984055
ch2ch H C x x 3 2 x x 457.8119445
oh O H x x 1 1 x x 109.8921297
propyne H C x x 4 3 x x 720.7629398
acetaldehyde H C O x 4 2 1 x 694.2755355
allene H C x x 4 3 x x 723.7390811
sif4 F Si x x 4 1 x x 571.6020572
bf3 F B x x 3 1 x x 480.7189027
c2h3f H C F x 3 2 1 x 589.7008189
oxirane H C O x 4 2 1 x 669.785924
ch2f2 H F C x 2 2 1 x 450.2398714
alf3 F Al x x 3 1 x x 426.9317652
bef2 F Be x x 2 1 x x 315.6004635
ch2c C H x x 2 2 x x 369.4498544
n2h4 H N x x 4 2 x x 453.0341543
ch2nh H C N x 3 1 1 x 451.9761468
alf Al F x x 1 1 x x 163.0164057
acetic H C O x 4 2 2 x 827.694965
c2h2 C H x x 2 2 x x 414.7645859
h2co H O C x 2 1 1 x 385.7877362
h2cn H C N x 2 1 1 x 359.5057471
bf F B x x 1 1 x x 186.7287369
becl2 Cl Be x x 2 1 x x 229.8412359
t-hcoh H C O x 2 1 1 x 332.2472966
alcl3 Cl Al x x 3 1 x x 306.4439413
c-hcoh H C O x 2 1 1 x 327.8195903
alcl Al Cl x x 1 1 x x 120.8140476
ketene C H O x 2 2 1 x 557.9431143
sif F Si x x 1 1 x x 145.7496237
formic H O C x 2 2 1 x 522.1080157
hcnh H C N x 2 1 1 x 354.1344029
glyoxal C H O x 2 2 2 x 662.8920775
