xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.4337991
alh3 H Al x x 3 1 x x 205.5064991
alh Al H x x 1 1 x x 68.92677575
sih4 H Si x x 4 1 x x 316.3445042
bh3 H B x x 3 1 x x 279.7799047
bh B H x x 1 1 x x 81.11468544
ch2-trip H C x x 2 1 x x 193.9044025
sih H Si x x 1 1 x x 71.42720782
si2h6 H Si x x 6 2 x x 525.1973454
ch3 H C x x 3 1 x x 308.7693164
ch4 H C x x 4 1 x x 418.1925608
b2h6 H B x x 6 2 x x 610.8908116
sih3f H F Si x 3 1 1 x 371.8105365
ph3 H P x x 3 1 x x 238.1476425
c2h6 H C x x 6 2 x x 713.5361042
propane H C x x 8 3 x x 1010.968429
ch2-sing H C x x 2 1 x x 183.7343295
ch C H x x 1 1 x x 83.20245514
h2s H S x x 2 1 x x 180.2237286
hs S H x x 1 1 x x 86.83968592
c2h5f H C F x 5 2 1 x 722.5039958
ch3nh2 H C N x 5 1 1 x 582.4890355
ch3f H F C x 3 1 1 x 421.3232785
propene H C x x 6 3 x x 865.1305972
nh3 H N x x 3 1 x x 295.2148177
ethanol H C O x 6 2 1 x 810.849667
ch3nh H C N x 4 1 1 x 478.9621558
c2h4 H C x x 4 2 x x 564.4985307
methanol H C O x 4 1 1 x 510.6855153
hcl Cl H x x 1 1 x x 105.0626945
nh2 H N x x 2 1 x x 183.2141378
nh N H x x 1 1 x x 85.24188434
ch2nh2 H C N x 4 1 1 x 486.6977754
bhf2 F B H x 2 1 1 x 407.8130857
h2o H O x x 2 1 x x 227.1569074
hf F H x x 1 1 x x 136.9240958
ch2ch H C x x 3 2 x x 450.1580681
oh O H x x 1 1 x x 105.7181384
propyne H C x x 4 3 x x 708.6429592
acetaldehyde H C O x 4 2 1 x 679.2602088
allene H C x x 4 3 x x 710.1501863
sif4 F Si x x 4 1 x x 557.5039736
bf3 F B x x 3 1 x x 466.4929464
c2h3f H C F x 3 2 1 x 576.1081219
oxirane H C O x 4 2 1 x 655.3471913
ch2f2 H F C x 2 2 1 x 436.6571423
alf3 F Al x x 3 1 x x 414.0847944
bef2 F Be x x 2 1 x x 304.695926
ch2c C H x x 2 2 x x 360.1637761
n2h4 H N x x 4 2 x x 438.8536549
ch2nh H C N x 3 1 1 x 439.5276262
