xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.4333282
alh3 H Al x x 3 1 x x 205.4711142
alh Al H x x 1 1 x x 68.92290077
sih4 H Si x x 4 1 x x 315.984339
bh3 H B x x 3 1 x x 279.2684976
bh B H x x 1 1 x x 81.11379023
ch2-trip H C x x 2 1 x x 193.7500429
sih H Si x x 1 1 x x 71.42551438
si2h6 H Si x x 6 2 x x 524.4005874
ch3 H C x x 3 1 x x 308.4646008
ch4 H C x x 4 1 x x 417.8168352
b2h6 H B x x 6 2 x x 608.366841
sih3f H F Si x 3 1 1 x 371.438462
ph3 H P x x 3 1 x x 237.6349444
c2h6 H C x x 6 2 x x 712.7328018
propane H C x x 8 3 x x 1009.466011
ch2-sing H C x x 2 1 x x 183.6882689
ch C H x x 1 1 x x 83.20185215
h2s H S x x 2 1 x x 180.0908695
hs S H x x 1 1 x x 86.83918416
c2h5f H C F x 5 2 1 x 721.8644361
ch3nh2 H C N x 5 1 1 x 581.9049529
ch3f H F C x 3 1 1 x 421.1842806
propene H C x x 6 3 x x 864.2441485
nh3 H N x x 3 1 x x 295.1424358
ethanol H C O x 6 2 1 x 810.0342294
ch3nh H C N x 4 1 1 x 478.5005321
c2h4 H C x x 4 2 x x 564.1133917
methanol H C O x 4 1 1 x 510.3341607
hcl Cl H x x 1 1 x x 105.0624457
nh2 H N x x 2 1 x x 183.1919489
nh N H x x 1 1 x x 85.24134286
ch2nh2 H C N x 4 1 1 x 486.3260104
bhf2 F B H x 2 1 1 x 407.7906985
h2o H O x x 2 1 x x 227.1441301
hf F H x x 1 1 x x 136.9237023
ch2ch H C x x 3 2 x x 449.9474248
oh O H x x 1 1 x x 105.7178094
propyne H C x x 4 3 x x 708.2297892
acetaldehyde H C O x 4 2 1 x 678.898433
allene H C x x 4 3 x x 709.804258
sif4 F Si x x 4 1 x x 556.9919955
bf3 F B x x 3 1 x x 466.4850107
c2h3f H C F x 3 2 1 x 575.8697978
oxirane H C O x 4 2 1 x 654.8932168
ch2f2 H F C x 2 2 1 x 436.6722216
alf3 F Al x x 3 1 x x 413.7425515
bef2 F Be x x 2 1 x x 304.5758948
ch2c C H x x 2 2 x x 360.0175758
n2h4 H N x x 4 2 x x 438.4961217
ch2nh H C N x 3 1 1 x 439.2424091
alf Al F x x 1 1 x x 156.7576977
acetic H C O x 4 2 2 x 805.224995
c2h2 C H x x 2 2 x x 404.4365673
h2co H O C x 2 1 1 x 372.5253182
h2cn H C N x 2 1 1 x 347.0961632
bf F B x x 1 1 x x 179.6285039
becl2 Cl Be x x 2 1 x x 227.9509622
t-hcoh H C O x 2 1 1 x 319.6661223
alcl3 Cl Al x x 3 1 x x 306.5509257
c-hcoh H C O x 2 1 1 x 314.8285611
alcl Al Cl x x 1 1 x x 118.9569261
ketene C H O x 2 2 1 x 538.3347847
sif F Si x x 1 1 x x 138.9205221
formic H O C x 2 2 1 x 500.8384834
hcnh H C N x 2 1 1 x 339.7672775
glyoxal C H O x 2 2 2 x 635.8767819
hcof C O H F 1 1 1 1 403.5871207
nh2cl H N Cl x 2 1 1 x 247.7532744
cf4 F C x x 4 1 x x 478.7953986
hccf C H F x 2 1 1 x 401.0452966
hcn H C N x 1 1 1 x 311.094677
hnc H N C x 1 1 1 x 297.507463
cch C H x x 2 1 x x 266.6658968
hco O C H x 1 1 1 x 280.6177347
co C O x x 1 1 x x 255.4577146
oxirene C H O x 2 2 1 x 458.3297207
f2co F O C x 2 1 1 x 422.4481358
hocn C N O H 1 1 1 1 410.5588676
hooh H O x x 2 2 x x 263.3078395
t-n2h2 H N x x 2 2 x x 295.9347773
hnco C O N H 1 1 1 1 439.6687037
c-n2h2 H N x x 2 2 x x 290.4353625
cf2 F C x x 2 1 x x 258.3923946
co2 O C x x 2 1 x x 391.5463684
fccf F C x x 2 2 x x 391.8189934
dioxirane H O C x 2 2 1 x 408.4547238
cf C F x x 1 1 x x 134.7313997
ssh S H x x 2 1 x x 166.4515542
hocl O H Cl x 1 1 1 x 163.0821666
nccn N C x x 2 2 x x 505.134301
n2 N x x x 2 x x x 225.3427183
n2h N H x x 2 1 x x 228.3570607
ocs O C S x 1 1 1 x 338.5040671
sio Si O x x 1 1 x x 183.0304596
clcn Cl C N x 1 1 1 x 287.6954358
hoo O H x x 2 1 x x 175.9862468
hcno C H N O 1 1 1 1 370.7042929
honc H O N C 1 1 1 1 351.7629916
hno N H O x 1 1 1 x 203.359441
hof H O F x 1 1 1 x 153.9599377
c-hono O N H x 2 1 1 x 311.8471274
t-hono O N H x 2 1 1 x 312.1690819
cs2 S C x x 2 1 x x 283.9553048
hnnn N H x x 3 1 x x 339.0277535
cs C S x x 1 1 x x 168.0428105
cn C N x x 1 1 x x 178.7045357
so3 O S x x 3 1 x x 340.8582962
ccl2 Cl C x x 2 1 x x 180.5225752
bn3pi B N x x 1 1 x x 111.3185386
