xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1308.22653
pentane H C x x 12 5 x x 1605.445872
hexane H C x x 14 6 x x 1902.680562
heptane H C x x 16 7 x x 2199.919903
octane H C x x 18 8 x x 2497.157953
isobutane H C x x 10 4 x x 1309.293758
isopentane H C x x 12 5 x x 1605.950515
isohexane H C x x 14 6 x x 1903.147598
isoheptane H C x x 16 7 x x 2200.419092
isooctane H C x x 18 8 x x 2497.069582
neopentane H C x x 12 5 x x 1607.971392
neohexane H C x x 14 6 x x 1903.949662
neoheptane H C x x 16 7 x x 2201.108823
3methylpentane H C x x 14 6 x x 1902.486078
diisopropyl H C x x 14 6 x x 1902.818175
hexamethylethane H C x x 18 8 x x 2495.719777
h2 H x x x 2 x x x 104.4765313
alh3 H Al x x 3 1 x x 205.9101949
alh Al H x x 1 1 x x 69.17385806
sih4 H Si x x 4 1 x x 316.576781
bh3 H B x x 3 1 x x 279.6071106
bh B H x x 1 1 x x 81.26329326
ch2-trip H C x x 2 1 x x 193.9801242
sih H Si x x 1 1 x x 71.65691937
si2h6 H Si x x 6 2 x x 526.1472204
ch3 H C x x 3 1 x x 308.8432583
ch4 H C x x 4 1 x x 418.3428751
b2h6 H B x x 6 2 x x 609.478629
sih3f H F Si x 3 1 1 x 371.8750278
ph3 H P x x 3 1 x x 238.2575108
c2h6 H C x x 6 2 x x 713.7514498
propane H C x x 8 3 x x 1010.984122
ch2-sing H C x x 2 1 x x 183.9326679
ch C H x x 1 1 x x 83.32787635
h2s H S x x 2 1 x x 180.4838786
hs S H x x 1 1 x x 87.02695436
c2h5f H C F x 5 2 1 x 722.6713709
ch3nh2 H C N x 5 1 1 x 582.784302
ch3f H F C x 3 1 1 x 421.5298791
propene H C x x 6 3 x x 865.7607987
nh3 H N x x 3 1 x x 295.4991388
ethanol H C O x 6 2 1 x 811.0408821
ch3nh H C N x 4 1 1 x 479.3109603
c2h4 H C x x 4 2 x x 565.0015879
methanol H C O x 4 1 1 x 510.8960978
hcl Cl H x x 1 1 x x 105.2262495
nh2 H N x x 2 1 x x 183.4127277
nh N H x x 1 1 x x 85.33843611
ch2nh2 H C N x 4 1 1 x 487.1310962
bhf2 F B H x 2 1 1 x 407.9836053
h2o H O x x 2 1 x x 227.3151873
hf F H x x 1 1 x x 136.9780709
ch2ch H C x x 3 2 x x 450.6934238
oh O H x x 1 1 x x 105.7916179
propyne H C x x 4 3 x x 709.5150091
acetaldehyde H C O x 4 2 1 x 679.840329
allene H C x x 4 3 x x 711.1615859
sif4 F Si x x 4 1 x x 557.5236548
bf3 F B x x 3 1 x x 466.8529846
c2h3f H C F x 3 2 1 x 576.6379037
oxirane H C O x 4 2 1 x 655.7719423
ch2f2 H F C x 2 2 1 x 436.9840898
alf3 F Al x x 3 1 x x 414.1724081
bef2 F Be x x 2 1 x x 304.816391
ch2c C H x x 2 2 x x 360.709633
n2h4 H N x x 4 2 x x 439.2317685
ch2nh H C N x 3 1 1 x 439.9564622
alf Al F x x 1 1 x x 157.0222932
acetic H C O x 4 2 2 x 806.2786435
c2h2 C H x x 2 2 x x 404.9955492
h2co H O C x 2 1 1 x 372.9373001
h2cn H C N x 2 1 1 x 347.6739451
bf F B x x 1 1 x x 179.8011214
becl2 Cl Be x x 2 1 x x 228.8776753
t-hcoh H C O x 2 1 1 x 320.104733
alcl3 Cl Al x x 3 1 x x 308.3038867
c-hcoh H C O x 2 1 1 x 315.2843322
alcl Al Cl x x 1 1 x x 119.7573255
ketene C H O x 2 2 1 x 539.1313106
sif F Si x x 1 1 x x 139.178527
formic H O C x 2 2 1 x 501.4172309
hcnh H C N x 2 1 1 x 340.3242862
glyoxal C H O x 2 2 2 x 636.764502
hcof C O H F 1 1 1 1 403.9862243
nh2cl H N Cl x 2 1 1 x 248.4331459
cf4 F C x x 4 1 x x 479.3782356
hccf C H F x 2 1 1 x 401.5842486
hcn H C N x 1 1 1 x 311.4760914
hnc H N C x 1 1 1 x 297.9439884
cch C H x x 2 1 x x 267.1339862
hco O C H x 1 1 1 x 280.9078938
co C O x x 1 1 x x 255.6694433
oxirene C H O x 2 2 1 x 458.9863768
f2co F O C x 2 1 1 x 422.9584657
hocn C N O H 1 1 1 1 411.1241283
hooh H O x x 2 2 x x 263.5963596
t-n2h2 H N x x 2 2 x x 296.4559437
hnco C O N H 1 1 1 1 440.274768
c-n2h2 H N x x 2 2 x x 290.9828518
cf2 F C x x 2 1 x x 258.6980267
co2 O C x x 2 1 x x 391.9673235
fccf F C x x 2 2 x x 392.345646
dioxirane H O C x 2 2 1 x 408.9752864
cf C F x x 1 1 x x 134.8864723
ssh S H x x 2 1 x x 167.4177567
hocl O H Cl x 1 1 1 x 163.5045343
nccn N C x x 2 2 x x 506.1225205
n2 N x x x 2 x x x 225.5632498
n2h N H x x 2 1 x x 228.7364115
ocs O C S x 1 1 1 x 339.2996343
sio Si O x x 1 1 x x 183.3910117
clcn Cl C N x 1 1 1 x 288.4357282
hoo O H x x 2 1 x x 176.2159735
hcno C H N O 1 1 1 1 371.3061018
honc H O N C 1 1 1 1 352.3507703
hno N H O x 1 1 1 x 203.6544538
hof H O F x 1 1 1 x 154.1273027
c-hono O N H x 2 1 1 x 312.368186
t-hono O N H x 2 1 1 x 312.6616024
cs2 S C x x 2 1 x x 285.3126283
hnnn N H x x 3 1 x x 339.722543
cs C S x x 1 1 x x 168.5658769
cn C N x x 1 1 x x 178.9840778
so3 O S x x 3 1 x x 341.8692754
ccl2 Cl C x x 2 1 x x 181.7013433
bn3pi B N x x 1 1 x x 111.6405088
so2 O S x x 2 1 x x 254.3983959
no N O x x 1 1 x x 153.406982
so S O x x 1 1 x x 127.5045488
n2o N O x x 2 1 x x 276.0953012
c-hooo O H x x 3 1 x x 232.9210361
s2 S x x x 2 x x x 107.8240922
p4 P x x x 4 x x x 298.5234951
cl2 Cl x x x 2 x x x 60.41301768
o2 O x x x 2 x x x 124.4646279
f2 F x x x 2 x x x 34.5533988
t-hooo O H x x 3 1 x x 232.2756683
s2o S O x x 2 1 x x 206.1465637
p2 P x x x 2 x x x 112.5379073
clf Cl F x x 1 1 x x 61.35823174
no2 O N x x 2 1 x x 234.2349887
clo Cl O x x 1 1 x x 67.70708677
s3 S x x x 3 x x x 168.6708078
cl2o Cl O x x 2 1 x x 100.9799951
s4-c2v S x x x 4 x x x 237.8176884
of O F x x 1 1 x x 54.19993033
c2 C x x x 2 x x x 140.7356484
oclo O Cl x x 2 1 x x 131.4054873
f2o F O x x 2 1 x x 91.71613182
b2 B x x x 2 x x x 74.72853234
fo2 O F x x 2 1 x x 134.292078
cloo O Cl x x 2 1 x x 128.1062892
foof F O x x 2 2 x x 150.640941
o3 O x x x 3 x x x 142.8048547
bn B N x x 1 1 x x 99.65257839
be2 Be x x x 2 x x x 8.72369651
C4H4 C H x x 4 4 x x 813.9912249
C6H6 C H x x 6 6 x x 1281.48307
C8H8 C H x x 8 8 x x 1741.495678
C10H10 C H x x 10 10 x x 2239.197187
C12H12 C H x x 12 12 x x 2768.9108
C20H20 C H x x 20 20 x x 4706.209062
