xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.4730099
alh3 H Al x x 3 1 x x 206.219048
alh Al H x x 1 1 x x 69.3403929
sih4 H Si x x 4 1 x x 316.914966
bh3 H B x x 3 1 x x 279.6735172
bh B H x x 1 1 x x 81.30239705
ch2-trip H C x x 2 1 x x 194.0079028
sih H Si x x 1 1 x x 71.77480862
si2h6 H Si x x 6 2 x x 527.8401665
ch3 H C x x 3 1 x x 308.8763013
ch4 H C x x 4 1 x x 418.3703836
b2h6 H B x x 6 2 x x 609.8293449
sih3f H F Si x 3 1 1 x 372.2717507
ph3 H P x x 3 1 x x 238.4743481
c2h6 H C x x 6 2 x x 713.8983886
propane H C x x 8 3 x x 1011.283649
ch2-sing H C x x 2 1 x x 183.9605638
ch C H x x 1 1 x x 83.34685104
h2s H S x x 2 1 x x 180.6061077
hs S H x x 1 1 x x 87.0911526
c2h5f H C F x 5 2 1 x 722.8559378
ch3nh2 H C N x 5 1 1 x 582.8814998
ch3f H F C x 3 1 1 x 421.582795
propene H C x x 6 3 x x 866.1263404
nh3 H N x x 3 1 x x 295.5051259
ethanol H C O x 6 2 1 x 811.2547499
ch3nh H C N x 4 1 1 x 479.4175343
c2h4 H C x x 4 2 x x 565.1899665
methanol H C O x 4 1 1 x 510.9707838
hcl Cl H x x 1 1 x x 105.2719774
nh2 H N x x 2 1 x x 183.4217067
nh N H x x 1 1 x x 85.34511134
ch2nh2 H C N x 4 1 1 x 487.2470317
bhf2 F B H x 2 1 1 x 408.1098423
h2o H O x x 2 1 x x 227.3174279
hf F H x x 1 1 x x 136.9780997
ch2ch H C x x 3 2 x x 450.8767132
oh O H x x 1 1 x x 105.7948713
propyne H C x x 4 3 x x 709.8621528
acetaldehyde H C O x 4 2 1 x 680.0829119
allene H C x x 4 3 x x 711.5382079
sif4 F Si x x 4 1 x x 558.1101942
bf3 F B x x 3 1 x x 467.0131178
c2h3f H C F x 3 2 1 x 576.8625632
oxirane H C O x 4 2 1 x 655.999896
ch2f2 H F C x 2 2 1 x 437.065417
alf3 F Al x x 3 1 x x 414.6538963
bef2 F Be x x 2 1 x x 304.9450541
ch2c C H x x 2 2 x x 360.9032219
n2h4 H N x x 4 2 x x 439.2872403
ch2nh H C N x 3 1 1 x 440.0780408
alf Al F x x 1 1 x x 157.2571773
acetic H C O x 4 2 2 x 806.6083205
c2h2 C H x x 2 2 x x 405.1684966
h2co H O C x 2 1 1 x 373.0228608
h2cn H C N x 2 1 1 x 347.7898543
bf F B x x 1 1 x x 179.8707286
becl2 Cl Be x x 2 1 x x 229.74173
t-hcoh H C O x 2 1 1 x 320.1885073
alcl3 Cl Al x x 3 1 x x 310.9442158
c-hcoh H C O x 2 1 1 x 315.3676006
alcl Al Cl x x 1 1 x x 121.0401994
ketene C H O x 2 2 1 x 539.3847844
sif F Si x x 1 1 x x 139.3587085
formic H O C x 2 2 1 x 501.5706812
hcnh H C N x 2 1 1 x 340.4420151
