xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.4742272
alh3 H Al x x 3 1 x x 206.4435429
alh Al H x x 1 1 x x 69.45632359
sih4 H Si x x 4 1 x x 317.1617585
bh3 H B x x 3 1 x x 279.7297919
bh B H x x 1 1 x x 81.32882751
ch2-trip H C x x 2 1 x x 194.0341297
sih H Si x x 1 1 x x 71.85310729
si2h6 H Si x x 6 2 x x 529.6298425
ch3 H C x x 3 1 x x 308.914974
ch4 H C x x 4 1 x x 418.4169404
b2h6 H B x x 6 2 x x 610.1522034
sih3f H F Si x 3 1 1 x 372.5636708
ph3 H P x x 3 1 x x 238.6272781
c2h6 H C x x 6 2 x x 714.0804294
propane H C x x 8 3 x x 1011.659622
ch2-sing H C x x 2 1 x x 183.986798
ch C H x x 1 1 x x 83.36190807
h2s H S x x 2 1 x x 180.6898863
hs S H x x 1 1 x x 87.13323234
c2h5f H C F x 5 2 1 x 723.0641246
ch3nh2 H C N x 5 1 1 x 583.0122925
ch3f H F C x 3 1 1 x 421.6449283
propene H C x x 6 3 x x 866.490887
nh3 H N x x 3 1 x x 295.528943
ethanol H C O x 6 2 1 x 811.5073796
ch3nh H C N x 4 1 1 x 479.5357093
c2h4 H C x x 4 2 x x 565.3584963
methanol H C O x 4 1 1 x 511.0641425
hcl Cl H x x 1 1 x x 105.3025988
nh2 H N x x 2 1 x x 183.4380575
nh N H x x 1 1 x x 85.35315976
ch2nh2 H C N x 4 1 1 x 487.3705572
bhf2 F B H x 2 1 1 x 408.2048744
h2o H O x x 2 1 x x 227.3282025
hf F H x x 1 1 x x 136.981152
ch2ch H C x x 3 2 x x 451.0263466
oh O H x x 1 1 x x 105.8002464
propyne H C x x 4 3 x x 710.170087
acetaldehyde H C O x 4 2 1 x 680.3146208
allene H C x x 4 3 x x 711.8635452
sif4 F Si x x 4 1 x x 558.5528214
bf3 F B x x 3 1 x x 467.1315404
c2h3f H C F x 3 2 1 x 577.0557953
oxirane H C O x 4 2 1 x 656.2083584
ch2f2 H F C x 2 2 1 x 437.1458125
alf3 F Al x x 3 1 x x 415.0299766
bef2 F Be x x 2 1 x x 305.0352061
ch2c C H x x 2 2 x x 361.0480079
n2h4 H N x x 4 2 x x 439.3756244
ch2nh H C N x 3 1 1 x 440.1884883
alf Al F x x 1 1 x x 157.4319995
acetic H C O x 4 2 2 x 806.9222936
c2h2 C H x x 2 2 x x 405.2983762
h2co H O C x 2 1 1 x 373.0948824
h2cn H C N x 2 1 1 x 347.8832911
bf F B x x 1 1 x x 179.9158524
becl2 Cl Be x x 2 1 x x 230.5028919
t-hcoh H C O x 2 1 1 x 320.2588708
alcl3 Cl Al x x 3 1 x x 313.8211292
c-hcoh H C O x 2 1 1 x 315.4382413
alcl Al Cl x x 1 1 x x 122.3357261
ketene C H O x 2 2 1 x 539.5866145
sif F Si x x 1 1 x x 139.4847194
formic H O C x 2 2 1 x 501.7011674
hcnh H C N x 2 1 1 x 340.5358849
glyoxal C H O x 2 2 2 x 637.3871931
hcof C O H F 1 1 1 1 404.1935527
nh2cl H N Cl x 2 1 1 x 248.8530381
cf4 F C x x 4 1 x x 479.6513441
hccf C H F x 2 1 1 x 401.9405749
hcn H C N x 1 1 1 x 311.6593502
hnc H N C x 1 1 1 x 298.147934
cch C H x x 2 1 x x 267.4349824
hco O C H x 1 1 1 x 281.0425958
co C O x x 1 1 x x 255.7874067
oxirene C H O x 2 2 1 x 459.4285129
f2co F O C x 2 1 1 x 423.2216393
hocn C N O H 1 1 1 1 411.4346882
hooh H O x x 2 2 x x 263.6600336
t-n2h2 H N x x 2 2 x x 296.5926096
hnco C O N H 1 1 1 1 440.5960937
c-n2h2 H N x x 2 2 x x 291.1194112
cf2 F C x x 2 1 x x 258.8316139
co2 O C x x 2 1 x x 392.2020581
fccf F C x x 2 2 x x 392.7549562
dioxirane H O C x 2 2 1 x 409.221543
cf C F x x 1 1 x x 134.9569884
ssh S H x x 2 1 x x 169.1150855
hocl O H Cl x 1 1 1 x 163.7818561
nccn N C x x 2 2 x x 506.8158465
n2 N x x x 2 x x x 225.6612117
n2h N H x x 2 1 x x 228.8555064
ocs O C S x 1 1 1 x 340.1788544
sio Si O x x 1 1 x x 183.889277
clcn Cl C N x 1 1 1 x 289.2161668
hoo O H x x 2 1 x x 176.2730211
hcno C H N O 1 1 1 1 371.6199716
honc H O N C 1 1 1 1 352.6742925
hno N H O x 1 1 1 x 203.7392977
hof H O F x 1 1 1 x 154.1622379
c-hono O N H x 2 1 1 x 312.5503196
t-hono O N H x 2 1 1 x 312.838043
cs2 S C x x 2 1 x x 287.2371426
hnnn N H x x 3 1 x x 340.0012818
cs C S x x 1 1 x x 169.2756138
cn C N x x 1 1 x x 179.1565736
so3 O S x x 3 1 x x 342.8555335
ccl2 Cl C x x 2 1 x x 183.1993145
bn3pi B N x x 1 1 x x 111.9194198
so2 O S x x 2 1 x x 255.0231426
no N O x x 1 1 x x 153.4740636
so S O x x 1 1 x x 127.8059039
n2o N O x x 2 1 x x 276.3037496
c-hooo O H x x 3 1 x x 233.0547206
s2 S x x x 2 x x x 109.393289
p4 P x x x 4 x x x 310.142795
cl2 Cl x x x 2 x x x 61.32495876
o2 O x x x 2 x x x 124.5110261
f2 F x x x 2 x x x 34.56892186
t-hooo O H x x 3 1 x x 232.4035395
s2o S O x x 2 1 x x 208.1449999
p2 P x x x 2 x x x 114.9583032
clf Cl F x x 1 1 x x 61.50256739
no2 O N x x 2 1 x x 234.4001835
clo Cl O x x 1 1 x x 67.93636155
s3 S x x x 3 x x x 172.3199205
cl2o Cl O x x 2 1 x x 102.0006164
s4-c2v S x x x 4 x x x 244.3891098
of O F x x 1 1 x x 54.22713667
c2 C x x x 2 x x x 141.0338765
oclo O Cl x x 2 1 x x 131.8972168
f2o F O x x 2 1 x x 91.77787948
b2 B x x x 2 x x x 75.48348747
fo2 O F x x 2 1 x x 134.3814789
cloo O Cl x x 2 1 x x 128.4809755
foof F O x x 2 2 x x 150.7708948
o3 O x x x 3 x x x 142.927584
bn B N x x 1 1 x x 99.93180303
be2 Be x x x 2 x x x 10.43883577
