xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.588612
pentane H C x x 12 5 x x 1599.255066
hexane H C x x 14 6 x x 1894.929006
heptane H C x x 16 7 x x 2190.603869
octane H C x x 18 8 x x 2486.277946
isobutane H C x x 10 4 x x 1304.357821
isopentane H C x x 12 5 x x 1599.224998
isohexane H C x x 14 6 x x 1894.815103
isoheptane H C x x 16 7 x x 2190.499963
isooctane H C x x 18 8 x x 2483.782693
neopentane H C x x 12 5 x x 1600.821913
neohexane H C x x 14 6 x x 1894.742535
neoheptane H C x x 16 7 x x 2190.235744
3methylpentane H C x x 14 6 x x 1893.942338
diisopropyl H C x x 14 6 x x 1893.85666
hexamethylethane H C x x 18 8 x x 2481.163131
h2 H x x x 2 x x x 104.43332
alh3 H Al x x 3 1 x x 205.3267172
alh Al H x x 1 1 x x 68.92114355
sih4 H Si x x 4 1 x x 315.6386901
bh3 H B x x 3 1 x x 279.1867196
bh B H x x 1 1 x x 81.1133641
ch2-trip H C x x 2 1 x x 193.7296348
sih H Si x x 1 1 x x 71.42489271
si2h6 H Si x x 6 2 x x 523.3143642
ch3 H C x x 3 1 x x 308.4258323
ch4 H C x x 4 1 x x 417.7643115
b2h6 H B x x 6 2 x x 607.6732362
sih3f H F Si x 3 1 1 x 370.87764
ph3 H P x x 3 1 x x 237.552934
c2h6 H C x x 6 2 x x 712.0855916
propane H C x x 8 3 x x 1007.864592
ch2-sing H C x x 2 1 x x 183.681183
ch C H x x 1 1 x x 83.20165522
h2s H S x x 2 1 x x 180.0730597
hs S H x x 1 1 x x 86.83853575
c2h5f H C F x 5 2 1 x 720.9088613
ch3nh2 H C N x 5 1 1 x 581.4520971
ch3f H F C x 3 1 1 x 420.8916346
propene H C x x 6 3 x x 863.2627209
nh3 H N x x 3 1 x x 295.1297513
ethanol H C O x 6 2 1 x 808.868846
ch3nh H C N x 4 1 1 x 478.2244308
c2h4 H C x x 4 2 x x 563.8079957
methanol H C O x 4 1 1 x 509.9517677
hcl Cl H x x 1 1 x x 105.0616334
nh2 H N x x 2 1 x x 183.1879506
nh N H x x 1 1 x x 85.2412277
ch2nh2 H C N x 4 1 1 x 486.0289357
bhf2 F B H x 2 1 1 x 407.4580667
h2o H O x x 2 1 x x 227.1414475
hf F H x x 1 1 x x 136.9235283
ch2ch H C x x 3 2 x x 449.7661875
oh O H x x 1 1 x x 105.7176265
propyne H C x x 4 3 x x 707.7628909
acetaldehyde H C O x 4 2 1 x 678.1959535
allene H C x x 4 3 x x 709.3473956
sif4 F Si x x 4 1 x x 556.2582464
bf3 F B x x 3 1 x x 466.2525596
c2h3f H C F x 3 2 1 x 575.3705281
oxirane H C O x 4 2 1 x 654.2616088
ch2f2 H F C x 2 2 1 x 436.2709375
alf3 F Al x x 3 1 x x 413.4265209
bef2 F Be x x 2 1 x x 304.4630022
ch2c C H x x 2 2 x x 359.9504442
n2h4 H N x x 4 2 x x 438.2072731
ch2nh H C N x 3 1 1 x 439.0814697
alf Al F x x 1 1 x x 156.755402
acetic H C O x 4 2 2 x 804.1156209
c2h2 C H x x 2 2 x x 404.3189092
h2co H O C x 2 1 1 x 372.389857
h2cn H C N x 2 1 1 x 347.0310583
bf F B x x 1 1 x x 179.6280945
becl2 Cl Be x x 2 1 x x 227.6185691
t-hcoh H C O x 2 1 1 x 319.5749727
alcl3 Cl Al x x 3 1 x x 305.5441974
c-hcoh H C O x 2 1 1 x 314.7477579
alcl Al Cl x x 1 1 x x 118.9452516
ketene C H O x 2 2 1 x 538.0323091
sif F Si x x 1 1 x x 138.9189065
formic H O C x 2 2 1 x 500.4909232
hcnh H C N x 2 1 1 x 339.6891687
glyoxal C H O x 2 2 2 x 635.1508391
hcof C O H F 1 1 1 1 403.3732654
nh2cl H N Cl x 2 1 1 x 247.6111936
cf4 F C x x 4 1 x x 478.4694264
hccf C H F x 2 1 1 x 400.8531443
hcn H C N x 1 1 1 x 311.0459713
hnc H N C x 1 1 1 x 297.4693531
cch C H x x 2 1 x x 266.6113244
hco O C H x 1 1 1 x 280.5529171
co C O x x 1 1 x x 255.4574665
oxirene C H O x 2 2 1 x 457.9503332
f2co F O C x 2 1 1 x 422.2647235
hocn C N O H 1 1 1 1 410.3513084
hooh H O x x 2 2 x x 263.1881431
t-n2h2 H N x x 2 2 x x 295.8647234
hnco C O N H 1 1 1 1 439.4832531
c-n2h2 H N x x 2 2 x x 290.385286
cf2 F C x x 2 1 x x 258.3524674
co2 O C x x 2 1 x x 391.4835659
fccf F C x x 2 2 x x 391.5555655
dioxirane H O C x 2 2 1 x 408.1485988
cf C F x x 1 1 x x 134.7306525
ssh S H x x 2 1 x x 166.3337761
hocl O H Cl x 1 1 1 x 163.0312374
nccn N C x x 2 2 x x 504.88068
n2 N x x x 2 x x x 225.3425888
n2h N H x x 2 1 x x 228.3423946
ocs O C S x 1 1 1 x 338.4063751
sio Si O x x 1 1 x x 183.0293061
clcn Cl C N x 1 1 1 x 287.4998207
hoo O H x x 2 1 x x 175.9566277
hcno C H N O 1 1 1 1 370.5288403
honc H O N C 1 1 1 1 351.5195717
hno N H O x 1 1 1 x 203.3294714
hof H O F x 1 1 1 x 153.9135143
c-hono O N H x 2 1 1 x 311.7207725
t-hono O N H x 2 1 1 x 312.0286377
cs2 S C x x 2 1 x x 283.7955868
hnnn N H x x 3 1 x x 338.8708521
cs C S x x 1 1 x x 168.0414428
cn C N x x 1 1 x x 178.7043319
so3 O S x x 3 1 x x 340.5817375
ccl2 Cl C x x 2 1 x x 180.4014685
bn3pi B N x x 1 1 x x 111.3179837
so2 O S x x 2 1 x x 253.6635351
no N O x x 1 1 x x 153.2363385
so S O x x 1 1 x x 127.1930197
n2o N O x x 2 1 x x 275.5655462
c-hooo O H x x 3 1 x x 232.3733067
s2 S x x x 2 x x x 107.0797107
p4 P x x x 4 x x x 293.8677528
cl2 Cl x x x 2 x x x 59.83229507
o2 O x x x 2 x x x 124.3301503
f2 F x x x 2 x x x 34.4708405
t-hooo O H x x 3 1 x x 231.7413136
s2o S O x x 2 1 x x 204.8406089
p2 P x x x 2 x x x 111.6093311
clf Cl F x x 1 1 x x 61.14841379
no2 O N x x 2 1 x x 233.7843291
clo Cl O x x 1 1 x x 67.42783434
s3 S x x x 3 x x x 166.5942747
cl2o Cl O x x 2 1 x x 99.94555396
s4-c2v S x x x 4 x x x 233.7563241
of O F x x 1 1 x x 54.09618542
c2 C x x x 2 x x x 140.3735667
oclo O Cl x x 2 1 x x 130.7245267
f2o F O x x 2 1 x x 91.44873008
b2 B x x x 2 x x x 74.22415818
fo2 O F x x 2 1 x x 133.9684362
cloo O Cl x x 2 1 x x 127.4870904
foof F O x x 2 2 x x 150.0988712
o3 O x x x 3 x x x 142.4338385
bn B N x x 1 1 x x 99.32997995
be2 Be x x x 2 x x x 7.613512648
C4H4 C H x x 4 4 x x 811.6934064
C6H6 C H x x 6 6 x x 1276.405918
C8H8 C H x x 8 8 x x 1732.778921
C10H10 C H x x 10 10 x x 2226.35691
C12H12 C H x x 12 12 x x 2751.677403
C20H20 C H x x 20 20 x x 4668.636284
